session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,ward,Asso,North West,Kaduna,Jema'a,Asso,,333,262,429,370,236,230,70.5405,38.041,45.1025,96.9697
2022/2023,Female,ALL,NABTEB,ward,Atuku,North West,Kaduna,Jema'a,Atuku,,397,312,480,415,225,188,70.362,38.0855,38.4929,83.0688
2022/2023,Female,ALL,NABTEB,ward,Bedde,North West,Kaduna,Jema'a,Bedde,,402,316,486,419,224,201,70.4698,38.0282,37.827,89.3617
2022/2023,Female,ALL,NABTEB,ward,Badarawa,North West,Kaduna,Kaduna North,Badarawa,,320,252,400,348,173,172,70.5056,38.3863,35.4523,99.3103
2022/2023,Female,ALL,NABTEB,ward,Gabasawa,North West,Kaduna,Kaduna North,Gabasawa,,370,292,475,410,236,227,70.6311,38.0658,40.7407,95.9596
2022/2023,Female,ALL,NABTEB,ward,Gaji,North West,Kaduna,Kaduna North,Gaji,,274,216,324,282,162,162,70.4918,38.253,40.9639,99.2647
2022/2023,Female,ALL,NABTEB,ward,Badiko,North West,Kaduna,Kaduna South,Badiko,,288,228,354,306,150,147,70.9375,38.1215,34.8066,97.619
2022/2023,Female,ALL,NABTEB,ward,Barnawa,North West,Kaduna,Kaduna South,Barnawa,,292,230,370,322,187,175,70.4615,38.2586,41.4248,92.9936
2022/2023,Female,ALL,NABTEB,ward,Kakuri Gwari,North West,Kaduna,Kaduna South,Kakuri Gwari,,311,246,395,339,213,188,70.8092,37.8713,44.3069,87.7095
2022/2023,Female,ALL,NABTEB,ward,Dan Wata,North West,Kaduna,Soba,Dan Wata,,317,249,395,344,173,172,70.255,38.3663,35.8911,99.3103
2022/2023,Female,ALL,NABTEB,ward,Gamagira,North West,Kaduna,Soba,Gamagira,,331,260,417,361,224,215,70.3804,38.1733,44.0281,95.7447
2022/2023,Female,ALL,NABTEB,ward,Garun Gwanki,North West,Kaduna,Soba,Garun Gwanki,,366,287,446,386,213,189,70.2703,38.1579,39.2544,88.2682
2022/2023,Female,ALL,NABTEB,ward,Dambo,North West,Kaduna,Zaria,Dambo,,340,268,427,370,201,175,70.6349,38.2151,38.6728,86.3905
2022/2023,Female,ALL,NABTEB,ward,Dutsen Abba,North West,Kaduna,Zaria,Dutsen Abba,,311,245,400,346,201,175,70.5202,38.1418,41.3203,86.3905
2022/2023,Female,ALL,NABTEB,ward,Gyallesu,North West,Kaduna,Zaria,Gyallesu,,341,267,446,386,213,188,70.1847,38.1579,39.2544,87.7095
2022/2023,Female,ALL,NECO,ward,Asso,North West,Kaduna,Jema'a,Asso,,648,454,829,712,395,368,62.8294,37.8538,39.1509,92.4699
2022/2023,Female,ALL,NECO,ward,Atuku,North West,Kaduna,Jema'a,Atuku,,754,531,959,823,407,378,63.0513,37.78,34.8269,92.3977
2022/2023,Female,ALL,NECO,ward,Bedde,North West,Kaduna,Jema'a,Bedde,,769,540,933,798,399,369,62.924,37.6963,35.0785,91.9403
2022/2023,Female,ALL,NECO,ward,Badarawa,North West,Kaduna,Kaduna North,Badarawa,,560,394,723,619,329,301,63.0819,37.7027,37.2973,90.942
2022/2023,Female,ALL,NECO,ward,Gabasawa,North West,Kaduna,Kaduna North,Gabasawa,,666,469,823,705,400,368,63.0229,37.7672,39.905,91.369
2022/2023,Female,ALL,NECO,ward,Gaji,North West,Kaduna,Kaduna North,Gaji,,532,374,657,561,276,256,63.0068,37.6488,34.5238,92.2414
2022/2023,Female,ALL,NECO,ward,Badiko,North West,Kaduna,Kaduna South,Badiko,,523,367,636,543,285,267,62.8866,37.6344,36.7127,93.3054
2022/2023,Female,ALL,NECO,ward,Barnawa,North West,Kaduna,Kaduna South,Barnawa,,563,395,734,628,329,301,62.9393,37.6831,36.751,90.942
2022/2023,Female,ALL,NECO,ward,Kakuri Gwari,North West,Kaduna,Kaduna South,Kakuri Gwari,,546,383,693,590,326,301,62.9325,37.5176,38.646,91.6058
2022/2023,Female,ALL,NECO,ward,Dan Wata,North West,Kaduna,Soba,Dan Wata,,571,401,703,601,314,290,62.9921,37.6912,36.7177,91.6667
2022/2023,Female,ALL,NECO,ward,Gamagira,North West,Kaduna,Soba,Gamagira,,638,449,813,696,358,324,63.0986,37.7404,36.1779,90.0332
2022/2023,Female,ALL,NECO,ward,Garun Gwanki,North West,Kaduna,Soba,Garun Gwanki,,655,461,835,716,337,311,62.963,37.7778,33.0994,91.8728
2022/2023,Female,ALL,NECO,ward,Dambo,North West,Kaduna,Zaria,Dambo,,616,432,748,639,326,301,62.9197,37.5979,35.7702,91.6058
2022/2023,Female,ALL,NECO,ward,Dutsen Abba,North West,Kaduna,Zaria,Dutsen Abba,,564,397,684,588,285,267,63.1579,37.8571,34.1429,93.3054
2022/2023,Female,ALL,NECO,ward,Gyallesu,North West,Kaduna,Zaria,Gyallesu,,596,418,728,623,311,278,62.8959,37.7181,35.0336,88.8889
2022/2023,Female,ALL,WAEC,ward,Asso,North West,Kaduna,Jema'a,Asso,,889,674,1129,967,653,599,67.9474,37.7489,47.4459,91.2409
2022/2023,Female,ALL,WAEC,ward,Atuku,North West,Kaduna,Jema'a,Atuku,,878,666,1095,936,523,493,67.9632,37.645,39.1615,93.8497
2022/2023,Female,ALL,WAEC,ward,Bedde,North West,Kaduna,Jema'a,Bedde,,980,742,1204,1036,544,503,67.8899,37.9058,37.0942,91.9037
2022/2023,Female,ALL,WAEC,ward,Badarawa,North West,Kaduna,Kaduna North,Badarawa,,709,537,881,761,418,383,67.8074,38.0266,38.9135,91.1681
2022/2023,Female,ALL,WAEC,ward,Gabasawa,North West,Kaduna,Kaduna North,Gabasawa,,932,706,1172,1007,606,566,67.8881,37.8333,42.4167,92.9273
2022/2023,Female,ALL,WAEC,ward,Gaji,North West,Kaduna,Kaduna North,Gaji,,670,508,835,716,430,395,67.9195,37.7778,42.2222,91.4127
2022/2023,Female,ALL,WAEC,ward,Badiko,North West,Kaduna,Kaduna South,Badiko,,670,508,833,718,418,394,67.9195,37.9836,41.1489,93.7322
2022/2023,Female,ALL,WAEC,ward,Barnawa,North West,Kaduna,Kaduna South,Barnawa,,715,543,899,774,426,407,68.0503,37.9348,38.913,94.9721
2022/2023,Female,ALL,WAEC,ward,Kakuri Gwari,North West,Kaduna,Kaduna South,Kakuri Gwari,,734,557,885,763,451,418,68.0147,37.9691,41.8322,92.0844
2022/2023,Female,ALL,WAEC,ward,Dan Wata,North West,Kaduna,Soba,Dan Wata,,764,579,936,805,476,450,67.8824,37.8914,41.7537,94.0
2022/2023,Female,ALL,WAEC,ward,Gamagira,North West,Kaduna,Soba,Gamagira,,824,624,1039,894,544,514,67.9039,37.9116,42.9915,93.8731
2022/2023,Female,ALL,WAEC,ward,Garun Gwanki,North West,Kaduna,Soba,Garun Gwanki,,894,677,1114,958,516,460,67.9074,37.8947,37.9825,88.6836
2022/2023,Female,ALL,WAEC,ward,Dambo,North West,Kaduna,Zaria,Dambo,,843,638,1048,900,486,450,67.8762,37.8378,38.0242,92.1569
2022/2023,Female,ALL,WAEC,ward,Dutsen Abba,North West,Kaduna,Zaria,Dutsen Abba,,767,581,1003,858,517,481,67.8781,37.6826,42.259,92.6267
2022/2023,Female,ALL,WAEC,ward,Gyallesu,North West,Kaduna,Zaria,Gyallesu,,824,624,1039,889,517,461,67.9039,37.7234,40.8278,88.7097
2022/2023,Female,Disabled,NABTEB,ward,Asso,North West,Kaduna,Jema'a,Asso,,33,26,39,35,35,34,70.2703,40.0,72.5,96.5517
2022/2023,Female,Disabled,NABTEB,ward,Atuku,North West,Kaduna,Jema'a,Atuku,,33,26,43,40,26,25,70.2703,40.9091,50.0,95.4545
2022/2023,Female,Disabled,NABTEB,ward,Bedde,North West,Kaduna,Jema'a,Bedde,,33,26,39,35,35,34,70.2703,40.0,72.5,96.5517
2022/2023,Female,Disabled,NABTEB,ward,Badarawa,North West,Kaduna,Kaduna North,Badarawa,,32,25,39,35,18,17,69.4444,40.0,37.5,93.3333
2022/2023,Female,Disabled,NABTEB,ward,Gabasawa,North West,Kaduna,Kaduna North,Gabasawa,,31,25,39,35,35,34,71.4286,40.0,72.5,96.5517
2022/2023,Female,Disabled,NABTEB,ward,Gaji,North West,Kaduna,Kaduna North,Gaji,,30,24,34,31,26,25,72.7273,40.0,62.8571,95.4545
2022/2023,Female,Disabled,NABTEB,ward,Badiko,North West,Kaduna,Kaduna South,Badiko,,30,24,34,31,18,17,72.7273,40.0,42.8571,93.3333
