session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,ward,Auyakayi,North West,Jigawa,Auyo,Auyakayi,,9,9,16,23,2,1,90.0,62.5,12.5,50.0
2022/2023,Female,ALL,NABTEB,ward,Auyo,North West,Jigawa,Auyo,Auyo,,39,38,69,98,11,10,88.0952,62.3188,13.0435,88.8889
2022/2023,Female,ALL,NABTEB,ward,Ayama,North West,Jigawa,Auyo,Ayama,,8,8,14,20,2,1,88.8889,64.2857,14.2857,50.0
2022/2023,Female,ALL,NABTEB,ward,Ayan,North West,Jigawa,Auyo,Ayan,,8,8,14,20,2,1,88.8889,64.2857,14.2857,50.0
2022/2023,Female,ALL,NABTEB,ward,Gamafoi,North West,Jigawa,Auyo,Gamafoi,,8,8,13,18,2,1,88.8889,61.5385,15.3846,50.0
2022/2023,Female,ALL,NABTEB,ward,Gamsarka,North West,Jigawa,Auyo,Gamsarka,,8,7,10,11,2,1,77.7778,50.0,20.0,50.0
2022/2023,Female,ALL,NABTEB,ward,Gatafa,North West,Jigawa,Auyo,Gatafa,,6,6,8,11,2,1,85.7143,62.5,25.0,50.0
2022/2023,Female,ALL,NABTEB,ward,Kafur,North West,Jigawa,Auyo,Kafur,,6,5,5,7,2,1,83.3333,60.0,40.0,50.0
2022/2023,Female,ALL,NABTEB,ward,Tsidir,North West,Jigawa,Auyo,Tsidir,,6,5,5,7,2,1,83.3333,60.0,40.0,50.0
2022/2023,Female,ALL,NABTEB,ward,Unik,North West,Jigawa,Auyo,Unik,,6,5,5,7,2,1,83.3333,60.0,40.0,50.0
2022/2023,Female,ALL,NABTEB,ward,Babura,North West,Jigawa,Babura,Babura,,17,16,15,20,7,0,88.8889,60.0,40.0,0.0
