session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,0,0,0,0,454,399,0,0,0,87.4172
2022/2023,Female,ALL,NABTEB,ward,Achalla  II,South East,Anambra,Awka North,Achalla  II,,0,0,0,0,482,442,0,0,0,91.25
2022/2023,Female,ALL,NABTEB,ward,Achalla  III,South East,Anambra,Awka North,Achalla  III,,0,0,0,0,473,457,0,0,0,96.1783
2022/2023,Female,ALL,NABTEB,ward,Agu Oka,South East,Anambra,Awka South,Agu Oka,,0,0,0,0,454,418,0,0,0,91.3907
2022/2023,Female,ALL,NABTEB,ward,Amawbia  I,South East,Anambra,Awka South,Amawbia  I,,0,0,0,0,445,399,0,0,0,89.1892
2022/2023,Female,ALL,NABTEB,ward,Amawbia  II,South East,Anambra,Awka South,Amawbia  II,,0,0,0,0,382,375,0,0,0,97.6378
2022/2023,Female,ALL,NABTEB,ward,Nnewi-ichi  I,South East,Anambra,Nnewi North,Nnewi-ichi  I,,0,0,0,0,560,502,0,0,0,89.2473
2022/2023,Female,ALL,NABTEB,ward,Nnewi-ichi  II,South East,Anambra,Nnewi North,Nnewi-ichi  II,,0,0,0,0,418,375,0,0,0,89.2086
2022/2023,Female,ALL,NABTEB,ward,Otolo  I,South East,Anambra,Nnewi North,Otolo  I,,0,0,0,0,464,399,0,0,0,85.7143
2022/2023,Female,ALL,NABTEB,ward,American Quarters,South East,Anambra,Onitsha North,American Quarters,,0,0,0,0,436,415,0,0,0,94.4828
2022/2023,Female,ALL,NABTEB,ward,G.R.A,South East,Anambra,Onitsha North,G.R.A,,0,0,0,0,479,427,0,0,0,88.6792
2022/2023,Female,ALL,NABTEB,ward,Inland Town I,South East,Anambra,Onitsha North,Inland Town I,,0,0,0,0,500,442,0,0,0,87.9518
2022/2023,Female,ALL,NABTEB,ward,Bridge Head I,South East,Anambra,Onitsha South,Bridge Head I,,0,0,0,0,602,542,0,0,0,89.5
2022/2023,Female,ALL,NABTEB,ward,Bridge Head II,South East,Anambra,Onitsha South,Bridge Head II,,0,0,0,0,355,354,0,0,0,99.1525
2022/2023,Female,ALL,NABTEB,ward,Bridge Head III,South East,Anambra,Onitsha South,Bridge Head III,,0,0,0,0,515,484,0,0,0,93.5673
2022/2023,Female,ALL,NECO,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,0,0,0,0,882,781,0,0,0,88.0546
2022/2023,Female,ALL,NECO,ward,Achalla  II,South East,Anambra,Awka North,Achalla  II,,0,0,0,0,1023,929,0,0,0,90.2941
2022/2023,Female,ALL,NECO,ward,Achalla  III,South East,Anambra,Awka North,Achalla  III,,0,0,0,0,918,878,0,0,0,95.082
2022/2023,Female,ALL,NECO,ward,Agu Oka,South East,Anambra,Awka South,Agu Oka,,0,0,0,0,1044,941,0,0,0,89.6254
2022/2023,Female,ALL,NECO,ward,Amawbia  I,South East,Anambra,Awka South,Amawbia  I,,0,0,0,0,849,784,0,0,0,91.844
2022/2023,Female,ALL,NECO,ward,Amawbia  II,South East,Anambra,Awka South,Amawbia  II,,0,0,0,0,743,696,0,0,0,93.1174
2022/2023,Female,ALL,NECO,ward,Nnewi-ichi  I,South East,Anambra,Nnewi North,Nnewi-ichi  I,,0,0,0,0,1111,1020,0,0,0,91.3279
2022/2023,Female,ALL,NECO,ward,Nnewi-ichi  II,South East,Anambra,Nnewi North,Nnewi-ichi  II,,0,0,0,0,966,887,0,0,0,91.2773
2022/2023,Female,ALL,NECO,ward,Otolo  I,South East,Anambra,Nnewi North,Otolo  I,,0,0,0,0,978,866,0,0,0,88.0
2022/2023,Female,ALL,NECO,ward,American Quarters,South East,Anambra,Onitsha North,American Quarters,,0,0,0,0,882,823,0,0,0,92.8328
2022/2023,Female,ALL,NECO,ward,G.R.A,South East,Anambra,Onitsha North,G.R.A,,0,0,0,0,996,899,0,0,0,89.7281
2022/2023,Female,ALL,NECO,ward,Inland Town I,South East,Anambra,Onitsha North,Inland Town I,,0,0,0,0,984,908,0,0,0,91.7431
2022/2023,Female,ALL,NECO,ward,Bridge Head I,South East,Anambra,Onitsha South,Bridge Head I,,0,0,0,0,1204,1099,0,0,0,90.75
2022/2023,Female,ALL,NECO,ward,Bridge Head II,South East,Anambra,Onitsha South,Bridge Head II,,0,0,0,0,611,554,0,0,0,90.1478
2022/2023,Female,ALL,NECO,ward,Bridge Head III,South East,Anambra,Onitsha South,Bridge Head III,,0,0,0,0,1065,953,0,0,0,88.9831
2022/2023,Female,ALL,WAEC,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,0,0,0,0,1084,1026,0,0,0,94.1667
2022/2023,Female,ALL,WAEC,ward,Achalla  II,South East,Anambra,Awka North,Achalla  II,,0,0,0,0,1135,1077,0,0,0,94.4297
2022/2023,Female,ALL,WAEC,ward,Achalla  III,South East,Anambra,Awka North,Achalla  III,,0,0,0,0,1276,1198,0,0,0,93.3962
2022/2023,Female,ALL,WAEC,ward,Agu Oka,South East,Anambra,Awka South,Agu Oka,,0,0,0,0,1201,1123,0,0,0,92.9825
2022/2023,Female,ALL,WAEC,ward,Amawbia  I,South East,Anambra,Awka South,Amawbia  I,,0,0,0,0,1153,1099,0,0,0,94.7781
2022/2023,Female,ALL,WAEC,ward,Amawbia  II,South East,Anambra,Awka South,Amawbia  II,,0,0,0,0,918,856,0,0,0,92.7869
2022/2023,Female,ALL,WAEC,ward,Nnewi-ichi  I,South East,Anambra,Nnewi North,Nnewi-ichi  I,,0,0,0,0,1394,1319,0,0,0,94.1685
2022/2023,Female,ALL,WAEC,ward,Nnewi-ichi  II,South East,Anambra,Nnewi North,Nnewi-ichi  II,,0,0,0,0,1210,1129,0,0,0,92.7861
2022/2023,Female,ALL,WAEC,ward,Otolo  I,South East,Anambra,Nnewi North,Otolo  I,,0,0,0,0,1210,1129,0,0,0,92.7861
2022/2023,Female,ALL,WAEC,ward,American Quarters,South East,Anambra,Onitsha North,American Quarters,,0,0,0,0,1099,1026,0,0,0,92.8767
2022/2023,Female,ALL,WAEC,ward,G.R.A,South East,Anambra,Onitsha North,G.R.A,,0,0,0,0,1288,1223,0,0,0,94.3925
2022/2023,Female,ALL,WAEC,ward,Inland Town I,South East,Anambra,Onitsha North,Inland Town I,,0,0,0,0,1463,1341,0,0,0,91.1523
2022/2023,Female,ALL,WAEC,ward,Bridge Head I,South East,Anambra,Onitsha South,Bridge Head I,,0,0,0,0,1412,1329,0,0,0,93.6034
2022/2023,Female,ALL,WAEC,ward,Bridge Head II,South East,Anambra,Onitsha South,Bridge Head II,,0,0,0,0,864,814,0,0,0,93.7282
2022/2023,Female,ALL,WAEC,ward,Bridge Head III,South East,Anambra,Onitsha South,Bridge Head III,,0,0,0,0,1315,1217,0,0,0,91.9908
2022/2023,Female,Disabled,NABTEB,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,0,0,0,0,60,57,0,0,0,95.0
2022/2023,Female,Disabled,NABTEB,ward,Achalla  II,South East,Anambra,Awka North,Achalla  II,,0,0,0,0,63,61,0,0,0,95.2381
2022/2023,Female,Disabled,NABTEB,ward,Achalla  III,South East,Anambra,Awka North,Achalla  III,,0,0,0,0,72,67,0,0,0,91.6667
2022/2023,Female,Disabled,NABTEB,ward,Agu Oka,South East,Anambra,Awka South,Agu Oka,,0,0,0,0,60,57,0,0,0,95.0
2022/2023,Female,Disabled,NABTEB,ward,Amawbia  I,South East,Anambra,Awka South,Amawbia  I,,0,0,0,0,63,61,0,0,0,95.2381
2022/2023,Female,Disabled,NABTEB,ward,Amawbia  II,South East,Anambra,Awka South,Amawbia  II,,0,0,0,0,63,61,0,0,0,95.2381
2022/2023,Female,Disabled,NABTEB,ward,Nnewi-ichi  I,South East,Anambra,Nnewi North,Nnewi-ichi  I,,0,0,0,0,60,51,0,0,0,85.0
2022/2023,Female,Disabled,NABTEB,ward,Nnewi-ichi  II,South East,Anambra,Nnewi North,Nnewi-ichi  II,,0,0,0,0,60,51,0,0,0,85.0
2022/2023,Female,Disabled,NABTEB,ward,Otolo  I,South East,Anambra,Nnewi North,Otolo  I,,0,0,0,0,60,51,0,0,0,85.0
