session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,ward,Adadama,South South,Cross River,Abi,Adadama,,0,0,0,0,148,147,0,0,0,98.6486
2022/2023,Female,ALL,NABTEB,ward,Afafanyi/Igonigoni,South South,Cross River,Abi,Afafanyi/Igonigoni,,0,0,0,0,136,125,0,0,0,91.1765
2022/2023,Female,ALL,NABTEB,ward,Ebom,South South,Cross River,Abi,Ebom,,0,0,0,0,150,135,0,0,0,89.3333
2022/2023,Female,ALL,NABTEB,ward,Abuochiche,South South,Cross River,Bekwarra,Abuochiche,,0,0,0,0,162,149,0,0,0,91.358
2022/2023,Female,ALL,NABTEB,ward,Afrike Ochagbe,South South,Cross River,Bekwarra,Afrike Ochagbe,,0,0,0,0,136,129,0,0,0,94.1176
2022/2023,Female,ALL,NABTEB,ward,Afrike Okpeche,South South,Cross River,Bekwarra,Afrike Okpeche,,0,0,0,0,150,147,0,0,0,97.3333
2022/2023,Female,ALL,NABTEB,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,122,111,0,0,0,90.1639
2022/2023,Female,ALL,NABTEB,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,150,139,0,0,0,92.0
2022/2023,Female,ALL,NABTEB,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,180,175,0,0,0,96.6667
2022/2023,Female,ALL,NABTEB,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,0,0,0,0,174,167,0,0,0,95.4023
2022/2023,Female,ALL,NABTEB,ward,Eleven (11),South South,Cross River,Calabar South,Eleven (11),,0,0,0,0,162,153,0,0,0,93.8272
2022/2023,Female,ALL,NABTEB,ward,Five (5),South South,Cross River,Calabar South,Five (5),,0,0,0,0,148,145,0,0,0,97.2973
2022/2023,Female,ALL,NABTEB,ward,Ekajuk I,South South,Cross River,Ogoja,Ekajuk I,,0,0,0,0,122,117,0,0,0,95.082
2022/2023,Female,ALL,NABTEB,ward,Ekajuk II,South South,Cross River,Ogoja,Ekajuk II,,0,0,0,0,144,133,0,0,0,91.6667
2022/2023,Female,ALL,NABTEB,ward,Mbube East I,South South,Cross River,Ogoja,Mbube East I,,0,0,0,0,102,101,0,0,0,98.0392
2022/2023,Female,ALL,NECO,ward,Adadama,South South,Cross River,Abi,Adadama,,0,0,0,0,298,280,0,0,0,93.2886
2022/2023,Female,ALL,NECO,ward,Afafanyi/Igonigoni,South South,Cross River,Abi,Afafanyi/Igonigoni,,0,0,0,0,272,247,0,0,0,90.4412
2022/2023,Female,ALL,NECO,ward,Ebom,South South,Cross River,Abi,Ebom,,0,0,0,0,326,290,0,0,0,88.3436
2022/2023,Female,ALL,NECO,ward,Abuochiche,South South,Cross River,Bekwarra,Abuochiche,,0,0,0,0,320,284,0,0,0,88.125
2022/2023,Female,ALL,NECO,ward,Afrike Ochagbe,South South,Cross River,Bekwarra,Afrike Ochagbe,,0,0,0,0,322,294,0,0,0,90.6832
2022/2023,Female,ALL,NECO,ward,Afrike Okpeche,South South,Cross River,Bekwarra,Afrike Okpeche,,0,0,0,0,292,263,0,0,0,89.726
2022/2023,Female,ALL,NECO,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,0,0,0,0,270,247,0,0,0,91.1111
2022/2023,Female,ALL,NECO,ward,Five,South South,Cross River,Calabar Municipal,Five,,0,0,0,0,272,255,0,0,0,93.3824
2022/2023,Female,ALL,NECO,ward,Four,South South,Cross River,Calabar Municipal,Four,,0,0,0,0,392,360,0,0,0,91.3265
2022/2023,Female,ALL,NECO,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,0,0,0,0,334,318,0,0,0,94.6108
2022/2023,Female,ALL,NECO,ward,Eleven (11),South South,Cross River,Calabar South,Eleven (11),,0,0,0,0,354,324,0,0,0,90.9605
2022/2023,Female,ALL,NECO,ward,Five (5),South South,Cross River,Calabar South,Five (5),,0,0,0,0,284,265,0,0,0,92.9577
2022/2023,Female,ALL,NECO,ward,Ekajuk I,South South,Cross River,Ogoja,Ekajuk I,,0,0,0,0,258,233,0,0,0,89.9225
2022/2023,Female,ALL,NECO,ward,Ekajuk II,South South,Cross River,Ogoja,Ekajuk II,,0,0,0,0,318,290,0,0,0,90.566
