session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,admitted_count,matriculated_count
2022/2023,International,Foreign,Foreign,College of Education,Other Small Institution Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,4,4
2022/2023,International,Foreign,Foreign,College of Education,Other Small Institution Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,6,5
2022/2023,International,Foreign,Foreign,Innovation Ent. Institute,Other Innovation Ent. Institute Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,International,Foreign,Foreign,Monotechnic,Other Monotechnic Admissions 1,Male,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,International,Foreign,Foreign,Monotechnic,Other Monotechnic Admissions 2,Male,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,International,Foreign,Foreign,Polytechnic,Other Small Institution Admissions,Female,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,International,Foreign,Foreign,Polytechnic,Other Small Institution Admissions,Male,all,STEMM,Environmental Sciences,Estate Management,3,3
2022/2023,International,Foreign,Foreign,University,Other University Admissions - Foreign 1,Female,all,STEMM,Medicine / Health Sciences,Anatomy,105,96
2022/2023,International,Foreign,Foreign,University,Other University Admissions - Foreign 1,Female,disabled,STEMM,Medicine / Health Sciences,Anatomy,8,7
2022/2023,International,Foreign,Foreign,University,Other University Admissions - Foreign 1,Male,all,STEMM,Medicine / Health Sciences,Anatomy,75,69
2022/2023,International,Foreign,Foreign,University,Other University Admissions - Foreign 1,Male,disabled,STEMM,Medicine / Health Sciences,Anatomy,5,5
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Female,all,STEMM,Environmental Sciences,Estate Management,1,1
2022/2023,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,Other Polytechnic Admissions - Abuja Federal Capital Territory 1,Female,all,STEMM,Environmental Sciences,Urban and Regional Planning,69,63
