session,zone,state,lga,institution_type,tertiary_institution,gender,disability_scope,programme_cluster,discipline_group,programme,loan_applications,loan_approved,loan_disbursed
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Arts,Law,38,31,28
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Communication / Media,Broadcasting,33,25,25
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Communication / Media,Development Communication,25,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Communication / Media,Journalism and Media Studies,23,20,20
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Communication / Media,Public Relations,20,18,15
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Social Sciences,Banking and Finance,38,33,33
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Social Sciences,Business Administration,28,23,20
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Social Sciences,Mass Communication,20,15,15
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,Non-STEMM,Social Sciences,Public Administration,28,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Biological Sciences,Biochemistry,33,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Computing / ICT,Computer Science,23,20,18
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Engineering,Chemical Engineering,38,31,28
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Engineering,Mechatronics Engineering,28,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Engineering,Petroleum Engineering,36,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Mathematics / Statistics,Actuarial Science,31,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Mathematics / Statistics,Applied Mathematics,33,25,25
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Mathematics / Statistics,Operations Research,31,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Mathematics / Statistics,Statistics,25,23,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Physical Sciences,Microbiology,28,23,20
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Science,Geology,33,25,25
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Science,Industrial Chemistry,28,25,23
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Science,Plant Science,38,31,28
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Technology / ICT,Cybersecurity,33,28,28
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,all,STEMM,Technology / ICT,Information Systems,38,33,31
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Arts,Law,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Communication / Media,Broadcasting,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Communication / Media,Development Communication,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Communication / Media,Journalism and Media Studies,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Communication / Media,Public Relations,3,3,3
2024/2025,North Central,Abuja Federal Capital Territory,Bwari,Polytechnic,"FCT Polytechnic, Abuja",Female,disabled,Non-STEMM,Social Sciences,Banking and Finance,3,3,3
