session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Edu,North Central,Kwara,Edu,,,0.0,0,1378.8219,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.23
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,lga,Edu,North Central,Kwara,Edu,,,896.0,0,1375.1839,11,5,0.6515,81.4545,179.2,4.7539,4.3212,3.0545,4.0505,3.8135,6.7751,47.23
2024/2025,Female,ALL,Private,JSS,JSS2,,lga,Edu,North Central,Kwara,Edu,,,845.0,0,1295.1467,10,5,0.6524,84.5,169.0,4.3217,3.9283,3.0545,3.6823,3.4668,6.1592,47.23
2024/2025,Female,ALL,Private,JSS,JSS3,,lga,Edu,North Central,Kwara,Edu,,,818.0,0,1255.1282,10,5,0.6517,81.8,163.6,4.3217,3.9283,3.0545,3.6823,3.4668,6.1592,47.23
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Edu,North Central,Kwara,Edu,,,882.0,0,3841.7836,41,7,0.2296,21.5122,126.0,17.7189,16.1061,4.2763,15.0974,14.2139,25.2527,47.23
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Edu,North Central,Kwara,Edu,,,848.0,0,3692.6234,37,7,0.2296,22.9189,121.1429,15.9902,14.5348,4.2763,13.6245,12.8272,22.789,47.23
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Edu,North Central,Kwara,Edu,,,823.0,0,3583.4818,37,7,0.2297,22.2432,117.5714,15.9902,14.5348,4.2763,13.6245,12.8272,22.789,47.23
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Edu,North Central,Kwara,Edu,,,798.0,0,3474.3403,38,6,0.2297,21.0,133.0,16.4224,14.9277,3.6654,13.9927,13.1739,23.4049,47.23
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,lga,Edu,North Central,Kwara,Edu,,,803.0,0,3496.1686,39,6,0.2297,20.5897,133.8333,16.8546,15.3205,3.6654,14.3609,13.5206,24.0208,47.23
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,lga,Edu,North Central,Kwara,Edu,,,803.0,0,3496.1686,37,6,0.2297,21.7027,133.8333,15.9902,14.5348,3.6654,13.6245,12.8272,22.789,47.23
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,lga,Edu,North Central,Kwara,Edu,,,739.0,313,1004.1025,14,2,0.736,52.7857,369.5,6.0504,5.4997,1.2218,5.1552,4.8535,8.6229,47.23
2024/2025,Female,ALL,Private,SSS,SSS2,,lga,Edu,North Central,Kwara,Edu,,,677.0,287,920.4273,7,2,0.7355,96.7143,338.5,3.0252,2.7498,1.2218,2.5776,2.4268,4.3114,47.23
2024/2025,Female,ALL,Private,SSS,SSS3,,lga,Edu,North Central,Kwara,Edu,,,635.0,269,862.2185,8,2,0.7365,79.375,317.5,3.4574,3.1427,1.2218,2.9458,2.7734,4.9273,47.23
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,lga,Edu,North Central,Kwara,Edu,,,0.0,0,123.6938,2,1,0.0,0.0,0.0,0.8643,0.7857,0.6109,0.7365,0.6934,1.2318,47.23
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,lga,Edu,North Central,Kwara,Edu,,,0.0,0,2885.4759,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.23
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,lga,Edu,North Central,Kwara,Edu,,,3174.0,0,1288.9611,32,8,2.4624,99.1875,396.75,13.8294,12.5707,4.8872,11.7833,11.0938,19.7094,47.23
2024/2025,Female,ALL,Public,JSS,JSS2,,lga,Edu,North Central,Kwara,Edu,,,2992.0,0,1216.3922,32,8,2.4597,93.5,374.0,13.8294,12.5707,4.8872,11.7833,11.0938,19.7094,47.23
2024/2025,Female,ALL,Public,JSS,JSS3,,lga,Edu,North Central,Kwara,Edu,,,2903.0,0,1178.38,37,8,2.4636,78.4595,362.875,15.9902,14.5348,4.8872,13.6245,12.8272,22.789,47.23
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,lga,Edu,North Central,Kwara,Edu,,,3128.0,0,3683.7333,132,27,0.8491,23.697,115.8519,57.0463,51.8539,16.4943,48.6062,45.7619,81.3012,47.23
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 2,,lga,Edu,North Central,Kwara,Edu,,,3005.0,0,3538.5956,94,26,0.8492,31.9681,115.5769,40.6239,36.9263,15.8834,34.6135,32.588,57.8963,47.23
