session,gender,disability,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count,infrastructure_score
2024/2025,Female,ALL,Private,Adult & Non-Formal,IQS/IQTE,,lga,Gboko,North Central,Benue,Gboko,,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
2024/2025,Female,ALL,Private,JSS,JSS1,JSS1,lga,Gboko,North Central,Benue,Gboko,,,335,0,1.3294,9,3,251.9934,37.2222,111.6667,2,3,2,2,0,6,37.78
2024/2025,Female,ALL,Private,JSS,JSS2,,lga,Gboko,North Central,Benue,Gboko,,,316,0,1.254,11,2,251.9936,28.7273,158.0,3,2,2,3,0,7,42.91
2024/2025,Female,ALL,Private,JSS,JSS3,,lga,Gboko,North Central,Benue,Gboko,,,306,0,1.2143,7,2,251.997,43.7143,153.0,2,2,1,1,0,5,36.0
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 1,Primary 1,lga,Gboko,North Central,Benue,Gboko,,,951,0,3.7733,29,19,252.034,32.7931,50.0526,9,8,16,6,1,18,41.47
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 2,,lga,Gboko,North Central,Benue,Gboko,,,914,0,3.6249,23,18,252.1449,39.7391,50.7778,6,6,13,6,1,18,42.16
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 3,,lga,Gboko,North Central,Benue,Gboko,,,887,0,3.5189,31,17,252.0674,28.6129,52.1765,9,7,14,8,1,21,41.95
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 4,,lga,Gboko,North Central,Benue,Gboko,,,860,0,3.4129,34,17,251.9851,25.2941,50.5882,10,7,12,9,1,21,38.82
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 5,,lga,Gboko,North Central,Benue,Gboko,,,865,0,3.4341,28,17,251.8855,30.8929,50.8824,8,8,14,5,1,15,38.46
2024/2025,Female,ALL,Private,Pre-Primary/Primary,Primary 6,,lga,Gboko,North Central,Benue,Gboko,,,865,0,3.4341,31,17,251.8855,27.9032,50.8824,8,6,11,6,1,20,36.16
2024/2025,Female,ALL,Private,SSS,SSS1,SSS1,lga,Gboko,North Central,Benue,Gboko,,,222,222,0.881,8,1,251.9864,27.75,222.0,2,2,1,2,0,6,45.0
2024/2025,Female,ALL,Private,SSS,SSS2,,lga,Gboko,North Central,Benue,Gboko,,,204,204,0.8095,6,1,252.0074,34.0,204.0,2,1,1,1,0,4,43.33
2024/2025,Female,ALL,Private,SSS,SSS3,,lga,Gboko,North Central,Benue,Gboko,,,191,191,0.7579,5,1,252.0121,38.2,191.0,1,1,1,1,0,3,39.2
2024/2025,Female,ALL,Private,Vocational,Tech/Voc,,lga,Gboko,North Central,Benue,Gboko,,,24,0,0.0952,1,1,252.1008,24.0,24.0,0,0,1,0,0,1,36.0
2024/2025,Female,ALL,Public,Adult & Non-Formal,IQS/IQTE,,lga,Gboko,North Central,Benue,Gboko,,,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0
2024/2025,Female,ALL,Public,JSS,JSS1,JSS1,lga,Gboko,North Central,Benue,Gboko,,,1188,0,3.5463,20,12,334.997,59.4,99.0,5,5,10,5,1,13,40.73
2024/2025,Female,ALL,Public,JSS,JSS2,,lga,Gboko,North Central,Benue,Gboko,,,1120,0,3.3433,26,11,334.9984,43.0769,101.8182,8,7,7,6,1,20,41.41
2024/2025,Female,ALL,Public,JSS,JSS3,,lga,Gboko,North Central,Benue,Gboko,,,1086,0,3.2418,20,11,334.9991,54.3,98.7273,5,5,8,4,0,15,39.84
2024/2025,Female,ALL,Public,Pre-Primary/Primary,Primary 1,Primary 1,lga,Gboko,North Central,Benue,Gboko,,,3371,0,10.0626,80,51,335.0029,42.1375,66.098,26,19,30,22,1,55,39.61
