session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Brass I,South South,Bayelsa,Brass,Brass I,,78,0,4,9,7,19.5,8.6667,11.1429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Brass ward II,South South,Bayelsa,Brass,Brass ward II,,92,0,4,10,7,23.0,9.2,13.1429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Cafe Farmosa,South South,Bayelsa,Brass,Cafe Farmosa,,61,0,4,7,5,15.25,8.7143,12.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Igbedi,South South,Bayelsa,Kolokuma/Opokuma,Igbedi,,69,0,4,7,5,17.25,9.8571,13.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Kaiama,South South,Bayelsa,Kolokuma/Opokuma,Kaiama,,63,0,4,7,5,15.75,9.0,12.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Kaiama/Olobiri,South South,Bayelsa,Kolokuma/Opokuma,Kaiama/Olobiri,,115,0,4,11,8,28.75,10.4545,14.375
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bassambiri I,South South,Bayelsa,Nembe,Bassambiri I,,70,0,4,7,5,17.5,10.0,14.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bassambiri II,South South,Bayelsa,Nembe,Bassambiri II,,106,0,4,11,8,26.5,9.6364,13.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bassambiri III,South South,Bayelsa,Nembe,Bassambiri III,,69,0,4,7,5,17.25,9.8571,13.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Anyama,South South,Bayelsa,Ogbia,Anyama,,78,0,4,9,7,19.5,8.6667,11.1429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Emeyal,South South,Bayelsa,Ogbia,Emeyal,,61,0,4,7,5,15.25,8.7143,12.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Imiringi,South South,Bayelsa,Ogbia,Imiringi,,94,0,4,9,7,23.5,10.4444,13.4286
