session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,101,0,4,13,9,25.25,7.7692,11.2222
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Achalla  II,South East,Anambra,Awka North,Achalla  II,,83,0,4,11,7,20.75,7.5455,11.8571
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Achalla  III,South East,Anambra,Awka North,Achalla  III,,123,0,4,16,11,30.75,7.6875,11.1818
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Agu Oka,South East,Anambra,Awka South,Agu Oka,,103,0,4,14,9,25.75,7.3571,11.4444
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Amawbia  I,South East,Anambra,Awka South,Amawbia  I,,70,0,4,9,6,17.5,7.7778,11.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Amawbia  II,South East,Anambra,Awka South,Amawbia  II,,94,0,4,12,8,23.5,7.8333,11.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Nnewi-ichi  I,South East,Anambra,Nnewi North,Nnewi-ichi  I,,111,0,4,14,9,27.75,7.9286,12.3333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Nnewi-ichi  II,South East,Anambra,Nnewi North,Nnewi-ichi  II,,115,0,4,14,9,28.75,8.2143,12.7778
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Otolo  I,South East,Anambra,Nnewi North,Otolo  I,,82,0,4,11,7,20.5,7.4545,11.7143
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,American Quarters,South East,Anambra,Onitsha North,American Quarters,,138,0,4,16,11,34.5,8.625,12.5455
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,G.R.A,South East,Anambra,Onitsha North,G.R.A,,65,0,4,9,6,16.25,7.2222,10.8333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Inland Town I,South East,Anambra,Onitsha North,Inland Town I,,111,0,4,15,10,27.75,7.4,11.1
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bridge Head I,South East,Anambra,Onitsha South,Bridge Head I,,90,0,4,12,8,22.5,7.5,11.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bridge Head II,South East,Anambra,Onitsha South,Bridge Head II,,62,0,4,9,6,15.5,6.8889,10.3333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bridge Head III,South East,Anambra,Onitsha South,Bridge Head III,,109,0,4,14,9,27.25,7.7857,12.1111
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,78,0,4,10,6,19.5,7.8,13.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Achalla  II,South East,Anambra,Awka North,Achalla  II,,64,0,4,9,6,16.0,7.1111,10.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Achalla  III,South East,Anambra,Awka North,Achalla  III,,95,0,4,12,8,23.75,7.9167,11.875
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Agu Oka,South East,Anambra,Awka South,Agu Oka,,79,0,4,11,7,19.75,7.1818,11.2857
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Amawbia  I,South East,Anambra,Awka South,Amawbia  I,,54,0,4,7,5,13.5,7.7143,10.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Amawbia  II,South East,Anambra,Awka South,Amawbia  II,,73,0,4,10,7,18.25,7.3,10.4286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Nnewi-ichi  I,South East,Anambra,Nnewi North,Nnewi-ichi  I,,87,0,4,11,7,21.75,7.9091,12.4286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Nnewi-ichi  II,South East,Anambra,Nnewi North,Nnewi-ichi  II,,89,0,4,12,8,22.25,7.4167,11.125
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Otolo  I,South East,Anambra,Nnewi North,Otolo  I,,63,0,4,9,6,15.75,7.0,10.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,American Quarters,South East,Anambra,Onitsha North,American Quarters,,107,0,4,13,9,26.75,8.2308,11.8889
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,G.R.A,South East,Anambra,Onitsha North,G.R.A,,50,0,4,7,5,12.5,7.1429,10.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Inland Town I,South East,Anambra,Onitsha North,Inland Town I,,87,0,4,12,8,21.75,7.25,10.875
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bridge Head I,South East,Anambra,Onitsha South,Bridge Head I,,71,0,4,10,7,17.75,7.1,10.1429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bridge Head II,South East,Anambra,Onitsha South,Bridge Head II,,48,0,4,7,5,12.0,6.8571,9.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bridge Head III,South East,Anambra,Onitsha South,Bridge Head III,,85,0,4,11,7,21.25,7.7273,12.1429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,43,0,4,6,4,10.75,7.1667,10.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Achalla  II,South East,Anambra,Awka North,Achalla  II,,35,0,4,6,4,8.75,5.8333,8.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Achalla  III,South East,Anambra,Awka North,Achalla  III,,52,0,4,7,5,13.0,7.4286,10.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Agu Oka,South East,Anambra,Awka South,Agu Oka,,44,0,4,7,5,11.0,6.2857,8.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Amawbia  I,South East,Anambra,Awka South,Amawbia  I,,30,0,4,5,4,7.5,6.0,7.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Amawbia  II,South East,Anambra,Awka South,Amawbia  II,,40,0,4,7,5,10.0,5.7143,8.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Nnewi-ichi  I,South East,Anambra,Nnewi North,Nnewi-ichi  I,,47,0,4,7,5,11.75,6.7143,9.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Nnewi-ichi  II,South East,Anambra,Nnewi North,Nnewi-ichi  II,,49,0,4,7,5,12.25,7.0,9.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Otolo  I,South East,Anambra,Nnewi North,Otolo  I,,35,0,4,6,4,8.75,5.8333,8.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,American Quarters,South East,Anambra,Onitsha North,American Quarters,,60,0,8,8,6,7.5,7.5,10.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,G.R.A,South East,Anambra,Onitsha North,G.R.A,,28,0,4,5,4,7.0,5.6,7.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Inland Town I,South East,Anambra,Onitsha North,Inland Town I,,48,0,4,7,5,12.0,6.8571,9.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Bridge Head I,South East,Anambra,Onitsha South,Bridge Head I,,39,0,4,6,4,9.75,6.5,9.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Bridge Head II,South East,Anambra,Onitsha South,Bridge Head II,,27,0,4,5,4,6.75,5.4,6.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Bridge Head III,South East,Anambra,Onitsha South,Bridge Head III,,47,0,4,7,5,11.75,6.7143,9.4
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Achalla  I,South East,Anambra,Awka North,Achalla  I,,327,0,8,17,11,40.875,19.2353,29.7273
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Achalla  II,South East,Anambra,Awka North,Achalla  II,,299,0,8,16,10,37.375,18.6875,29.9
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Achalla  III,South East,Anambra,Awka North,Achalla  III,,538,0,16,27,17,33.625,19.9259,31.6471
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Agu Oka,South East,Anambra,Awka South,Agu Oka,,360,0,12,19,12,30.0,18.9474,30.0
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Amawbia  I,South East,Anambra,Awka South,Amawbia  I,,306,0,8,16,10,38.25,19.125,30.6
