session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,60,0,4,9,3,15.0,6.6667,20.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gassa/Sho,North Central,Plateau,Barkin Ladi,Gassa/Sho,,130,0,4,16,6,32.5,8.125,21.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gindin Akwati,North Central,Plateau,Barkin Ladi,Gindin Akwati,,112,0,4,16,6,28.0,7.0,18.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Abba Na Shehu,North Central,Plateau,Jos North,Abba Na Shehu,,120,0,4,16,6,30.0,7.5,20.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ali Kazaure,North Central,Plateau,Jos North,Ali Kazaure,,127,0,8,18,7,15.875,7.0556,18.1429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gangare,North Central,Plateau,Jos North,Gangare,,121,0,4,16,6,30.25,7.5625,20.1667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bukuru,North Central,Plateau,Jos South,Bukuru,,85,0,4,12,5,21.25,7.0833,17.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Du,North Central,Plateau,Jos South,Du,,96,0,4,14,5,24.0,6.8571,19.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Giring,North Central,Plateau,Jos South,Giring,,110,0,4,16,6,27.5,6.875,18.3333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ampang west,North Central,Plateau,Mangu,Ampang west,,116,0,8,17,7,14.5,6.8235,16.5714
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Chanso,North Central,Plateau,Mangu,Chanso,,93,0,4,14,5,23.25,6.6429,18.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gindiri  I,North Central,Plateau,Mangu,Gindiri  I,,102,0,4,13,5,25.5,7.8462,20.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Chip,North Central,Plateau,Pankshin,Chip,,131,0,8,17,6,16.375,7.7059,21.8333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Dok-Pai,North Central,Plateau,Pankshin,Dok-Pai,,107,0,4,14,5,26.75,7.6429,21.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Fier,North Central,Plateau,Pankshin,Fier,,95,0,4,13,5,23.75,7.3077,19.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,47,0,4,7,2,11.75,6.7143,23.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Gassa/Sho,North Central,Plateau,Barkin Ladi,Gassa/Sho,,101,0,8,14,5,12.625,7.2143,20.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Gindin Akwati,North Central,Plateau,Barkin Ladi,Gindin Akwati,,88,0,4,12,5,22.0,7.3333,17.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Abba Na Shehu,North Central,Plateau,Jos North,Abba Na Shehu,,93,0,4,13,5,23.25,7.1538,18.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ali Kazaure,North Central,Plateau,Jos North,Ali Kazaure,,99,0,8,14,5,12.375,7.0714,19.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Gangare,North Central,Plateau,Jos North,Gangare,,94,0,4,13,5,23.5,7.2308,18.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bukuru,North Central,Plateau,Jos South,Bukuru,,66,0,4,9,3,16.5,7.3333,22.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Du,North Central,Plateau,Jos South,Du,,75,0,4,11,4,18.75,6.8182,18.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Giring,North Central,Plateau,Jos South,Giring,,86,0,4,12,5,21.5,7.1667,17.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ampang west,North Central,Plateau,Mangu,Ampang west,,91,0,4,14,5,22.75,6.5,18.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Chanso,North Central,Plateau,Mangu,Chanso,,73,0,4,11,4,18.25,6.6364,18.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Gindiri  I,North Central,Plateau,Mangu,Gindiri  I,,79,0,4,11,4,19.75,7.1818,19.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Chip,North Central,Plateau,Pankshin,Chip,,102,0,8,13,5,12.75,7.8462,20.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Dok-Pai,North Central,Plateau,Pankshin,Dok-Pai,,83,0,4,12,5,20.75,6.9167,16.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Fier,North Central,Plateau,Pankshin,Fier,,75,0,4,11,4,18.75,6.8182,18.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Barakin Ladi,North Central,Plateau,Barkin Ladi,Barakin Ladi,,26,0,4,5,1,6.5,5.2,26.0
