session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Baro,North Central,Niger,Agaie,Baro,,95,0,4,14,10,23.75,6.7857,9.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Boku,North Central,Niger,Agaie,Boku,,130,0,4,18,13,32.5,7.2222,10.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Dauaci,North Central,Niger,Agaie,Dauaci,,139,0,8,19,14,17.375,7.3158,9.9286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bariki,North Central,Niger,Bida,Bariki,,86,0,4,12,9,21.5,7.1667,9.5556
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ceniyan,North Central,Niger,Bida,Ceniyan,,124,0,4,17,12,31.0,7.2941,10.3333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Dokodza,North Central,Niger,Bida,Dokodza,,65,0,4,10,7,16.25,6.5,9.2857
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Limawa 'A',North Central,Niger,Chanchaga,Limawa 'A',,97,0,4,14,10,24.25,6.9286,9.7
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Limawa 'B',North Central,Niger,Chanchaga,Limawa 'B',,110,0,4,15,11,27.5,7.3333,10.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Makera,North Central,Niger,Chanchaga,Makera,,86,0,4,12,9,21.5,7.1667,9.5556
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Arewa,North Central,Niger,Kontagora,Arewa,,141,0,8,19,14,17.625,7.4211,10.0714
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Central,North Central,Niger,Kontagora,Central,,88,0,4,13,9,22.0,6.7692,9.7778
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gabas,North Central,Niger,Kontagora,Gabas,,127,0,4,18,13,31.75,7.0556,9.7692
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bagama 'B',North Central,Niger,Suleja,Bagama 'B',,86,0,4,12,9,21.5,7.1667,9.5556
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bagmama 'A',North Central,Niger,Suleja,Bagmama 'A',,140,0,8,19,14,17.5,7.3684,10.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Hashimi 'A',North Central,Niger,Suleja,Hashimi 'A',,94,0,4,13,9,23.5,7.2308,10.4444
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Baro,North Central,Niger,Agaie,Baro,,74,0,4,12,9,18.5,6.1667,8.2222
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Boku,North Central,Niger,Agaie,Boku,,101,0,4,14,10,25.25,7.2143,10.1
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Dauaci,North Central,Niger,Agaie,Dauaci,,108,0,4,16,11,27.0,6.75,9.8182
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bariki,North Central,Niger,Bida,Bariki,,67,0,4,9,7,16.75,7.4444,9.5714
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ceniyan,North Central,Niger,Bida,Ceniyan,,96,0,4,14,10,24.0,6.8571,9.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Dokodza,North Central,Niger,Bida,Dokodza,,50,0,4,9,7,12.5,5.5556,7.1429
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Limawa 'A',North Central,Niger,Chanchaga,Limawa 'A',,75,0,4,11,8,18.75,6.8182,9.375
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Limawa 'B',North Central,Niger,Chanchaga,Limawa 'B',,86,0,4,12,9,21.5,7.1667,9.5556
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Makera,North Central,Niger,Chanchaga,Makera,,66,0,4,10,7,16.5,6.6,9.4286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Arewa,North Central,Niger,Kontagora,Arewa,,110,0,8,16,11,13.75,6.875,10.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Central,North Central,Niger,Kontagora,Central,,68,0,4,10,7,17.0,6.8,9.7143
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Gabas,North Central,Niger,Kontagora,Gabas,,98,0,4,14,10,24.5,7.0,9.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bagama 'B',North Central,Niger,Suleja,Bagama 'B',,67,0,4,10,7,16.75,6.7,9.5714
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bagmama 'A',North Central,Niger,Suleja,Bagmama 'A',,109,0,8,15,11,13.625,7.2667,9.9091
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Hashimi 'A',North Central,Niger,Suleja,Hashimi 'A',,74,0,4,11,8,18.5,6.7273,9.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Baro,North Central,Niger,Agaie,Baro,,40,0,4,7,5,10.0,5.7143,8.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Boku,North Central,Niger,Agaie,Boku,,55,0,4,9,7,13.75,6.1111,7.8571
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Dauaci,North Central,Niger,Agaie,Dauaci,,60,0,8,9,7,7.5,6.6667,8.5714
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Bariki,North Central,Niger,Bida,Bariki,,37,0,4,6,4,9.25,6.1667,9.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ceniyan,North Central,Niger,Bida,Ceniyan,,52,0,4,9,7,13.0,5.7778,7.4286
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Dokodza,North Central,Niger,Bida,Dokodza,,28,0,4,5,4,7.0,5.6,7.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Limawa 'A',North Central,Niger,Chanchaga,Limawa 'A',,41,0,4,7,5,10.25,5.8571,8.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Limawa 'B',North Central,Niger,Chanchaga,Limawa 'B',,47,0,4,7,5,11.75,6.7143,9.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Makera,North Central,Niger,Chanchaga,Makera,,36,0,4,7,5,9.0,5.1429,7.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Arewa,North Central,Niger,Kontagora,Arewa,,60,0,8,9,7,7.5,6.6667,8.5714
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Central,North Central,Niger,Kontagora,Central,,37,0,4,7,5,9.25,5.2857,7.4
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Gabas,North Central,Niger,Kontagora,Gabas,,54,0,4,9,7,13.5,6.0,7.7143
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Bagama 'B',North Central,Niger,Suleja,Bagama 'B',,36,0,4,7,5,9.0,5.1429,7.2
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Bagmama 'A',North Central,Niger,Suleja,Bagmama 'A',,60,0,8,9,7,7.5,6.6667,8.5714
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Hashimi 'A',North Central,Niger,Suleja,Hashimi 'A',,40,0,4,7,5,10.0,5.7143,8.0
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Baro,North Central,Niger,Agaie,Baro,,229,0,8,14,10,28.625,16.3571,22.9
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Boku,North Central,Niger,Agaie,Boku,,355,0,8,21,15,44.375,16.9048,23.6667
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Dauaci,North Central,Niger,Agaie,Dauaci,,449,0,12,24,17,37.4167,18.7083,26.4118
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Bariki,North Central,Niger,Bida,Bariki,,265,0,8,15,11,33.125,17.6667,24.0909
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Ceniyan,North Central,Niger,Bida,Ceniyan,,349,0,8,20,14,43.625,17.45,24.9286
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Dokodza,North Central,Niger,Bida,Dokodza,,214,0,4,13,9,53.5,16.4615,23.7778
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Limawa 'A',North Central,Niger,Chanchaga,Limawa 'A',,384,0,12,21,15,32.0,18.2857,25.6
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Limawa 'B',North Central,Niger,Chanchaga,Limawa 'B',,332,0,8,19,13,41.5,17.4737,25.5385
2019/2020,Female,all,Private,JSS,JSS1,JSS1,ward,Makera,North Central,Niger,Chanchaga,Makera,,295,0,8,17,12,36.875,17.3529,24.5833
