session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,106,0,4,11,7,26.5,9.6364,15.1429,15.43,10.56,0.7,1.19,2.34,1.55,1.54
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gboko East,North Central,Benue,Gboko,Gboko East,,125,0,8,12,8,15.625,10.4167,15.625,14.61,10.85,1.35,2.3,4.46,2.94,2.92
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Gboko North West,North Central,Benue,Gboko,Gboko North West,,76,0,4,9,6,19.0,8.4444,12.6667,15.9,8.64,0.75,1.42,2.38,1.59,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ikurav Tiev I,North Central,Benue,Katsina-Ala,Ikurav Tiev I,,79,0,4,9,6,19.75,8.7778,13.1667,15.79,8.64,0.74,1.37,2.37,1.58,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ikurav Tiev II,North Central,Benue,Katsina-Ala,Ikurav Tiev II,,116,0,4,12,8,29.0,9.6667,14.5,15.54,11.52,0.71,1.24,2.35,1.56,1.55
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Iwar(Tongov I),North Central,Benue,Katsina-Ala,Iwar(Tongov I),,89,0,4,9,6,22.25,9.8889,14.8333,15.48,8.64,0.7,1.21,2.34,1.56,1.54
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Agan,North Central,Benue,Makurdi,Agan,,153,0,8,14,9,19.125,10.9286,17.0,14.17,12.41,1.29,2.12,4.35,2.87,2.85
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ankpa/Wadata,North Central,Benue,Makurdi,Ankpa/Wadata,,71,0,4,7,5,17.75,10.1429,14.2,15.38,6.61,0.71,1.27,2.32,1.54,1.53
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bar,North Central,Benue,Makurdi,Bar,,91,0,4,9,6,22.75,10.1111,15.1667,15.43,8.64,0.7,1.19,2.34,1.55,1.54
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Adoka-Haje,North Central,Benue,Oturkpo,Adoka-Haje,,131,0,8,12,8,16.375,10.9167,16.375,14.01,10.42,1.3,2.2,4.3,2.83,2.81
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Adoka-Icho,North Central,Benue,Oturkpo,Adoka-Icho,,85,0,4,9,6,21.25,9.4444,14.1667,15.6,8.64,0.72,1.27,2.35,1.57,1.55
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Allan,North Central,Benue,Oturkpo,Allan,,85,0,4,9,6,21.25,9.4444,14.1667,15.6,8.64,0.72,1.27,2.35,1.57,1.55
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Mbadede,North Central,Benue,Vandeikya,Mbadede,,97,0,4,9,6,24.25,10.7778,16.1667,14.93,8.41,0.67,1.11,2.28,1.51,1.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Mbagbam,North Central,Benue,Vandeikya,Mbagbam,,103,0,4,10,7,25.75,10.3,14.7143,15.5,9.6,0.71,1.22,2.34,1.56,1.54
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Mbagbera,North Central,Benue,Vandeikya,Mbagbera,,84,0,4,9,6,21.0,9.3333,14.0,15.63,8.64,0.72,1.29,2.36,1.57,1.55
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,83,0,4,9,6,20.75,9.2222,13.8333,15.66,8.64,0.72,1.3,2.36,1.57,1.55
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Gboko East,North Central,Benue,Gboko,Gboko East,,97,0,8,10,7,12.125,9.7,13.8571,15.44,9.44,1.44,2.6,4.66,3.09,3.06
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Gboko North West,North Central,Benue,Gboko,Gboko North West,,59,0,4,7,5,14.75,8.4286,11.8,16.11,6.72,0.78,1.53,2.4,1.6,1.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ikurav Tiev I,North Central,Benue,Katsina-Ala,Ikurav Tiev I,,60,0,4,7,5,15.0,8.5714,12.0,16.06,6.72,0.77,1.5,2.39,1.6,1.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ikurav Tiev II,North Central,Benue,Katsina-Ala,Ikurav Tiev II,,90,0,4,10,7,22.5,9.0,12.8571,15.86,9.6,0.75,1.4,2.38,1.58,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Iwar(Tongov I),North Central,Benue,Katsina-Ala,Iwar(Tongov I),,69,0,4,7,5,17.25,9.8571,13.8,15.66,6.72,0.72,1.3,2.36,1.57,1.55
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Agan,North Central,Benue,Makurdi,Agan,,119,0,8,12,8,14.875,9.9167,14.875,15.26,11.33,1.4,2.42,4.63,3.07,3.04
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ankpa/Wadata,North Central,Benue,Makurdi,Ankpa/Wadata,,54,0,4,6,4,13.5,9.0,13.5,15.72,5.76,0.73,1.33,2.36,1.57,1.55
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bar,North Central,Benue,Makurdi,Bar,,72,0,4,7,5,18.0,10.2857,14.4,15.19,6.53,0.7,1.25,2.3,1.53,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Adoka-Haje,North Central,Benue,Oturkpo,Adoka-Haje,,101,0,4,10,7,25.25,10.1,14.4286,15.55,9.6,0.71,1.25,2.35,1.56,1.55
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Adoka-Icho,North Central,Benue,Oturkpo,Adoka-Icho,,66,0,4,7,5,16.5,9.4286,13.2,15.78,6.72,0.74,1.36,2.37,1.58,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Allan,North Central,Benue,Oturkpo,Allan,,66,0,4,7,5,16.5,9.4286,13.2,15.78,6.72,0.74,1.36,2.37,1.58,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Mbadede,North Central,Benue,Vandeikya,Mbadede,,75,0,4,8,6,18.75,9.375,12.5,15.94,7.68,0.76,1.44,2.38,1.59,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Mbagbam,North Central,Benue,Vandeikya,Mbagbam,,80,0,4,9,6,20.0,8.8889,13.3333,15.76,8.64,0.74,1.35,2.37,1.58,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Mbagbera,North Central,Benue,Vandeikya,Mbagbera,,66,0,4,7,5,16.5,9.4286,13.2,15.78,6.72,0.74,1.36,2.37,1.58,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Gbk/Central Market,North Central,Benue,Gboko,Gbk/Central Market,,46,0,4,6,4,11.5,7.6667,11.5,16.19,5.76,0.79,1.57,2.41,1.61,1.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Gboko East,North Central,Benue,Gboko,Gboko East,,53,0,8,7,5,6.625,7.5714,10.6,16.45,6.72,1.64,3.4,4.86,3.25,3.17
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Gboko North West,North Central,Benue,Gboko,Gboko North West,,33,0,4,5,4,8.25,6.6,8.25,17.42,4.8,0.94,2.18,2.52,1.69,1.62
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ikurav Tiev I,North Central,Benue,Katsina-Ala,Ikurav Tiev I,,33,0,4,5,4,8.25,6.6,8.25,17.42,4.8,0.94,2.18,2.52,1.69,1.62
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ikurav Tiev II,North Central,Benue,Katsina-Ala,Ikurav Tiev II,,49,0,4,7,5,12.25,7.0,9.8,16.73,6.72,0.85,1.84,2.46,1.64,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Iwar(Tongov I),North Central,Benue,Katsina-Ala,Iwar(Tongov I),,38,0,4,5,4,9.5,7.6,9.5,16.85,4.8,0.87,1.89,2.47,1.65,1.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Agan,North Central,Benue,Makurdi,Agan,,65,0,8,7,5,8.125,9.2857,13.0,15.83,6.72,1.49,2.77,4.75,3.16,3.12
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ankpa/Wadata,North Central,Benue,Makurdi,Ankpa/Wadata,,30,0,4,4,4,7.5,7.5,7.5,17.86,3.84,0.99,2.4,2.56,1.72,1.64
