session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Kusugu,North West,Katsina,Daura,Kusugu,,109,0,4,15,9,27.25,7.2667,12.1111,16.03,14.4,0.77,1.49,2.39,1.6,1.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Madobi A,North West,Katsina,Daura,Madobi A,,92,0,4,14,9,23.0,6.5714,10.2222,16.58,13.44,0.83,1.76,2.44,1.63,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Madobi B,North West,Katsina,Daura,Madobi B,,137,0,4,19,11,34.25,7.2105,12.4545,15.95,18.24,0.76,1.45,2.38,1.59,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bagagadi,North West,Katsina,Dutsin Ma,Bagagadi,,134,0,8,19,11,16.75,7.0526,12.1818,16.01,18.24,1.53,2.96,4.78,3.19,3.13
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Dabawa,North West,Katsina,Dutsin Ma,Dabawa,,122,0,4,16,9,30.5,7.625,13.5556,15.71,15.36,0.73,1.33,2.36,1.57,1.55
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Dutsin-Ma A,North West,Katsina,Dutsin Ma,Dutsin-Ma A,,140,0,8,19,11,17.5,7.3684,12.7273,15.88,18.24,1.5,2.83,4.76,3.17,3.12
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Dandutse,North West,Katsina,Funtua,Dandutse,,78,0,4,11,7,19.5,7.0909,11.1429,16.29,10.56,0.8,1.62,2.42,1.61,1.58
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Dukke,North West,Katsina,Funtua,Dukke,,131,0,4,18,10,32.75,7.2778,13.1,15.8,17.28,0.74,1.37,2.37,1.58,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Goya,North West,Katsina,Funtua,Goya,,102,0,4,14,9,25.5,7.2857,11.3333,16.23,13.44,0.79,1.59,2.41,1.61,1.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Kangiwa,North West,Katsina,Katsina,Kangiwa,,149,0,8,19,11,18.625,7.8421,13.5455,15.71,18.24,1.46,2.66,4.73,3.15,3.11
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Shinkafi 'A,North West,Katsina,Katsina,Shinkafi 'A,,89,0,4,12,7,22.25,7.4167,12.7143,15.89,11.52,0.75,1.42,2.38,1.59,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Shinkafi 'B',North West,Katsina,Katsina,Shinkafi 'B',,105,0,4,15,9,26.25,7.0,11.6667,16.14,14.4,0.78,1.54,2.4,1.6,1.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Bamble,North West,Katsina,Mashi,Bamble,,161,0,8,20,11,20.125,8.05,14.6364,15.52,19.2,1.41,2.46,4.69,3.12,3.09
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Doguru 'A',North West,Katsina,Mashi,Doguru 'A',,101,0,4,13,8,25.25,7.7692,12.625,15.91,12.48,0.75,1.43,2.38,1.59,1.56
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Doguru 'B',North West,Katsina,Mashi,Doguru 'B',,109,0,4,15,9,27.25,7.2667,12.1111,16.03,14.4,0.77,1.49,2.39,1.6,1.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Kusugu,North West,Katsina,Daura,Kusugu,,85,0,4,12,7,21.25,7.0833,12.1429,16.02,11.52,0.77,1.48,2.39,1.59,1.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Madobi A,North West,Katsina,Daura,Madobi A,,71,0,4,11,7,17.75,6.4545,10.1429,16.61,10.56,0.84,1.77,2.44,1.63,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Madobi B,North West,Katsina,Daura,Madobi B,,106,0,8,15,9,13.25,7.0667,11.7778,16.11,14.4,1.56,3.06,4.8,3.2,3.14
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Bagagadi,North West,Katsina,Dutsin Ma,Bagagadi,,104,0,8,14,9,13.0,7.4286,11.5556,16.17,13.44,1.57,3.12,4.81,3.21,3.14
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Dabawa,North West,Katsina,Dutsin Ma,Dabawa,,95,0,4,13,8,23.75,7.3077,11.875,16.09,12.48,0.78,1.52,2.4,1.6,1.57
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Dutsin-Ma A,North West,Katsina,Dutsin Ma,Dutsin-Ma A,,108,0,8,15,9,13.5,7.2,12.0,16.06,14.4,1.54,3,4.79,3.19,3.13
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Dandutse,North West,Katsina,Funtua,Dandutse,,60,0,4,9,6,15.0,6.6667,10.0,16.66,8.64,0.84,1.8,2.45,1.64,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Dukke,North West,Katsina,Funtua,Dukke,,103,0,8,15,9,12.875,6.8667,11.4444,16.2,14.4,1.58,3.15,4.82,3.21,3.15
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Goya,North West,Katsina,Funtua,Goya,,79,0,4,11,7,19.75,7.1818,11.2857,16.25,10.56,0.79,1.59,2.41,1.61,1.57
