session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Adadama,South South,Cross River,Abi,Adadama,,116,0,4,16,5,29.0,7.25,23.2,14.61,15.36,0.6,0.78,2.26,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Afafanyi/Igonigoni,South South,Cross River,Abi,Afafanyi/Igonigoni,,94,0,4,12,4,23.5,7.8333,23.5,14.59,11.52,0.6,0.77,2.26,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ebom,South South,Cross River,Abi,Ebom,,81,0,4,12,4,20.25,6.75,20.25,14.83,11.52,0.62,0.89,2.28,1.51,1.52
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Abuochiche,South South,Cross River,Bekwarra,Abuochiche,,82,0,4,12,4,20.5,6.8333,20.5,14.81,11.52,0.62,0.88,2.28,1.51,1.52
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Afrike Ochagbe,South South,Cross River,Bekwarra,Afrike Ochagbe,,91,0,4,12,4,22.75,7.5833,22.75,14.64,11.52,0.6,0.79,2.27,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Afrike Okpeche,South South,Cross River,Bekwarra,Afrike Okpeche,,104,0,4,13,4,26.0,8.0,26.0,14.44,12.48,0.58,0.69,2.25,1.49,1.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,60,0,4,9,3,15.0,6.6667,20.0,14.86,8.64,0.63,0.9,2.29,1.51,1.52
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Five,South South,Cross River,Calabar Municipal,Five,,95,0,4,13,4,23.75,7.3077,23.75,14.57,12.48,0.59,0.76,2.26,1.49,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Four,South South,Cross River,Calabar Municipal,Four,,116,0,4,16,5,29.0,7.25,23.2,14.61,15.36,0.6,0.78,2.26,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,118,0,4,16,5,29.5,7.375,23.6,14.58,15.36,0.59,0.76,2.26,1.49,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Eleven (11),South South,Cross River,Calabar South,Eleven (11),,95,0,4,12,4,23.75,7.9167,23.75,14.57,11.52,0.59,0.76,2.26,1.49,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Five (5),South South,Cross River,Calabar South,Five (5),,45,0,4,7,2,11.25,6.4286,22.5,14.66,6.72,0.6,0.8,2.27,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ekajuk I,South South,Cross River,Ogoja,Ekajuk I,,76,0,4,11,4,19.0,6.9091,19.0,14.95,10.56,0.64,0.95,2.3,1.52,1.52
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ekajuk II,South South,Cross River,Ogoja,Ekajuk II,,77,0,4,12,4,19.25,6.4167,19.25,14.93,11.52,0.64,0.94,2.29,1.52,1.52
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Mbube East I,South South,Cross River,Ogoja,Mbube East I,,92,0,4,12,4,23.0,7.6667,23.0,14.62,11.52,0.6,0.78,2.27,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Adadama,South South,Cross River,Abi,Adadama,,89,0,4,12,4,22.25,7.4167,22.25,14.67,11.52,0.61,0.81,2.27,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Afafanyi/Igonigoni,South South,Cross River,Abi,Afafanyi/Igonigoni,,74,0,4,10,4,18.5,7.4,18.5,15,9.6,0.65,0.97,2.3,1.52,1.52
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ebom,South South,Cross River,Abi,Ebom,,62,0,4,9,3,15.5,6.8889,20.6667,14.8,8.64,0.62,0.87,2.28,1.51,1.52
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Abuochiche,South South,Cross River,Bekwarra,Abuochiche,,64,0,4,9,3,16.0,7.1111,21.3333,14.74,8.64,0.61,0.84,2.28,1.51,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Afrike Ochagbe,South South,Cross River,Bekwarra,Afrike Ochagbe,,72,0,4,10,3,18.0,7.2,24.0,14.56,9.6,0.59,0.75,2.26,1.49,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Afrike Okpeche,South South,Cross River,Bekwarra,Afrike Okpeche,,82,0,4,11,4,20.5,7.4545,20.5,14.81,10.56,0.62,0.88,2.28,1.51,1.52
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Eigth,South South,Cross River,Calabar Municipal,Eigth,,47,0,4,7,2,11.75,6.7143,23.5,14.59,6.72,0.6,0.77,2.26,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Five,South South,Cross River,Calabar Municipal,Five,,73,0,4,11,4,18.25,6.6364,18.25,15.03,10.56,0.65,0.99,2.3,1.53,1.53
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Four,South South,Cross River,Calabar Municipal,Four,,90,0,4,12,4,22.5,7.5,22.5,14.66,11.52,0.6,0.8,2.27,1.5,1.51
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Eight (8),South South,Cross River,Calabar South,Eight (8),,91,0,4,12,4,22.75,7.5833,22.75,14.64,11.52,0.6,0.79,2.27,1.5,1.51
