session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer,infrastructure_score,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ado 'A' Idofin,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,,101,0,4,15,10,25.25,6.7333,10.1,16.62,14.4,0.84,1.78,2.45,1.64,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ado 'B' Inisa,South West,Ekiti,Ado-Ekiti,Ado 'B' Inisa,,89,0,4,14,10,22.25,6.3571,8.9,17.1,13.44,0.9,2.02,2.49,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ado 'C' Idolofin,South West,Ekiti,Ado-Ekiti,Ado 'C' Idolofin,,68,0,4,11,8,17.0,6.1818,8.5,17.29,10.56,0.92,2.12,2.51,1.68,1.62
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Efon I,South West,Ekiti,Efon,Efon I,,59,0,4,10,7,14.75,5.9,8.4286,17.33,9.6,0.92,2.14,2.51,1.68,1.62
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Efon II,South West,Ekiti,Efon,Efon II,,87,0,4,13,9,21.75,6.6923,9.6667,16.78,12.48,0.86,1.86,2.46,1.65,1.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Efon III,South West,Ekiti,Efon,Efon III,,74,0,4,11,8,18.5,6.7273,9.25,16.95,10.56,0.88,1.95,2.48,1.66,1.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ida Mudu I,South West,Ekiti,Emure,Ida Mudu I,,124,0,4,19,14,31.0,6.5263,8.8571,17.12,18.24,0.9,2.03,2.49,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ida Mudu II,South West,Ekiti,Emure,Ida Mudu II,,100,0,4,14,10,25.0,7.1429,10.0,16.66,13.44,0.84,1.8,2.45,1.64,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,105,0,4,16,11,26.25,6.5625,9.5455,16.83,15.36,0.86,1.89,2.46,1.65,1.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ado 'A' Idofin,South West,Ekiti,Gbonyin,Ado 'A' Idofin,,89,0,4,13,9,22.25,6.8462,9.8889,16.7,12.48,0.85,1.82,2.45,1.64,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ado 'B' Inisa,South West,Ekiti,Gbonyin,Ado 'B' Inisa,,99,0,4,13,9,24.75,7.6154,11.0,16.33,12.48,0.8,1.64,2.42,1.62,1.58
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,113,0,4,16,11,28.25,7.0625,10.2727,16.56,15.36,0.83,1.75,2.44,1.63,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ekamarun Ward 'A',South West,Ekiti,Ijero,Ekamarun Ward 'A',,87,0,4,13,9,21.75,6.6923,9.6667,16.78,12.48,0.86,1.86,2.46,1.65,1.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ekameta,South West,Ekiti,Ijero,Ekameta,,128,0,4,18,13,32.0,7.1111,9.8462,16.71,17.28,0.85,1.83,2.45,1.64,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,ward,Ijero Ward 'A',South West,Ekiti,Ijero,Ijero Ward 'A',,89,0,4,14,10,22.25,6.3571,8.9,17.1,13.44,0.9,2.02,2.49,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ado 'A' Idofin,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,,77,0,4,12,9,19.25,6.4167,8.5556,17.26,11.52,0.92,2.1,2.5,1.68,1.62
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ado 'B' Inisa,South West,Ekiti,Ado-Ekiti,Ado 'B' Inisa,,69,0,4,11,8,17.25,6.2727,8.625,17.23,10.56,0.91,2.09,2.5,1.68,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ado 'C' Idolofin,South West,Ekiti,Ado-Ekiti,Ado 'C' Idolofin,,53,0,4,9,7,13.25,5.8889,7.5714,17.81,8.64,0.98,2.38,2.55,1.72,1.64
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Efon I,South West,Ekiti,Efon,Efon I,,45,0,4,8,6,11.25,5.625,7.5,17.86,7.68,0.99,2.4,2.56,1.72,1.64
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Efon II,South West,Ekiti,Efon,Efon II,,68,0,4,11,8,17.0,6.1818,8.5,17.29,10.56,0.92,2.12,2.51,1.68,1.62
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Efon III,South West,Ekiti,Efon,Efon III,,57,0,4,9,7,14.25,6.3333,8.1429,17.48,8.64,0.94,2.21,2.52,1.7,1.62
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ida Mudu I,South West,Ekiti,Emure,Ida Mudu I,,97,0,8,15,10,12.125,6.4667,9.7,16.77,14.4,1.71,3.71,4.92,3.29,3.19
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ida Mudu II,South West,Ekiti,Emure,Ida Mudu II,,78,0,4,12,9,19.5,6.5,8.6667,17.21,11.52,0.91,2.08,2.5,1.68,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,81,0,4,12,9,20.25,6.75,9.0,17.06,11.52,0.89,2,2.48,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ado 'A' Idofin,South West,Ekiti,Gbonyin,Ado 'A' Idofin,,70,0,4,11,8,17.5,6.3636,8.75,17.17,10.56,0.91,2.06,2.5,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ado 'B' Inisa,South West,Ekiti,Gbonyin,Ado 'B' Inisa,,76,0,4,11,8,19.0,6.9091,9.5,16.85,10.56,0.87,1.89,2.47,1.65,1.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,89,0,4,13,9,22.25,6.8462,9.8889,16.7,12.48,0.85,1.82,2.45,1.64,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ekamarun Ward 'A',South West,Ekiti,Ijero,Ekamarun Ward 'A',,67,0,4,10,8,16.75,6.7,8.375,17.35,9.6,0.93,2.15,2.51,1.69,1.62
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ekameta,South West,Ekiti,Ijero,Ekameta,,99,0,4,14,10,24.75,7.0714,9.9,16.69,13.44,0.85,1.82,2.45,1.64,1.59
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,ward,Ijero Ward 'A',South West,Ekiti,Ijero,Ijero Ward 'A',,70,0,4,11,8,17.5,6.3636,8.75,17.17,10.56,0.91,2.06,2.5,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ado 'A' Idofin,South West,Ekiti,Ado-Ekiti,Ado 'A' Idofin,,43,0,4,7,5,10.75,6.1429,8.6,17.24,6.72,0.91,2.09,2.5,1.68,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ado 'B' Inisa,South West,Ekiti,Ado-Ekiti,Ado 'B' Inisa,,38,0,4,7,5,9.5,5.4286,7.6,17.79,6.72,0.98,2.37,2.55,1.72,1.64
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ado 'C' Idolofin,South West,Ekiti,Ado-Ekiti,Ado 'C' Idolofin,,29,0,4,6,4,7.25,4.8333,7.25,18.02,5.76,1.01,2.48,2.57,1.73,1.65
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Efon I,South West,Ekiti,Efon,Efon I,,25,0,4,5,4,6.25,5.0,6.25,18.82,4.8,1.1,2.88,2.64,1.79,1.68
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Efon II,South West,Ekiti,Efon,Efon II,,37,0,4,7,5,9.25,5.2857,7.4,17.92,6.72,1,2.43,2.56,1.73,1.64
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Efon III,South West,Ekiti,Efon,Efon III,,32,0,4,6,4,8.0,5.3333,8.0,17.56,5.76,0.95,2.25,2.53,1.7,1.63
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ida Mudu I,South West,Ekiti,Emure,Ida Mudu I,,52,0,8,9,7,6.5,5.7778,7.4286,17.9,8.64,1.99,4.85,5.12,3.45,3.28
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ida Mudu II,South West,Ekiti,Emure,Ida Mudu II,,43,0,4,7,5,10.75,6.1429,8.6,17.24,6.72,0.91,2.09,2.5,1.68,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Odo Emure I,South West,Ekiti,Emure,Odo Emure I,,45,0,4,7,5,11.25,6.4286,9.0,17.06,6.72,0.89,2,2.48,1.67,1.61
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ado 'A' Idofin,South West,Ekiti,Gbonyin,Ado 'A' Idofin,,38,0,4,7,5,9.5,5.4286,7.6,17.79,6.72,0.98,2.37,2.55,1.72,1.64
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ado 'B' Inisa,South West,Ekiti,Gbonyin,Ado 'B' Inisa,,42,0,4,7,5,10.5,6.0,8.4,17.34,6.72,0.93,2.14,2.51,1.69,1.62
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ado 'C' Idolofin,South West,Ekiti,Gbonyin,Ado 'C' Idolofin,,48,0,4,8,6,12.0,6.0,8.0,17.56,7.68,0.95,2.25,2.53,1.7,1.63
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ekamarun Ward 'A',South West,Ekiti,Ijero,Ekamarun Ward 'A',,37,0,4,6,4,9.25,6.1667,9.25,16.95,5.76,0.88,1.95,2.48,1.66,1.6
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ekameta,South West,Ekiti,Ijero,Ekameta,,55,0,4,9,7,13.75,6.1111,7.8571,17.64,8.64,0.96,2.29,2.54,1.71,1.63
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 3,,ward,Ijero Ward 'A',South West,Ekiti,Ijero,Ijero Ward 'A',,38,0,4,7,5,9.5,5.4286,7.6,17.79,6.72,0.98,2.37,2.55,1.72,1.64
