session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,ward,Amuzu,South East,Imo,Aboh Mbaise,Amuzu,,351,257,201,72,72,64,73.2194,35.8209,100.0,88.8889
2019/2020,Female,all,NABTEB,ward,Enyiogugu,South East,Imo,Aboh Mbaise,Enyiogugu,,334,245,192,68,67,64,73.3533,35.4167,98.5294,95.5224
2019/2020,Female,all,NABTEB,ward,Ibeku,South East,Imo,Aboh Mbaise,Ibeku,,304,223,173,62,74,70,73.3553,35.8382,119.3548,94.5946
2019/2020,Female,all,NABTEB,ward,Agbobu,South East,Imo,Okigwe,Agbobu,,407,297,236,84,84,69,72.973,35.5932,100.0,82.1429
2019/2020,Female,all,NABTEB,ward,Aku,South East,Imo,Okigwe,Aku,,328,240,188,67,68,63,73.1707,35.6383,101.4925,92.6471
2019/2020,Female,all,NABTEB,ward,Amuro,South East,Imo,Okigwe,Amuro,,454,332,242,86,69,54,73.1278,35.5372,80.2326,78.2609
2019/2020,Female,all,NABTEB,ward,Amaifeke,South East,Imo,Orlu,Amaifeke,,411,300,230,81,79,65,72.9927,35.2174,97.5309,82.2785
2019/2020,Female,all,NABTEB,ward,Ebenese/Umueze/Nnachi Ihioma,South East,Imo,Orlu,Ebenese/Umueze/Nnachi Ihioma,,449,328,250,89,84,70,73.0512,35.6,94.382,83.3333
2019/2020,Female,all,NABTEB,ward,Eziachi/Amike,South East,Imo,Orlu,Eziachi/Amike,,453,330,262,93,103,91,72.8477,35.4962,110.7527,88.3495
2019/2020,Female,all,NABTEB,ward,Agbala/Obube/Ulakwo,South East,Imo,Owerri North,Agbala/Obube/Ulakwo,,344,252,204,72,78,69,73.2558,35.2941,108.3333,88.4615
2019/2020,Female,all,NABTEB,ward,Awaka/Ihitte-Ogada,South East,Imo,Owerri North,Awaka/Ihitte-Ogada,,349,256,207,73,77,70,73.3524,35.2657,105.4795,90.9091
2019/2020,Female,all,NABTEB,ward,Egbu,South East,Imo,Owerri North,Egbu,,401,294,222,78,74,64,73.3167,35.1351,94.8718,86.4865
2019/2020,Female,all,NABTEB,ward,Amakohia-Ubi/Ndegwu Ohii,South East,Imo,Owerri West,Amakohia-Ubi/Ndegwu Ohii,,411,300,224,79,89,76,72.9927,35.2679,112.6582,85.3933
2019/2020,Female,all,NABTEB,ward,Avu/Oforola,South East,Imo,Owerri West,Avu/Oforola,,378,278,216,76,79,70,73.545,35.1852,103.9474,88.6076
2019/2020,Female,all,NABTEB,ward,Emeabiam/Okolochi,South East,Imo,Owerri West,Emeabiam/Okolochi,,488,357,273,97,109,97,73.1557,35.5311,112.3711,88.9908
2019/2020,Female,all,NECO,ward,Amuzu,South East,Imo,Aboh Mbaise,Amuzu,,733,481,418,151,152,140,65.6207,36.1244,100.6623,92.1053
2019/2020,Female,all,NECO,ward,Enyiogugu,South East,Imo,Aboh Mbaise,Enyiogugu,,595,390,330,119,116,106,65.5462,36.0606,97.479,91.3793
2019/2020,Female,all,NECO,ward,Ibeku,South East,Imo,Aboh Mbaise,Ibeku,,537,354,312,113,113,101,65.9218,36.2179,100.0,89.3805
2019/2020,Female,all,NECO,ward,Agbobu,South East,Imo,Okigwe,Agbobu,,757,496,425,154,154,141,65.5218,36.2353,100.0,91.5584
2019/2020,Female,all,NECO,ward,Aku,South East,Imo,Okigwe,Aku,,640,421,363,131,137,127,65.7812,36.0882,104.5802,92.7007
2019/2020,Female,all,NECO,ward,Amuro,South East,Imo,Okigwe,Amuro,,857,563,466,168,160,141,65.6943,36.0515,95.2381,88.125
2019/2020,Female,all,NECO,ward,Amaifeke,South East,Imo,Orlu,Amaifeke,,821,538,470,169,164,151,65.5298,35.9574,97.0414,92.0732
2019/2020,Female,all,NECO,ward,Ebenese/Umueze/Nnachi Ihioma,South East,Imo,Orlu,Ebenese/Umueze/Nnachi Ihioma,,846,555,471,170,169,146,65.6028,36.0934,99.4118,86.3905
2019/2020,Female,all,NECO,ward,Eziachi/Amike,South East,Imo,Orlu,Eziachi/Amike,,789,517,451,163,174,161,65.526,36.1419,106.7485,92.5287
2019/2020,Female,all,NECO,ward,Agbala/Obube/Ulakwo,South East,Imo,Owerri North,Agbala/Obube/Ulakwo,,658,432,378,136,145,136,65.6535,35.9788,106.6176,93.7931
2019/2020,Female,all,NECO,ward,Awaka/Ihitte-Ogada,South East,Imo,Owerri North,Awaka/Ihitte-Ogada,,661,434,389,141,153,146,65.6581,36.2468,108.5106,95.4248
2019/2020,Female,all,NECO,ward,Egbu,South East,Imo,Owerri North,Egbu,,752,493,414,148,141,131,65.5585,35.7488,95.2703,92.9078
2019/2020,Female,all,NECO,ward,Amakohia-Ubi/Ndegwu Ohii,South East,Imo,Owerri West,Amakohia-Ubi/Ndegwu Ohii,,772,508,431,157,160,141,65.8031,36.4269,101.9108,88.125
2019/2020,Female,all,NECO,ward,Avu/Oforola,South East,Imo,Owerri West,Avu/Oforola,,683,448,398,144,149,141,65.593,36.1809,103.4722,94.6309
2019/2020,Female,all,NECO,ward,Emeabiam/Okolochi,South East,Imo,Owerri West,Emeabiam/Okolochi,,852,558,487,176,166,151,65.493,36.1396,94.3182,90.9639
2019/2020,Female,all,WAEC,ward,Amuzu,South East,Imo,Aboh Mbaise,Amuzu,,931,666,524,189,200,183,71.536,36.0687,105.8201,91.5
2019/2020,Female,all,WAEC,ward,Enyiogugu,South East,Imo,Aboh Mbaise,Enyiogugu,,759,543,416,150,140,130,71.5415,36.0577,93.3333,92.8571
2019/2020,Female,all,WAEC,ward,Ibeku,South East,Imo,Aboh Mbaise,Ibeku,,722,517,414,148,148,139,71.6066,35.7488,100.0,93.9189
2019/2020,Female,all,WAEC,ward,Agbobu,South East,Imo,Okigwe,Agbobu,,955,683,544,196,213,197,71.5183,36.0294,108.6735,92.4883
2019/2020,Female,all,WAEC,ward,Aku,South East,Imo,Okigwe,Aku,,853,610,483,172,196,184,71.5123,35.6108,113.9535,93.8776
2019/2020,Female,all,WAEC,ward,Amuro,South East,Imo,Okigwe,Amuro,,1158,827,632,227,208,193,71.4162,35.9177,91.63,92.7885
2019/2020,Female,all,WAEC,ward,Amaifeke,South East,Imo,Orlu,Amaifeke,,1003,718,553,198,212,200,71.5852,35.8047,107.0707,94.3396
2019/2020,Female,all,WAEC,ward,Ebenese/Umueze/Nnachi Ihioma,South East,Imo,Orlu,Ebenese/Umueze/Nnachi Ihioma,,1061,758,604,217,209,194,71.442,35.9272,96.3134,92.823
2019/2020,Female,all,WAEC,ward,Eziachi/Amike,South East,Imo,Orlu,Eziachi/Amike,,1018,729,602,216,249,228,71.611,35.8804,115.2778,91.5663
