session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,ward,Adakawa,North West,Kano,Dala,Adakawa,,616,412,359,122,117,93,66.8831,33.9833,95.9016,79.4872
2019/2020,Female,all,NABTEB,ward,Bakin Ruwa,North West,Kano,Dala,Bakin Ruwa,,538,360,312,105,136,124,66.9145,33.6538,129.5238,91.1765
2019/2020,Female,all,NABTEB,ward,Dala,North West,Kano,Dala,Dala,,528,353,320,109,96,80,66.8561,34.0625,88.0734,83.3333
2019/2020,Female,all,NABTEB,ward,Fagge A,North West,Kano,Fagge,Fagge A,,570,380,339,115,115,104,66.6667,33.9233,100.0,90.4348
2019/2020,Female,all,NABTEB,ward,Fagge B,North West,Kano,Fagge,Fagge B,,479,321,284,95,96,93,67.0146,33.4507,101.0526,96.875
2019/2020,Female,all,NABTEB,ward,Fagge C,North West,Kano,Fagge,Fagge C,,576,384,325,110,116,103,66.6667,33.8462,105.4545,88.7931
2019/2020,Female,all,NABTEB,ward,Dandago,North West,Kano,Gwale,Dandago,,666,444,394,134,134,112,66.6667,34.0102,100.0,83.5821
2019/2020,Female,all,NABTEB,ward,Diso,North West,Kano,Gwale,Diso,,501,334,299,101,96,81,66.6667,33.7793,95.0495,84.375
2019/2020,Female,all,NABTEB,ward,Dorayi,North West,Kano,Gwale,Dorayi,,479,320,290,98,116,100,66.8058,33.7931,118.3673,86.2069
2019/2020,Female,all,NABTEB,ward,Chedi,North West,Kano,Kano Municipal,Chedi,,557,373,334,112,115,112,66.9659,33.5329,102.6786,97.3913
2019/2020,Female,all,NABTEB,ward,Dan'agundi,North West,Kano,Kano Municipal,Dan'agundi,,490,326,294,99,86,82,66.5306,33.6735,86.8687,95.3488
2019/2020,Female,all,NABTEB,ward,Gandun Albasa,North West,Kano,Kano Municipal,Gandun Albasa,,600,400,344,116,105,92,66.6667,33.7209,90.5172,87.619
