session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,ward,Dagona,North East,Yobe,Bade,Dagona,,284,197,186,60,56,56,69.3662,32.2581,93.3333,100.0
2019/2020,Female,all,NABTEB,ward,Gwio-Kura,North East,Yobe,Bade,Gwio-Kura,,330,229,230,77,86,72,69.3939,33.4783,111.6883,83.7209
2019/2020,Female,all,NABTEB,ward,Katuzu,North East,Yobe,Bade,Katuzu,,291,201,189,61,56,56,69.0722,32.2751,91.8033,100.0
2019/2020,Female,all,NABTEB,ward,Bindigari/Fawari,North East,Yobe,Damaturu,Bindigari/Fawari,,459,317,330,111,117,90,69.0632,33.6364,105.4054,76.9231
2019/2020,Female,all,NABTEB,ward,Damakasu,North East,Yobe,Damaturu,Damakasu,,396,273,265,88,109,98,68.9394,33.2075,123.8636,89.9083
2019/2020,Female,all,NABTEB,ward,Damaturu Central,North East,Yobe,Damaturu,Damaturu Central,,414,286,274,90,85,64,69.0821,32.8467,94.4444,75.2941
2019/2020,Female,all,NABTEB,ward,Asheikri,North East,Yobe,Geidam,Asheikri,,314,217,212,70,79,80,69.1083,33.0189,112.8571,101.2658
2019/2020,Female,all,NABTEB,ward,Balle/Gallaba/Meleri,North East,Yobe,Geidam,Balle/Gallaba/Meleri,,407,280,271,89,93,72,68.7961,32.8413,104.4944,77.4194
2019/2020,Female,all,NABTEB,ward,Damakarwa/Kusur,North East,Yobe,Geidam,Damakarwa/Kusur,,286,198,204,67,64,64,69.2308,32.8431,95.5224,100.0
2019/2020,Female,all,NABTEB,ward,Bulabulin,North East,Yobe,Nguru,Bulabulin,,283,196,193,63,87,80,69.258,32.6425,138.0952,91.954
2019/2020,Female,all,NABTEB,ward,Bulanguwa,North East,Yobe,Nguru,Bulanguwa,,341,236,244,81,94,88,69.2082,33.1967,116.0494,93.617
2019/2020,Female,all,NABTEB,ward,Dabule,North East,Yobe,Nguru,Dabule,,315,218,211,68,63,56,69.2063,32.2275,92.6471,88.8889
2019/2020,Female,all,NABTEB,ward,Bare-Bare/Bauya/Lalai Dumbulwa,North East,Yobe,Potiskum,Bare-Bare/Bauya/Lalai Dumbulwa,,355,245,239,79,93,88,69.0141,33.0544,117.7215,94.6237
2019/2020,Female,all,NABTEB,ward,Bolewa 'A',North East,Yobe,Potiskum,Bolewa 'A',,328,227,233,77,95,88,69.2073,33.0472,123.3766,92.6316
2019/2020,Female,all,NABTEB,ward,Bolewa 'B',North East,Yobe,Potiskum,Bolewa 'B',,305,211,211,69,72,72,69.1803,32.7014,104.3478,100.0
2019/2020,Female,all,NECO,ward,Dagona,North East,Yobe,Bade,Dagona,,477,293,313,105,89,76,61.4256,33.5463,84.7619,85.3933
2019/2020,Female,all,NECO,ward,Gwio-Kura,North East,Yobe,Bade,Gwio-Kura,,572,352,379,128,130,113,61.5385,33.7731,101.5625,86.9231
