session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,ward,Akwukwu,South South,Delta,Oshimili North,Akwukwu,,390,282,255,94,93,84,72.3077,36.8627,98.9362,90.3226
2019/2020,Female,all,NABTEB,ward,Ebu,South South,Delta,Oshimili North,Ebu,,345,250,224,83,78,66,72.4638,37.0536,93.9759,84.6154
2019/2020,Female,all,NABTEB,ward,Ibusa  I,South South,Delta,Oshimili North,Ibusa  I,,390,283,255,95,85,77,72.5641,37.2549,89.4737,90.5882
2019/2020,Female,all,NABTEB,ward,Agu,South South,Delta,Oshimili South,Agu,,389,282,249,92,95,89,72.4936,36.9478,103.2609,93.6842
2019/2020,Female,all,NABTEB,ward,Anala-Amakom,South South,Delta,Oshimili South,Anala-Amakom,,404,293,262,96,73,60,72.5248,36.6412,76.0417,82.1918
2019/2020,Female,all,NABTEB,ward,Cable Point I,South South,Delta,Oshimili South,Cable Point I,,423,306,281,103,95,84,72.3404,36.6548,92.233,88.4211
2019/2020,Female,all,NABTEB,ward,Army Barracks Area,South South,Delta,Uvwie,Army Barracks Area,,405,292,255,94,79,66,72.0988,36.8627,84.0426,83.5443
2019/2020,Female,all,NABTEB,ward,Effurun I,South South,Delta,Uvwie,Effurun I,,362,262,241,88,79,72,72.3757,36.5145,89.7727,91.1392
2019/2020,Female,all,NABTEB,ward,Effurun II,South South,Delta,Uvwie,Effurun II,,446,323,298,110,109,101,72.4215,36.9128,99.0909,92.6606
2019/2020,Female,all,NABTEB,ward,Ebrohimi,South South,Delta,Warri North,Ebrohimi,,416,300,258,96,89,78,72.1154,37.2093,92.7083,87.6404
2019/2020,Female,all,NABTEB,ward,Eghoro,South South,Delta,Warri North,Eghoro,,313,226,201,75,73,66,72.2045,37.3134,97.3333,90.411
2019/2020,Female,all,NABTEB,ward,Gbokoda,South South,Delta,Warri North,Gbokoda,,412,299,279,102,99,89,72.5728,36.5591,97.0588,89.899
2019/2020,Female,all,NABTEB,ward,Bowen,South South,Delta,Warri South,Bowen,,405,294,261,97,89,78,72.5926,37.1648,91.7526,87.6404
