session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,333,242,235,76,79,75,72.6727,32.3404,103.9474,94.9367
2019/2020,Female,all,NABTEB,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,343,249,235,75,85,74,72.5948,31.9149,113.3333,87.0588
2019/2020,Female,all,NABTEB,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,439,319,310,101,102,89,72.6651,32.5806,100.9901,87.2549
2019/2020,Female,all,NABTEB,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,414,300,290,94,103,89,72.4638,32.4138,109.5745,86.4078
2019/2020,Female,all,NABTEB,ward,Gbogi/Isikan I,South West,Ondo,Akure South,Gbogi/Isikan I,,338,246,228,72,74,70,72.7811,31.5789,102.7778,94.5946
2019/2020,Female,all,NABTEB,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,422,306,279,90,93,84,72.5118,32.2581,103.3333,90.3226
2019/2020,Female,all,NABTEB,ward,Agbabu,South West,Ondo,Odigbo,Agbabu,,331,241,231,74,89,80,72.8097,32.0346,120.2703,89.8876
2019/2020,Female,all,NABTEB,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,389,282,279,89,98,89,72.4936,31.8996,110.1124,90.8163
2019/2020,Female,all,NABTEB,ward,Ajue,South West,Ondo,Odigbo,Ajue,,433,313,289,94,93,80,72.2864,32.526,98.9362,86.0215
2019/2020,Female,all,NABTEB,ward,Asantan Oja,South West,Ondo,Ondo East,Asantan Oja,,417,304,283,91,102,89,72.9017,32.1555,112.0879,87.2549
2019/2020,Female,all,NABTEB,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,384,278,275,90,98,94,72.3958,32.7273,108.8889,95.9184
2019/2020,Female,all,NABTEB,ward,Bolorunduro I,South West,Ondo,Ondo East,Bolorunduro I,,408,296,301,99,97,84,72.549,32.8904,97.9798,86.5979
2019/2020,Female,all,NABTEB,ward,Enuowa/Obalalu,South West,Ondo,Ondo West,Enuowa/Obalalu,,406,294,279,90,84,80,72.4138,32.2581,93.3333,95.2381
2019/2020,Female,all,NABTEB,ward,Gbaghengha/Gbongbo/Ajagba Alafia,South West,Ondo,Ondo West,Gbaghengha/Gbongbo/Ajagba Alafia,,368,267,255,83,93,84,72.5543,32.549,112.0482,90.3226
2019/2020,Female,all,NABTEB,ward,Ifore/Odosida/Loro,South West,Ondo,Ondo West,Ifore/Odosida/Loro,,403,294,280,91,98,88,72.9529,32.5,107.6923,89.7959
2019/2020,Female,all,NECO,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,612,400,434,144,160,146,65.3595,33.1797,111.1111,91.25
2019/2020,Female,all,NECO,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,644,420,473,157,173,156,65.2174,33.1924,110.1911,90.1734
2019/2020,Female,all,NECO,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,756,494,528,175,186,170,65.3439,33.1439,106.2857,91.3978
2019/2020,Female,all,NECO,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,791,516,551,183,197,183,65.2339,33.2123,107.6503,92.8934
2019/2020,Female,all,NECO,ward,Gbogi/Isikan I,South West,Ondo,Akure South,Gbogi/Isikan I,,637,416,431,143,145,137,65.3061,33.1787,101.3986,94.4828
2019/2020,Female,all,NECO,ward,Gbogi/Isikan II,South West,Ondo,Akure South,Gbogi/Isikan II,,798,522,543,180,185,165,65.4135,33.1492,102.7778,89.1892
2019/2020,Female,all,NECO,ward,Agbabu,South West,Ondo,Odigbo,Agbabu,,616,402,440,146,173,156,65.2597,33.1818,118.4932,90.1734
2019/2020,Female,all,NECO,ward,Ago-Alaye,South West,Ondo,Odigbo,Ago-Alaye,,668,436,470,156,178,162,65.2695,33.1915,114.1026,91.0112
2019/2020,Female,all,NECO,ward,Ajue,South West,Ondo,Odigbo,Ajue,,805,526,549,182,204,188,65.3416,33.1512,112.0879,92.1569
2019/2020,Female,all,NECO,ward,Asantan Oja,South West,Ondo,Ondo East,Asantan Oja,,830,542,573,189,202,183,65.3012,32.9843,106.8783,90.5941
2019/2020,Female,all,NECO,ward,Ateru/Otasan/Igba,South West,Ondo,Ondo East,Ateru/Otasan/Igba,,739,482,524,173,189,169,65.2233,33.0153,109.2486,89.418
2019/2020,Female,all,NECO,ward,Bolorunduro I,South West,Ondo,Ondo East,Bolorunduro I,,746,487,503,167,174,162,65.2815,33.2008,104.1916,93.1034
2019/2020,Female,all,NECO,ward,Enuowa/Obalalu,South West,Ondo,Ondo West,Enuowa/Obalalu,,738,482,507,168,178,159,65.3117,33.1361,105.9524,89.3258
2019/2020,Female,all,NECO,ward,Gbaghengha/Gbongbo/Ajagba Alafia,South West,Ondo,Ondo West,Gbaghengha/Gbongbo/Ajagba Alafia,,724,473,500,166,173,164,65.3315,33.2,104.2169,94.7977
2019/2020,Female,all,NECO,ward,Ifore/Odosida/Loro,South West,Ondo,Ondo West,Ifore/Odosida/Loro,,786,514,540,179,190,175,65.3944,33.1481,106.1453,92.1053
2019/2020,Female,all,WAEC,ward,Agamo/Oke-Oore/Akomowa,South West,Ondo,Akure North,Agamo/Oke-Oore/Akomowa,,803,571,567,187,191,172,71.1083,32.9806,102.139,90.0524
2019/2020,Female,all,WAEC,ward,Ayede/Ogbese,South West,Ondo,Akure North,Ayede/Ogbese,,819,583,578,191,208,190,71.1844,33.045,108.9005,91.3462
2019/2020,Female,all,WAEC,ward,Ayetoro,South West,Ondo,Akure North,Ayetoro,,971,691,679,221,228,206,71.1637,32.5479,103.1674,90.3509
2019/2020,Female,all,WAEC,ward,Aponmu,South West,Ondo,Akure South,Aponmu,,984,700,677,222,229,209,71.1382,32.7917,103.1532,91.2664
