session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,374,270,194,63,53,48,72.1925,32.4742,84.127,90.566
2019/2020,Female,all,NABTEB,ward,Ankpa II,North Central,Kogi,Ankpa,Ankpa II,,487,353,273,90,106,97,72.4846,32.967,117.7778,91.5094
2019/2020,Female,all,NABTEB,ward,Ankpa Suburb I,North Central,Kogi,Ankpa,Ankpa Suburb I,,518,376,283,94,99,85,72.5869,33.2155,105.3191,85.8586
2019/2020,Female,all,NABTEB,ward,Ede,North Central,Kogi,Idah,Ede,,284,204,155,51,54,54,71.831,32.9032,105.8824,100.0
2019/2020,Female,all,NABTEB,ward,Ega,North Central,Kogi,Idah,Ega,,390,281,211,71,76,66,72.0513,33.6493,107.0423,86.8421
2019/2020,Female,all,NABTEB,ward,Ichala,North Central,Kogi,Idah,Ichala,,370,267,207,68,76,66,72.1622,32.8502,111.7647,86.8421
2019/2020,Female,all,NABTEB,ward,Aiyeteju,North Central,Kogi,Kabba/Bunu,Aiyeteju,,396,288,227,75,82,72,72.7273,33.0396,109.3333,87.8049
2019/2020,Female,all,NABTEB,ward,Aiyetoro-Kiri,North Central,Kogi,Kabba/Bunu,Aiyetoro-Kiri,,474,344,256,84,81,66,72.5738,32.8125,96.4286,81.4815
2019/2020,Female,all,NABTEB,ward,Aiyewa,North Central,Kogi,Kabba/Bunu,Aiyewa,,405,292,214,71,53,54,72.0988,33.1776,74.6479,101.8868
2019/2020,Female,all,NABTEB,ward,Eggan,North Central,Kogi,Lokoja,Eggan,,408,295,230,76,77,72,72.3039,33.0435,101.3158,93.5065
2019/2020,Female,all,NABTEB,ward,Kakanda,North Central,Kogi,Lokoja,Kakanda,,431,311,246,82,83,72,72.1578,33.3333,101.2195,86.747
2019/2020,Female,all,NABTEB,ward,Kupa North East,North Central,Kogi,Lokoja,Kupa North East,,608,441,319,106,98,85,72.5329,33.2288,92.4528,86.7347
2019/2020,Female,all,NABTEB,ward,Abuga/Ozuja,North Central,Kogi,Okene,Abuga/Ozuja,,373,270,203,67,59,48,72.3861,33.0049,88.0597,81.3559
2019/2020,Female,all,NABTEB,ward,Bariki,North Central,Kogi,Okene,Bariki,,373,269,207,68,65,60,72.118,32.8502,95.5882,92.3077
2019/2020,Female,all,NABTEB,ward,Idoji,North Central,Kogi,Okene,Idoji,,339,245,191,62,66,66,72.2714,32.4607,106.4516,100.0
2019/2020,Female,all,NECO,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,713,466,378,128,98,86,65.3576,33.8624,76.5625,87.7551
2019/2020,Female,all,NECO,ward,Ankpa II,North Central,Kogi,Ankpa,Ankpa II,,860,565,480,162,181,165,65.6977,33.75,111.7284,91.1602
2019/2020,Female,all,NECO,ward,Ankpa Suburb I,North Central,Kogi,Ankpa,Ankpa Suburb I,,963,631,515,173,176,160,65.5244,33.5922,101.7341,90.9091
2019/2020,Female,all,NECO,ward,Ede,North Central,Kogi,Idah,Ede,,474,309,255,87,92,79,65.1899,34.1176,105.7471,85.8696
2019/2020,Female,all,NECO,ward,Ega,North Central,Kogi,Idah,Ega,,737,482,417,140,152,144,65.4003,33.5731,108.5714,94.7368
2019/2020,Female,all,NECO,ward,Ichala,North Central,Kogi,Idah,Ichala,,681,446,388,131,142,133,65.4919,33.7629,108.3969,93.662
2019/2020,Female,all,NECO,ward,Aiyeteju,North Central,Kogi,Kabba/Bunu,Aiyeteju,,731,479,398,135,131,124,65.5267,33.9196,97.037,94.6565
2019/2020,Female,all,NECO,ward,Aiyetoro-Kiri,North Central,Kogi,Kabba/Bunu,Aiyetoro-Kiri,,909,594,487,163,147,131,65.3465,33.4702,90.184,89.1156
2019/2020,Female,all,NECO,ward,Aiyewa,North Central,Kogi,Kabba/Bunu,Aiyewa,,776,508,415,140,137,123,65.4639,33.7349,97.8571,89.781
2019/2020,Female,all,NECO,ward,Eggan,North Central,Kogi,Lokoja,Eggan,,726,474,413,139,151,134,65.2893,33.6562,108.6331,88.7417
2019/2020,Female,all,NECO,ward,Kakanda,North Central,Kogi,Lokoja,Kakanda,,851,558,471,158,156,146,65.5699,33.5456,98.7342,93.5897
2019/2020,Female,all,NECO,ward,Kupa North East,North Central,Kogi,Lokoja,Kupa North East,,1101,722,590,198,191,175,65.5767,33.5593,96.4646,91.623
2019/2020,Female,all,NECO,ward,Abuga/Ozuja,North Central,Kogi,Okene,Abuga/Ozuja,,756,496,409,138,132,119,65.6085,33.7408,95.6522,90.1515
2019/2020,Female,all,NECO,ward,Bariki,North Central,Kogi,Okene,Bariki,,707,463,394,134,141,133,65.488,34.0102,105.2239,94.3262
2019/2020,Female,all,NECO,ward,Idoji,North Central,Kogi,Okene,Idoji,,655,429,372,126,127,118,65.4962,33.871,100.7937,92.9134
2019/2020,Female,all,WAEC,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,872,621,455,152,137,122,71.2156,33.4066,90.1316,89.0511
2019/2020,Female,all,WAEC,ward,Ankpa II,North Central,Kogi,Ankpa,Ankpa II,,1120,798,614,206,206,179,71.25,33.5505,100.0,86.8932
2019/2020,Female,all,WAEC,ward,Ankpa Suburb I,North Central,Kogi,Ankpa,Ankpa Suburb I,,1317,940,746,251,264,237,71.3743,33.6461,105.1793,89.7727
2019/2020,Female,all,WAEC,ward,Ede,North Central,Kogi,Idah,Ede,,603,429,331,112,124,108,71.1443,33.8369,110.7143,87.0968
2019/2020,Female,all,WAEC,ward,Ega,North Central,Kogi,Idah,Ega,,951,677,533,178,195,174,71.1882,33.3959,109.5506,89.2308
2019/2020,Female,all,WAEC,ward,Ichala,North Central,Kogi,Idah,Ichala,,880,627,477,160,169,152,71.25,33.543,105.625,89.9408
2019/2020,Female,all,WAEC,ward,Aiyeteju,North Central,Kogi,Kabba/Bunu,Aiyeteju,,910,648,499,167,170,152,71.2088,33.4669,101.7964,89.4118
2019/2020,Female,all,WAEC,ward,Aiyetoro-Kiri,North Central,Kogi,Kabba/Bunu,Aiyetoro-Kiri,,1221,870,661,222,214,193,71.2531,33.5855,96.3964,90.1869
2019/2020,Female,all,WAEC,ward,Aiyewa,North Central,Kogi,Kabba/Bunu,Aiyewa,,1002,714,533,179,178,157,71.2575,33.5835,99.4413,88.2022
2019/2020,Female,all,WAEC,ward,Eggan,North Central,Kogi,Lokoja,Eggan,,964,687,520,176,182,167,71.2656,33.8462,103.4091,91.7582
2019/2020,Female,all,WAEC,ward,Kakanda,North Central,Kogi,Lokoja,Kakanda,,1065,759,578,195,207,186,71.2676,33.737,106.1538,89.8551
2019/2020,Female,all,WAEC,ward,Kupa North East,North Central,Kogi,Lokoja,Kupa North East,,1368,977,774,260,257,230,71.4181,33.5917,98.8462,89.4942
2019/2020,Female,all,WAEC,ward,Abuga/Ozuja,North Central,Kogi,Okene,Abuga/Ozuja,,904,644,486,163,158,143,71.2389,33.5391,96.9325,90.5063
2019/2020,Female,all,WAEC,ward,Bariki,North Central,Kogi,Okene,Bariki,,889,633,496,166,181,166,71.2036,33.4677,109.0361,91.7127
2019/2020,Female,all,WAEC,ward,Idoji,North Central,Kogi,Okene,Idoji,,853,608,477,161,161,146,71.2778,33.7526,100.0,90.6832
2019/2020,Female,disabled,NABTEB,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,56,39,28,8,6,6,69.6429,28.5714,75.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Ankpa II,North Central,Kogi,Ankpa,Ankpa II,,56,39,28,8,24,24,69.6429,28.5714,300.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Ankpa Suburb I,North Central,Kogi,Ankpa,Ankpa Suburb I,,63,45,34,10,18,18,71.4286,29.4118,180.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Ede,North Central,Kogi,Idah,Ede,,52,36,26,8,12,12,69.2308,30.7692,150.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Ega,North Central,Kogi,Idah,Ega,,52,36,25,8,6,6,69.2308,32.0,75.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Ichala,North Central,Kogi,Idah,Ichala,,52,36,28,8,18,18,69.2308,28.5714,225.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Aiyeteju,North Central,Kogi,Kabba/Bunu,Aiyeteju,,61,44,31,9,18,18,72.1311,29.0323,200.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Aiyetoro-Kiri,North Central,Kogi,Kabba/Bunu,Aiyetoro-Kiri,,56,40,28,8,6,6,71.4286,28.5714,75.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Aiyewa,North Central,Kogi,Kabba/Bunu,Aiyewa,,52,36,28,8,6,6,69.2308,28.5714,75.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Eggan,North Central,Kogi,Lokoja,Eggan,,56,39,31,9,12,12,69.6429,29.0323,133.3333,100.0
2019/2020,Female,disabled,NABTEB,ward,Kakanda,North Central,Kogi,Lokoja,Kakanda,,56,39,31,9,12,12,69.6429,29.0323,133.3333,100.0
2019/2020,Female,disabled,NABTEB,ward,Kupa North East,North Central,Kogi,Lokoja,Kupa North East,,68,49,31,9,12,12,72.0588,29.0323,133.3333,100.0
2019/2020,Female,disabled,NABTEB,ward,Abuga/Ozuja,North Central,Kogi,Okene,Abuga/Ozuja,,56,39,28,8,6,6,69.6429,28.5714,75.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Bariki,North Central,Kogi,Okene,Bariki,,52,36,28,8,6,6,69.2308,28.5714,75.0,100.0
2019/2020,Female,disabled,NABTEB,ward,Idoji,North Central,Kogi,Okene,Idoji,,54,38,28,8,18,18,70.3704,28.5714,225.0,100.0
2019/2020,Female,disabled,NECO,ward,Ankpa I,North Central,Kogi,Ankpa,Ankpa I,,82,54,39,13,5,5,65.8537,33.3333,38.4615,100.0
2019/2020,Female,disabled,NECO,ward,Ankpa II,North Central,Kogi,Ankpa,Ankpa II,,93,62,50,17,20,20,66.6667,34.0,117.6471,100.0
2019/2020,Female,disabled,NECO,ward,Ankpa Suburb I,North Central,Kogi,Ankpa,Ankpa Suburb I,,122,80,61,21,20,20,65.5738,34.4262,95.2381,100.0
2019/2020,Female,disabled,NECO,ward,Ede,North Central,Kogi,Idah,Ede,,67,43,36,12,15,15,64.1791,33.3333,125.0,100.0
2019/2020,Female,disabled,NECO,ward,Ega,North Central,Kogi,Idah,Ega,,75,49,39,13,20,20,65.3333,33.3333,153.8462,100.0
2019/2020,Female,disabled,NECO,ward,Ichala,North Central,Kogi,Idah,Ichala,,74,48,39,13,20,20,64.8649,33.3333,153.8462,100.0
2019/2020,Female,disabled,NECO,ward,Aiyeteju,North Central,Kogi,Kabba/Bunu,Aiyeteju,,89,59,44,15,10,12,66.2921,34.0909,66.6667,120.0
2019/2020,Female,disabled,NECO,ward,Aiyetoro-Kiri,North Central,Kogi,Kabba/Bunu,Aiyetoro-Kiri,,93,60,45,15,15,18,64.5161,33.3333,100.0,120.0
