session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2019/2020,Female,all,NABTEB,ward,Brass I,South South,Bayelsa,Brass,Brass I,,285,201,197,65,60,50,70.5263,32.9949,92.3077,83.3333
2019/2020,Female,all,NABTEB,ward,Brass ward II,South South,Bayelsa,Brass,Brass ward II,,292,205,202,67,70,65,70.2055,33.1683,104.4776,92.8571
2019/2020,Female,all,NABTEB,ward,Cafe Farmosa,South South,Bayelsa,Brass,Cafe Farmosa,,351,250,249,83,97,84,71.2251,33.3333,116.8675,86.5979
2019/2020,Female,all,NABTEB,ward,Igbedi,South South,Bayelsa,Kolokuma/Opokuma,Igbedi,,266,188,183,61,76,65,70.6767,33.3333,124.5902,85.5263
2019/2020,Female,all,NABTEB,ward,Kaiama,South South,Bayelsa,Kolokuma/Opokuma,Kaiama,,289,204,194,64,55,50,70.5882,32.9897,85.9375,90.9091
2019/2020,Female,all,NABTEB,ward,Kaiama/Olobiri,South South,Bayelsa,Kolokuma/Opokuma,Kaiama/Olobiri,,340,240,244,80,98,88,70.5882,32.7869,122.5,89.7959
2019/2020,Female,all,NABTEB,ward,Bassambiri I,South South,Bayelsa,Nembe,Bassambiri I,,327,231,224,73,89,83,70.6422,32.5893,121.9178,93.2584
2019/2020,Female,all,NABTEB,ward,Bassambiri II,South South,Bayelsa,Nembe,Bassambiri II,,277,196,190,63,80,70,70.7581,33.1579,126.9841,87.5
2019/2020,Female,all,NABTEB,ward,Bassambiri III,South South,Bayelsa,Nembe,Bassambiri III,,314,223,212,71,75,65,71.0191,33.4906,105.6338,86.6667
2019/2020,Female,all,NABTEB,ward,Anyama,South South,Bayelsa,Ogbia,Anyama,,311,220,203,68,71,65,70.7395,33.4975,104.4118,91.5493
2019/2020,Female,all,NABTEB,ward,Emeyal,South South,Bayelsa,Ogbia,Emeyal,,292,206,201,65,64,60,70.5479,32.3383,98.4615,93.75
2019/2020,Female,all,NABTEB,ward,Imiringi,South South,Bayelsa,Ogbia,Imiringi,,285,201,195,64,75,70,70.5263,32.8205,117.1875,93.3333
2019/2020,Female,all,NABTEB,ward,Attissa I,South South,Bayelsa,Yenagoa,Attissa I,,315,222,221,73,83,75,70.4762,33.0317,113.6986,90.3614
2019/2020,Female,all,NABTEB,ward,Attissa II,South South,Bayelsa,Yenagoa,Attissa II,,322,229,211,70,79,70,71.118,33.1754,112.8571,88.6076
2019/2020,Female,all,NABTEB,ward,Attissa III,South South,Bayelsa,Yenagoa,Attissa III,,287,202,193,64,61,55,70.3833,33.1606,95.3125,90.1639
2019/2020,Female,all,NECO,ward,Brass I,South South,Bayelsa,Brass,Brass I,,528,339,355,115,111,100,64.2045,32.3944,96.5217,90.0901
2019/2020,Female,all,NECO,ward,Brass ward II,South South,Bayelsa,Brass,Brass ward II,,536,344,362,119,119,108,64.1791,32.8729,100.0,90.7563
2019/2020,Female,all,NECO,ward,Cafe Farmosa,South South,Bayelsa,Brass,Cafe Farmosa,,709,454,502,163,173,156,64.0339,32.4701,106.135,90.1734
2019/2020,Female,all,NECO,ward,Igbedi,South South,Bayelsa,Kolokuma/Opokuma,Igbedi,,477,305,319,106,108,100,63.9413,33.2288,101.8868,92.5926
2019/2020,Female,all,NECO,ward,Kaiama,South South,Bayelsa,Kolokuma/Opokuma,Kaiama,,536,344,358,116,110,104,64.1791,32.4022,94.8276,94.5455
