session,zone,state,lga,ward,school,gender,disability,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Comprehensive High School, Enyiogugu",Male,ALL,WAEC,University,244,240,134,38,33,5,1.5
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Comprehensive High School, Enyiogugu",Male,Disabled,NABTEB,University,12,12,6,0,0,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Comprehensive High School, Enyiogugu",Male,Disabled,NECO,University,25,25,13,4,4,0,1.5
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Comprehensive High School, Enyiogugu",Male,Disabled,WAEC,University,28,28,15,4,4,0,1.5
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Female,ALL,NABTEB,Polytechnic,85,84,49,18,18,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Female,ALL,NECO,Polytechnic,179,176,101,38,35,3,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Female,ALL,WAEC,Polytechnic,225,222,129,42,37,5,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Female,Disabled,NABTEB,Polytechnic,12,12,6,5,5,0,1.7
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Female,Disabled,NECO,Polytechnic,25,25,13,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Female,Disabled,WAEC,Polytechnic,31,31,15,4,4,0,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Male,ALL,NABTEB,Polytechnic,113,111,64,23,18,5,1.7
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Male,ALL,NECO,Polytechnic,212,209,122,38,35,3,1.6
2022/2023,South East,Imo,Aboh Mbaise,Enyiogugu,"Government Secondary School, Enyiogugu",Male,ALL,WAEC,Polytechnic,269,265,146,54,49,5,1.6
