state_key,state,zone
benue,Benue,North Central
federal-capital-territory,Abuja Federal Capital Territory,North Central
kogi,Kogi,North Central
kwara,Kwara,North Central
nasarawa,Nasarawa,North Central
niger,Niger,North Central
plateau,Plateau,North Central
adamawa,Adamawa,North East
bauchi,Bauchi,North East
borno,Borno,North East
gombe,Gombe,North East
taraba,Taraba,North East
yobe,Yobe,North East
jigawa,Jigawa,North West
kaduna,Kaduna,North West
kano,Kano,North West
katsina,Katsina,North West
kebbi,Kebbi,North West
sokoto,Sokoto,North West
zamfara,Zamfara,North West
abia,Abia,South East
anambra,Anambra,South East
ebonyi,Ebonyi,South East
enugu,Enugu,South East
imo,Imo,South East
akwa-ibom,Akwa Ibom,South South
bayelsa,Bayelsa,South South
cross-river,Cross River,South South
delta,Delta,South South
edo,Edo,South South
rivers,Rivers,South South
ekiti,Ekiti,South West
lagos,Lagos,South West
ogun,Ogun,South West
ondo,Ondo,South West
osun,Osun,South West
oyo,Oyo,South West
