session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,Pre-Primary/Primary,Primary 3,12,2,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,433,2,9,4,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Private,Pre-Primary/Primary,Primary 3,12,2,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,442,2,9,4,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Public,Pre-Primary/Primary,Primary 3,70,13,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,2067,13,41,17,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Public,Pre-Primary/Primary,Primary 3,77,13,2,1,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,2290,13,45,19,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,Pre-Primary/Primary,Primary 4,10,2,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,396,2,8,3,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Private,Pre-Primary/Primary,Primary 4,10,2,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,404,2,8,3,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Public,Pre-Primary/Primary,Primary 4,63,13,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,1889,13,37,15,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Public,Pre-Primary/Primary,Primary 4,70,13,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,2092,13,41,17,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,Pre-Primary/Primary,Primary 5,9,2,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,371,2,7,3,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Private,Pre-Primary/Primary,Primary 5,10,2,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,378,2,7,3,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Public,Pre-Primary/Primary,Primary 5,59,13,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,1768,13,35,15,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Public,Pre-Primary/Primary,Primary 5,65,13,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,1959,13,39,16,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,Pre-Primary/Primary,Primary 6,9,3,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,335,3,7,3,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Private,Pre-Primary/Primary,Primary 6,10,3,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,342,3,7,3,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Public,Pre-Primary/Primary,Primary 6,54,13,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,1598,13,32,13,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Public,Pre-Primary/Primary,Primary 6,59,13,1,0,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,1771,13,35,15,82.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,SSS,SSS1,5,2,1,0,86.4,SSS1,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Private,SSS,SSS1,213,2,4,2,86.4,SSS1,1,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Private,SSS,SSS1,5,2,1,0,86.4,SSS1,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Private,SSS,SSS1,245,2,5,2,86.4,SSS1,1,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Public,SSS,SSS1,13,5,1,0,86.4,SSS1,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Public,SSS,SSS1,568,5,10,4,86.4,SSS1,1,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Public,SSS,SSS1,11,5,1,0,86.4,SSS1,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Public,SSS,SSS1,517,5,10,4,86.4,SSS1,1,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Disabled,Private,SSS,SSS2,4,2,1,0,86.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Female,Non-Disabled,Private,SSS,SSS2,172,2,3,1,86.4,,1,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Disabled,Private,SSS,SSS2,5,2,1,0,86.4,,0,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
2023/2024,South East,Ebonyi,Abakaliki,Abakpa,Male,Non-Disabled,Private,SSS,SSS2,196,2,4,2,86.4,,1,"Government Secondary School, Abakpa | Community Secondary School, Abakpa | Unity College, Abakaliki | Comprehensive High School, Abakpa"
