session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,pupil_teacher_ratio
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Male,Disabled,Public,Adult & Non-Formal Education,,PGDE,Qualified,33,2,16.5
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Female,Non-Disabled,Public,Adult & Non-Formal Education,,PGDE,Qualified,32,2,16.0
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Male,Non-Disabled,Public,Adult & Non-Formal Education,,PGDE,Qualified,33,2,16.5
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Female,Non-Disabled,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,43,2,21.5
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Male,Non-Disabled,Public,Adult & Non-Formal Education,,,Unqualified,50,3,16.666666666666668
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Female,Non-Disabled,Public,Adult & Non-Formal Education,,,Unqualified,43,2,21.5
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Male,Non-Disabled,Public,Adult & Non-Formal Education,,PGDE,Qualified,50,3,16.666666666666668
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Female,Non-Disabled,Public,Adult & Non-Formal Education,,,Unqualified,43,2,21.5
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Male,Non-Disabled,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,50,3,16.666666666666668
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Female,Non-Disabled,Public,Adult & Non-Formal Education,,,Unqualified,32,2,16.0
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Male,Non-Disabled,Public,Adult & Non-Formal Education,,MEd or Equivalent,Qualified,50,3,16.666666666666668
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Female,Non-Disabled,Public,Adult & Non-Formal Education,,NCE,Qualified,32,2,16.0
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Male,Non-Disabled,Public,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,50,3,16.666666666666668
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Female,Disabled,Public,Adult & Non-Formal Education,,NCE,Qualified,32,2,16.0
2021/2022,South East,Abia,Umuahia North,Afugiri,"Unity College, Umuahia North",Male,Non-Disabled,Public,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,50,3,16.666666666666668
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Female,Non-Disabled,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,11,1,11.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Female,Non-Disabled,Private,Adult & Non-Formal Education,,,Unqualified,11,1,11.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Male,Non-Disabled,Private,Adult & Non-Formal Education,,,Unqualified,16,1,16.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Female,Non-Disabled,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,22,1,22.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Male,Non-Disabled,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,16,1,16.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Female,Non-Disabled,Private,Adult & Non-Formal Education,,NCE,Qualified,22,1,22.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Male,Non-Disabled,Private,Adult & Non-Formal Education,,,Unqualified,33,2,16.5
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Female,Non-Disabled,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,22,1,22.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Male,Non-Disabled,Private,Adult & Non-Formal Education,,PGDE,Qualified,33,2,16.5
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Female,Non-Disabled,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,32,2,16.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Male,Non-Disabled,Private,Adult & Non-Formal Education,,PGDE,Qualified,33,2,16.5
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Female,Non-Disabled,Private,Adult & Non-Formal Education,,BEd or Equivalent,Qualified,22,1,22.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Male,Non-Disabled,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,33,2,16.5
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Female,Non-Disabled,Private,Adult & Non-Formal Education,,PGDE,Qualified,22,1,22.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Male,Non-Disabled,Private,Adult & Non-Formal Education,,NCE,Qualified,33,2,16.5
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Female,Non-Disabled,Private,Adult & Non-Formal Education,,,Unqualified,32,2,16.0
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Male,Non-Disabled,Private,Adult & Non-Formal Education,,Grade II or Equivalent,Unqualified,33,2,16.5
2021/2022,South East,Abia,Umuahia North,Ibeku East I,"Comprehensive High School, Ibeku East I",Female,Non-Disabled,Private,Adult & Non-Formal Education,,NCE,Qualified,22,1,22.0
