institution_key,tertiary_institution,institution_type,ownership,lga,state,zone
university-of-benue,"Benue State University, Makurdi",University,Federal,Gboko,Benue,North Central
benue-state-polytechnic,Benue State Polytechnic,Polytechnic,State,Makurdi,Benue,North Central
college-of-education-oturkpo,"College of Education, Oturkpo",College of Education,State,Oturkpo,Benue,North Central
university-of-abuja,University of Abuja,University,Federal,Municipal Area Council,Abuja Federal Capital Territory,North Central
fct-polytechnic-abuja,"FCT Polytechnic, Abuja",Polytechnic,State,Bwari,Abuja Federal Capital Territory,North Central
federal-college-of-education-zuba,"Federal College of Education, Zuba",College of Education,Federal,Gwagwalada,Abuja Federal Capital Territory,North Central
university-of-kogi,Federal University Lokoja,University,Federal,Lokoja,Kogi,North Central
kogi-state-polytechnic,Kogi State Polytechnic,Polytechnic,State,Okene,Kogi,North Central
college-of-education-kabba-bunu,"College of Education, Kabba/Bunu",College of Education,State,Kabba/Bunu,Kogi,North Central
university-of-kwara,University of Ilorin,University,Federal,Ilorin East,Kwara,North Central
kwara-state-polytechnic,Kwara State Polytechnic,Polytechnic,State,Ilorin West,Kwara,North Central
college-of-education-offa,"College of Education, Offa",College of Education,State,Offa,Kwara,North Central
university-of-nasarawa,"Nasarawa State University, Keffi",University,Federal,Lafia,Nasarawa,North Central
nasarawa-state-polytechnic,Nasarawa State Polytechnic,Polytechnic,State,Keffi,Nasarawa,North Central
college-of-education-akwanga,"College of Education, Akwanga",College of Education,State,Akwanga,Nasarawa,North Central
university-of-niger,"Federal University of Technology, Minna",University,Federal,Chanchaga,Niger,North Central
niger-state-polytechnic,Niger State Polytechnic,Polytechnic,State,Kontagora,Niger,North Central
college-of-education-suleja,"College of Education, Suleja",College of Education,State,Suleja,Niger,North Central
university-of-plateau,University of Jos,University,Federal,Jos North,Plateau,North Central
plateau-state-polytechnic,Plateau State Polytechnic,Polytechnic,State,Jos South,Plateau,North Central
college-of-education-barkin-ladi,"College of Education, Barkin Ladi",College of Education,State,Barkin Ladi,Plateau,North Central
university-of-adamawa,"Modibbo Adama University, Yola",University,Federal,Yola North,Adamawa,North East
adamawa-state-polytechnic,Adamawa State Polytechnic,Polytechnic,State,Yola South,Adamawa,North East
college-of-education-numan,"College of Education, Numan",College of Education,State,Numan,Adamawa,North East
university-of-bauchi,"Abubakar Tafawa Balewa University, Bauchi",University,Federal,Bauchi,Bauchi,North East
bauchi-state-polytechnic,Bauchi State Polytechnic,Polytechnic,State,Tafawa-Balewa,Bauchi,North East
college-of-education-katagum,"College of Education, Katagum",College of Education,State,Katagum,Bauchi,North East
university-of-borno,University of Maiduguri,University,Federal,Maiduguri,Borno,North East
borno-state-polytechnic,Borno State Polytechnic,Polytechnic,State,Jere,Borno,North East
college-of-education-biu,"College of Education, Biu",College of Education,State,Biu,Borno,North East
university-of-gombe,Gombe State University,University,Federal,Gombe,Gombe,North East
gombe-state-polytechnic,Gombe State Polytechnic,Polytechnic,State,Yamaltu/Deba,Gombe,North East
college-of-education-kaltungo,"College of Education, Kaltungo",College of Education,State,Kaltungo,Gombe,North East
university-of-taraba,"Taraba State University, Jalingo",University,Federal,Jalingo,Taraba,North East
taraba-state-polytechnic,Taraba State Polytechnic,Polytechnic,State,Wukari,Taraba,North East
college-of-education-sardauna,"College of Education, Sardauna",College of Education,State,Sardauna,Taraba,North East
university-of-yobe,Federal University Gashua,University,Federal,Damaturu,Yobe,North East
yobe-state-polytechnic,Yobe State Polytechnic,Polytechnic,State,Potiskum,Yobe,North East
college-of-education-nguru,"College of Education, Nguru",College of Education,State,Nguru,Yobe,North East
university-of-jigawa,Federal University Dutse,University,Federal,Dutse,Jigawa,North West
jigawa-state-polytechnic,Jigawa State Polytechnic,Polytechnic,State,Hadejia,Jigawa,North West
college-of-education-gumel,"College of Education, Gumel",College of Education,State,Gumel,Jigawa,North West
university-of-kaduna,"Ahmadu Bello University, Zaria",University,Federal,Kaduna North,Kaduna,North West
kaduna-state-polytechnic,Kaduna State Polytechnic,Polytechnic,State,Kaduna South,Kaduna,North West
college-of-education-zaria,"College of Education, Zaria",College of Education,State,Zaria,Kaduna,North West
university-of-kano,"Bayero University, Kano",University,Federal,Kano Municipal,Kano,North West
kano-state-polytechnic,Kano State Polytechnic,Polytechnic,State,Fagge,Kano,North West
college-of-education-dala,"College of Education, Dala",College of Education,State,Dala,Kano,North West
university-of-katsina,"Umaru Musa Yar'Adua University, Katsina",University,Federal,Katsina,Katsina,North West
katsina-state-polytechnic,Katsina State Polytechnic,Polytechnic,State,Daura,Katsina,North West
college-of-education-funtua,"College of Education, Funtua",College of Education,State,Funtua,Katsina,North West
university-of-kebbi,Federal University Birnin Kebbi,University,Federal,Birnin Kebbi,Kebbi,North West
kebbi-state-polytechnic,Kebbi State Polytechnic,Polytechnic,State,Argungu,Kebbi,North West
college-of-education-yauri,"College of Education, Yauri",College of Education,State,Yauri,Kebbi,North West
university-of-sokoto,"Usmanu Danfodiyo University, Sokoto",University,Federal,Sokoto North,Sokoto,North West
sokoto-state-polytechnic,Sokoto State Polytechnic,Polytechnic,State,Sokoto South,Sokoto,North West
college-of-education-tambuwal,"College of Education, Tambuwal",College of Education,State,Tambuwal,Sokoto,North West
university-of-zamfara,Federal University Gusau,University,Federal,Gusau,Zamfara,North West
zamfara-state-polytechnic,Zamfara State Polytechnic,Polytechnic,State,Kaura Namoda,Zamfara,North West
college-of-education-talata-mafara,"College of Education, Talata Mafara",College of Education,State,Talata Mafara,Zamfara,North West
university-of-abia,"Abia State University, Uturu",University,Federal,Aba North,Abia,South East
abia-state-polytechnic,Abia State Polytechnic,Polytechnic,State,Aba South,Abia,South East
