session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2019/2020,North West,Jigawa,Gwiwa,Korayel,Female,Disabled,Private,JSS,JSS2,1,0,0,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Female,Non-Disabled,Private,JSS,JSS2,21,0,1,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Female,Disabled,Public,JSS,JSS2,1,1,0,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Female,Non-Disabled,Public,JSS,JSS2,50,1,2,1,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Female,Disabled,Private,JSS,JSS3,1,0,0,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Female,Non-Disabled,Private,JSS,JSS3,17,0,1,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Female,Disabled,Public,JSS,JSS3,1,1,0,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Female,Non-Disabled,Public,JSS,JSS3,40,1,1,1,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Disabled,Private,JSS,JSS1,1,0,0,0,53.0,JSS1,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Non-Disabled,Private,JSS,JSS1,25,0,1,0,53.0,JSS1,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Disabled,Public,JSS,JSS1,2,1,0,0,53.0,JSS1,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Non-Disabled,Public,JSS,JSS1,52,1,2,1,53.0,JSS1,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Disabled,Private,JSS,JSS2,1,0,0,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Non-Disabled,Private,JSS,JSS2,20,0,1,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Disabled,Public,JSS,JSS2,1,1,0,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Non-Disabled,Public,JSS,JSS2,43,1,1,1,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Disabled,Private,JSS,JSS3,0,0,0,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Non-Disabled,Private,JSS,JSS3,16,0,1,0,53.0,,0,Junior Arabic Secondary School Tsubut
2019/2020,North West,Jigawa,Gwiwa,Korayel,Male,Disabled,Public,JSS,JSS3,1,1,0,0,53.0,,0,Junior Arabic Secondary School Tsubut
