session,zone,state,lga,ward,school
2019/2020,South East,Abia,Aba North,Ariaria Market,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Eziama,"Government Secondary School, Eziama | Community Secondary School, Eziama | Unity College, Aba North | Comprehensive High School, Eziama"
2019/2020,South East,Abia,Aba North,Industrial Area,"Government Secondary School, Industrial Area | Community Secondary School, Industrial Area | Unity College, Aba North | Comprehensive High School, Industrial Area"
2019/2020,South East,Abia,Aba South,Aba River,"Government Secondary School, Aba River | Community Secondary School, Aba River | Unity College, Aba South | Comprehensive High School, Aba River"
2019/2020,South East,Abia,Aba South,Aba Town Hall,"Government Secondary School, Aba Town Hall | Community Secondary School, Aba Town Hall | Unity College, Aba South | Comprehensive High School, Aba Town Hall"
2019/2020,South East,Abia,Aba South,Asa,"Government Secondary School, Asa | Community Secondary School, Asa | Unity College, Aba South | Comprehensive High School, Asa"
2019/2020,South East,Abia,Arochukwu,Arochukwu I,"Government Secondary School, Arochukwu I | Community Secondary School, Arochukwu I | Unity College, Arochukwu | Comprehensive High School, Arochukwu I"
2019/2020,South East,Abia,Arochukwu,Arochukwu II,"Government Secondary School, Arochukwu II | Community Secondary School, Arochukwu II | Unity College, Arochukwu | Comprehensive High School, Arochukwu II"
2019/2020,South East,Abia,Arochukwu,Arochukwu III,"Government Secondary School, Arochukwu III | Community Secondary School, Arochukwu III | Unity College, Arochukwu | Comprehensive High School, Arochukwu III"
2019/2020,South East,Abia,Umuahia North,Afugiri,"Government Secondary School, Afugiri | Community Secondary School, Afugiri | Unity College, Umuahia North | Comprehensive High School, Afugiri"
2019/2020,South East,Abia,Umuahia North,Ibeku East I,"Government Secondary School, Ibeku East I | Community Secondary School, Ibeku East I | Unity College, Umuahia North | Comprehensive High School, Ibeku East I"
2019/2020,South East,Abia,Umuahia North,Ibeku East II,"Government Secondary School, Ibeku East II | Community Secondary School, Ibeku East II | Unity College, Umuahia North | Comprehensive High School, Ibeku East II"
2019/2020,South East,Abia,Umuahia South,Ahiaukwu  I,"Government Secondary School, Ahiaukwu  I | Community Secondary School, Ahiaukwu  I | Unity College, Umuahia South | Comprehensive High School, Ahiaukwu  I"
2019/2020,South East,Abia,Umuahia South,Ahiaukwu  II,"Government Secondary School, Ahiaukwu  II | Community Secondary School, Ahiaukwu  II | Unity College, Umuahia South | Comprehensive High School, Ahiaukwu  II"
2019/2020,South East,Abia,Umuahia South,Amakama,"Government Secondary School, Amakama | Community Secondary School, Amakama | Unity College, Umuahia South | Comprehensive High School, Amakama"
2019/2020,North East,Adamawa,Yola North,Ajiya,"Government Secondary School, Ajiya | Community Secondary School, Ajiya | Unity College, Yola North | Comprehensive High School, Ajiya | Unity College, Jimeta"
2019/2020,North East,Adamawa,Yola North,Alkalawa,"Government Secondary School, Alkalawa | Community Secondary School, Alkalawa | Unity College, Yola North | Comprehensive High School, Alkalawa | Unity College, Jimeta"
2019/2020,North East,Adamawa,Yola North,Doubeli,"Government Secondary School, Doubeli | Community Secondary School, Doubeli | Unity College, Yola North | Comprehensive High School, Doubeli | Unity College, Jimeta"
2019/2020,North East,Adamawa,Mubi North,Bahuli,"Government Secondary School, Bahuli | Community Secondary School, Bahuli | Unity College, Mubi North | Comprehensive High School, Bahuli"
2019/2020,North East,Adamawa,Mubi North,Betso,"Government Secondary School, Betso | Community Secondary School, Betso | Unity College, Mubi North | Comprehensive High School, Betso"
2019/2020,North East,Adamawa,Mubi North,Digil,"Government Secondary School, Digil | Community Secondary School, Digil | Unity College, Mubi North | Comprehensive High School, Digil"
2019/2020,North East,Adamawa,Numan,Bare,"Government Secondary School, Bare | Community Secondary School, Bare | Unity College, Numan | Comprehensive High School, Bare"
2019/2020,North East,Adamawa,Numan,Bolki,"Government Secondary School, Bolki | Community Secondary School, Bolki | Unity College, Numan | Comprehensive High School, Bolki"
2019/2020,North East,Adamawa,Numan,Gamadio,"Government Secondary School, Gamadio | Community Secondary School, Gamadio | Unity College, Numan | Comprehensive High School, Gamadio"
2019/2020,North East,Adamawa,Yola South,Adarawo,"Government Secondary School, Adarawo | Community Secondary School, Adarawo | Unity College, Yola South | Comprehensive High School, Adarawo"
2019/2020,North East,Adamawa,Yola South,Bako,"Government Secondary School, Bako | Community Secondary School, Bako | Unity College, Yola South | Comprehensive High School, Bako"
2019/2020,North East,Adamawa,Yola South,Bole Yolde Pate,"Government Secondary School, Bole Yolde Pate | Community Secondary School, Bole Yolde Pate | Unity College, Yola South | Comprehensive High School, Bole Yolde Pate"
2019/2020,South South,Akwa Ibom,Abak,Abak Urban I,"Government Secondary School, Abak Urban I | Community Secondary School, Abak Urban I | Unity College, Abak | Comprehensive High School, Abak Urban I"
2019/2020,South South,Akwa Ibom,Abak,Abak Urban II,"Government Secondary School, Abak Urban II | Community Secondary School, Abak Urban II | Unity College, Abak | Comprehensive High School, Abak Urban II"
2019/2020,South South,Akwa Ibom,Abak,Abak Urban III,"Government Secondary School, Abak Urban III | Community Secondary School, Abak Urban III | Unity College, Abak | Comprehensive High School, Abak Urban III"
2019/2020,South South,Akwa Ibom,Eket,Central I,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2019/2020,South South,Akwa Ibom,Eket,Central II,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2019/2020,South South,Akwa Ibom,Eket,Central III,"Government Secondary School, Central III | Community Secondary School, Central III | Unity College, Eket | Comprehensive High School, Central III"
2019/2020,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene I,"Government Secondary School, Ikot Ekpene I | Community Secondary School, Ikot Ekpene I | Unity College, Ikot Ekpene | Comprehensive High School, Ikot Ekpene I"
2019/2020,South South,Akwa Ibom,Ikot Ekpene,Ikot Ekpene II,"Government Secondary School, Ikot Ekpene II | Community Secondary School, Ikot Ekpene II | Unity College, Ikot Ekpene | Comprehensive High School, Ikot Ekpene II"
