session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Disabled,Private,Pre-Primary/Primary,Primary 2,3,1,0,0,78.8,,0,"IYIOGWU PRIMARY SCHOOL, UMUABOR"
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,92,1,2,1,78.8,,0,JESUS LIVETH PRIMARY SCHOOL ALOR UNO
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Disabled,Public,Pre-Primary/Primary,Primary 2,5,1,0,0,78.8,,0,MADONNA PRIMARY SCHOOL EHA ALUMONA
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,174,1,4,2,78.8,,0,OWERRE UMABOR PRIMARY SCHOOL EHA-ALUMONA
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Disabled,Private,Pre-Primary/Primary,Primary 3,3,1,0,0,78.8,,0,"ST. LUKES PRIMARY  SCHOOL, UMABOR EHA-ALUMONA"
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,83,1,2,1,78.8,,0,St. Marys Primary School
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Disabled,Public,Pre-Primary/Primary,Primary 3,5,1,0,0,78.8,,0,"THE GOOD SHEPHERD PRIMARY SCHOOL,EDE OBALLA, NSUKKA"
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 3,156,1,4,2,78.8,,0,AMICUS PRIMARY SCHOOL NSUKKA
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Disabled,Private,Pre-Primary/Primary,Primary 4,2,1,0,0,78.8,,0,"BISHOP MICHAEL ENEJE, UMABOR"
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,76,1,2,1,78.8,,0,Bethel Best  Care Primary School Opi Agu Nsukka
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Disabled,Public,Pre-Primary/Primary,Primary 4,4,1,0,0,78.8,,0,CITY OF GRACE NURSERY SCHOOL NSUKKA
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 4,143,1,4,1,78.8,,0,"COMMUNITY PRIMARY SCHOOL, NKWO AGU OPI"
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Disabled,Private,Pre-Primary/Primary,Primary 5,2,1,0,0,78.8,,0,DE MARVEL MONTESSOR INT. PRIM/SCH
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,71,1,2,1,78.8,,0,DE MARVEL MONTESSOR INTL PRIMARY SCHOOL UMABOR  EHA- ALUMONA
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Disabled,Public,Pre-Primary/Primary,Primary 5,4,1,0,0,78.8,,0,DIVIINE GRACE PRIMARY  SCHOOL UMUOKA ELE EDE OBALLA
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,134,1,3,1,78.8,,0,"EDEM UMUABOR PRIMARY SCHOOL, EHA ALUMONA"
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Disabled,Private,Pre-Primary/Primary,Primary 6,2,1,0,0,78.8,,0,ELSHADIA ACADEMY
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,64,1,2,1,78.8,,0,"IYIOGWU PRIMARY SCHOOL, UMUABOR"
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Disabled,Public,Pre-Primary/Primary,Primary 6,4,1,0,0,78.8,,0,JESUS LIVETH PRIMARY SCHOOL ALOR UNO
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,121,1,3,1,78.8,,0,MADONNA PRIMARY SCHOOL EHA ALUMONA
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Male,Disabled,Private,Pre-Primary/Primary,Primary 1,4,1,0,0,78.8,Primary 1,0,OWERRE UMABOR PRIMARY SCHOOL EHA-ALUMONA
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,109,1,3,1,78.8,Primary 1,0,"ST. LUKES PRIMARY  SCHOOL, UMABOR EHA-ALUMONA"
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Male,Disabled,Public,Pre-Primary/Primary,Primary 1,6,1,0,0,78.8,Primary 1,0,St. Marys Primary School
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,204,1,5,2,78.8,Primary 1,0,"THE GOOD SHEPHERD PRIMARY SCHOOL,EDE OBALLA, NSUKKA"
2023/2024,South East,Enugu,Nsukka,Agbemebe/Umabor,Male,Disabled,Private,Pre-Primary/Primary,Primary 2,3,1,0,0,78.8,,0,AMICUS PRIMARY SCHOOL NSUKKA
