session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Female,Disabled,WAEC,2-year,Polytechnic,7,4,0,0,0,2.0
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Female,Disabled,WAEC,3-5-year,Polytechnic,5,2,0,0,0,1.5
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Female,Disabled,WAEC,5+-year,Polytechnic,2,2,0,0,0,1.5
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,NABTEB,1-year,Polytechnic,52,31,9,9,0,1.0
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,NABTEB,2-year,Polytechnic,35,20,4,5,0,2.0
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,NABTEB,3-5-year,Polytechnic,24,15,4,5,0,1.5
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,NABTEB,5+-year,Polytechnic,14,8,4,0,4,1.5
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,NECO,1-year,Polytechnic,102,57,25,18,7,1.0
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,NECO,2-year,Polytechnic,61,37,13,13,0,2.0
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,NECO,3-5-year,Polytechnic,41,25,8,9,0,1.5
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,NECO,5+-year,Polytechnic,26,14,4,5,0,1.5
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,WAEC,1-year,Polytechnic,119,68,23,18,5,1.0
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,WAEC,2-year,Polytechnic,77,45,13,14,0,2.0
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,WAEC,3-5-year,Polytechnic,45,27,7,7,0,1.5
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,ALL,WAEC,5+-year,Polytechnic,30,17,7,3,4,1.5
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,Disabled,NABTEB,1-year,Polytechnic,7,2,0,0,0,1.0
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,Disabled,NABTEB,2-year,Polytechnic,5,2,0,0,0,2.0
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,Disabled,NABTEB,3-5-year,Polytechnic,2,2,0,0,0,1.5
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,Disabled,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5
2020/2021,North East,Gombe,Balanga,Dadiya,"Government Secondary School, Dadiya",Male,Disabled,NECO,1-year,Polytechnic,10,5,4,5,0,1.0
