session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,2,1,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,107,1,6,4,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,3,1,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,151,1,8,6,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,3,2,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,153,2,9,7,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,4,2,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,186,2,10,7,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,2,1,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,84,1,5,4,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,2,1,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,118,1,7,5,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,3,2,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,119,2,7,5,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,3,2,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,144,2,8,6,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,1,1,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,46,1,3,2,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,1,1,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,64,1,4,3,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,1,2,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,65,2,4,3,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,2,2,1,1,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,79,2,4,3,45.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Private,JSS,JSS1,4,2,1,1,51.8,JSS1,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Private,JSS,JSS1,247,2,7,5,51.8,JSS1,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Private,JSS,JSS1,4,2,1,1,51.8,JSS1,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Non-Disabled,Private,JSS,JSS1,225,2,7,5,51.8,JSS1,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Public,JSS,JSS1,24,7,1,1,51.8,JSS1,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Public,JSS,JSS1,934,7,27,20,51.8,JSS1,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Public,JSS,JSS1,21,7,1,1,51.8,JSS1,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Non-Disabled,Public,JSS,JSS1,883,7,26,19,51.8,JSS1,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Private,JSS,JSS2,4,2,1,1,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Private,JSS,JSS2,202,2,6,4,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Private,JSS,JSS2,4,2,1,1,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Non-Disabled,Private,JSS,JSS2,184,2,5,4,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Public,JSS,JSS2,20,7,1,1,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Public,JSS,JSS2,765,7,22,16,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Public,JSS,JSS2,18,7,1,1,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Non-Disabled,Public,JSS,JSS2,725,7,21,15,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Disabled,Private,JSS,JSS3,4,2,1,1,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Female,Non-Disabled,Private,JSS,JSS3,163,2,5,4,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
2019/2020,South East,Abia,Aba North,Ariaria Market,Male,Disabled,Private,JSS,JSS3,4,2,1,1,51.8,,0,"Government Secondary School, Ariaria Market | Community Secondary School, Ariaria Market | Unity College, Aba North | Comprehensive High School, Ariaria Market"
