session,gender,disability,exam_body,gap_band
2019/2020,Female,ALL,NABTEB,1-year
2019/2020,Female,ALL,NABTEB,2-year
2019/2020,Female,ALL,NABTEB,3-5-year
2019/2020,Female,ALL,NABTEB,5+-year
2019/2020,Female,ALL,NECO,1-year
2019/2020,Female,ALL,NECO,2-year
2019/2020,Female,ALL,NECO,3-5-year
2019/2020,Female,ALL,NECO,5+-year
2019/2020,Female,ALL,WAEC,1-year
2019/2020,Female,ALL,WAEC,2-year
2019/2020,Female,ALL,WAEC,3-5-year
2019/2020,Female,ALL,WAEC,5+-year
2019/2020,Female,Disabled,NABTEB,1-year
2019/2020,Female,Disabled,NABTEB,2-year
2019/2020,Female,Disabled,NABTEB,3-5-year
2019/2020,Female,Disabled,NABTEB,5+-year
2019/2020,Female,Disabled,NECO,1-year
2019/2020,Female,Disabled,NECO,2-year
2019/2020,Female,Disabled,NECO,3-5-year
2019/2020,Female,Disabled,NECO,5+-year
2019/2020,Female,Disabled,WAEC,1-year
2019/2020,Female,Disabled,WAEC,2-year
2019/2020,Female,Disabled,WAEC,3-5-year
2019/2020,Female,Disabled,WAEC,5+-year
2019/2020,Male,ALL,NABTEB,1-year
2019/2020,Male,ALL,NABTEB,2-year
2019/2020,Male,ALL,NABTEB,3-5-year
2019/2020,Male,ALL,NABTEB,5+-year
2019/2020,Male,ALL,NECO,1-year
2019/2020,Male,ALL,NECO,2-year
2019/2020,Male,ALL,NECO,3-5-year
2019/2020,Male,ALL,NECO,5+-year
2019/2020,Male,ALL,WAEC,1-year
2019/2020,Male,ALL,WAEC,2-year
2019/2020,Male,ALL,WAEC,3-5-year
2019/2020,Male,ALL,WAEC,5+-year
2019/2020,Male,Disabled,NABTEB,1-year
2019/2020,Male,Disabled,NABTEB,2-year
2019/2020,Male,Disabled,NABTEB,3-5-year
2019/2020,Male,Disabled,NABTEB,5+-year
2019/2020,Male,Disabled,NECO,1-year
2019/2020,Male,Disabled,NECO,2-year
2019/2020,Male,Disabled,NECO,3-5-year
2019/2020,Male,Disabled,NECO,5+-year
2019/2020,Male,Disabled,WAEC,1-year
2019/2020,Male,Disabled,WAEC,2-year
2019/2020,Male,Disabled,WAEC,3-5-year
2019/2020,Male,Disabled,WAEC,5+-year
2020/2021,Female,ALL,NABTEB,1-year
2020/2021,Female,ALL,NABTEB,2-year
2020/2021,Female,ALL,NABTEB,3-5-year
2020/2021,Female,ALL,NABTEB,5+-year
2020/2021,Female,ALL,NECO,1-year
2020/2021,Female,ALL,NECO,2-year
2020/2021,Female,ALL,NECO,3-5-year
2020/2021,Female,ALL,NECO,5+-year
2020/2021,Female,ALL,WAEC,1-year
2020/2021,Female,ALL,WAEC,2-year
2020/2021,Female,ALL,WAEC,3-5-year
2020/2021,Female,ALL,WAEC,5+-year
2020/2021,Female,Disabled,NABTEB,1-year
2020/2021,Female,Disabled,NABTEB,2-year
2020/2021,Female,Disabled,NABTEB,3-5-year
2020/2021,Female,Disabled,NABTEB,5+-year
2020/2021,Female,Disabled,NECO,1-year
2020/2021,Female,Disabled,NECO,2-year
2020/2021,Female,Disabled,NECO,3-5-year
2020/2021,Female,Disabled,NECO,5+-year
2020/2021,Female,Disabled,WAEC,1-year
2020/2021,Female,Disabled,WAEC,2-year
2020/2021,Female,Disabled,WAEC,3-5-year
2020/2021,Female,Disabled,WAEC,5+-year
2020/2021,Male,ALL,NABTEB,1-year
2020/2021,Male,ALL,NABTEB,2-year
2020/2021,Male,ALL,NABTEB,3-5-year
2020/2021,Male,ALL,NABTEB,5+-year
2020/2021,Male,ALL,NECO,1-year
2020/2021,Male,ALL,NECO,2-year
2020/2021,Male,ALL,NECO,3-5-year
2020/2021,Male,ALL,NECO,5+-year
2020/2021,Male,ALL,WAEC,1-year
2020/2021,Male,ALL,WAEC,2-year
2020/2021,Male,ALL,WAEC,3-5-year
2020/2021,Male,ALL,WAEC,5+-year
2020/2021,Male,Disabled,NABTEB,1-year
2020/2021,Male,Disabled,NABTEB,2-year
2020/2021,Male,Disabled,NABTEB,3-5-year
2020/2021,Male,Disabled,NABTEB,5+-year
2020/2021,Male,Disabled,NECO,1-year
2020/2021,Male,Disabled,NECO,2-year
2020/2021,Male,Disabled,NECO,3-5-year
2020/2021,Male,Disabled,NECO,5+-year
2020/2021,Male,Disabled,WAEC,1-year
2020/2021,Male,Disabled,WAEC,2-year
2020/2021,Male,Disabled,WAEC,3-5-year
2020/2021,Male,Disabled,WAEC,5+-year
2021/2022,Female,ALL,NABTEB,1-year
2021/2022,Female,ALL,NABTEB,2-year
2021/2022,Female,ALL,NABTEB,3-5-year
2021/2022,Female,ALL,NABTEB,5+-year
2021/2022,Female,ALL,NECO,1-year
2021/2022,Female,ALL,NECO,2-year
2021/2022,Female,ALL,NECO,3-5-year
2021/2022,Female,ALL,NECO,5+-year
2021/2022,Female,ALL,WAEC,1-year
2021/2022,Female,ALL,WAEC,2-year
2021/2022,Female,ALL,WAEC,3-5-year
2021/2022,Female,ALL,WAEC,5+-year
2021/2022,Female,Disabled,NABTEB,1-year
2021/2022,Female,Disabled,NABTEB,2-year
2021/2022,Female,Disabled,NABTEB,3-5-year
2021/2022,Female,Disabled,NABTEB,5+-year
2021/2022,Female,Disabled,NECO,1-year
2021/2022,Female,Disabled,NECO,2-year
2021/2022,Female,Disabled,NECO,3-5-year
2021/2022,Female,Disabled,NECO,5+-year
2021/2022,Female,Disabled,WAEC,1-year
2021/2022,Female,Disabled,WAEC,2-year
2021/2022,Female,Disabled,WAEC,3-5-year
2021/2022,Female,Disabled,WAEC,5+-year
2021/2022,Male,ALL,NABTEB,1-year
2021/2022,Male,ALL,NABTEB,2-year
2021/2022,Male,ALL,NABTEB,3-5-year
2021/2022,Male,ALL,NABTEB,5+-year
2021/2022,Male,ALL,NECO,1-year
2021/2022,Male,ALL,NECO,2-year
2021/2022,Male,ALL,NECO,3-5-year
2021/2022,Male,ALL,NECO,5+-year
2021/2022,Male,ALL,WAEC,1-year
2021/2022,Male,ALL,WAEC,2-year
2021/2022,Male,ALL,WAEC,3-5-year
2021/2022,Male,ALL,WAEC,5+-year
2021/2022,Male,Disabled,NABTEB,1-year
2021/2022,Male,Disabled,NABTEB,2-year
2021/2022,Male,Disabled,NABTEB,3-5-year
2021/2022,Male,Disabled,NABTEB,5+-year
2021/2022,Male,Disabled,NECO,1-year
2021/2022,Male,Disabled,NECO,2-year
2021/2022,Male,Disabled,NECO,3-5-year
2021/2022,Male,Disabled,NECO,5+-year
2021/2022,Male,Disabled,WAEC,1-year
2021/2022,Male,Disabled,WAEC,2-year
2021/2022,Male,Disabled,WAEC,3-5-year
