session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2020/2021,South South,Akwa Ibom,Eket,Central I,Female,Disabled,Public,Vocational,Vocational Year 1,0,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Female,Non-Disabled,Public,Vocational,Vocational Year 1,14,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Male,Disabled,Public,Vocational,Vocational Year 1,1,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Male,Non-Disabled,Public,Vocational,Vocational Year 1,39,2,2,2,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Female,Disabled,Private,Vocational,Vocational Year 2,0,1,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Female,Non-Disabled,Private,Vocational,Vocational Year 2,8,1,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Male,Disabled,Private,Vocational,Vocational Year 2,0,1,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Male,Non-Disabled,Private,Vocational,Vocational Year 2,23,1,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Female,Disabled,Public,Vocational,Vocational Year 2,0,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Female,Non-Disabled,Public,Vocational,Vocational Year 2,12,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Male,Disabled,Public,Vocational,Vocational Year 2,1,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Male,Non-Disabled,Public,Vocational,Vocational Year 2,33,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Female,Disabled,Private,Vocational,Vocational Year 3,0,1,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Female,Non-Disabled,Private,Vocational,Vocational Year 3,6,1,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Male,Disabled,Private,Vocational,Vocational Year 3,0,1,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Male,Non-Disabled,Private,Vocational,Vocational Year 3,17,1,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Female,Disabled,Public,Vocational,Vocational Year 3,0,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Female,Non-Disabled,Public,Vocational,Vocational Year 3,9,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Male,Disabled,Public,Vocational,Vocational Year 3,0,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central I,Male,Non-Disabled,Public,Vocational,Vocational Year 3,24,2,1,1,51.1,,0,"Government Secondary School, Central I | Community Secondary School, Central I | Unity College, Eket | Comprehensive High School, Central I"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,2,1,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,120,1,5,4,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,3,1,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,164,1,7,5,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,5,2,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,197,2,8,6,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,7,2,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,248,2,10,8,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,2,1,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,93,1,4,3,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,2,1,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,127,1,5,4,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,4,2,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,153,2,6,5,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,5,2,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Male,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,193,2,8,6,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
2020/2021,South South,Akwa Ibom,Eket,Central II,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,1,1,1,1,46.1,,0,"Government Secondary School, Central II | Community Secondary School, Central II | Unity College, Eket | Comprehensive High School, Central II"
