session,zone,state,lga,institution_type,tertiary_institution,gender,disability,programme_cluster,discipline_group,programme,admitted_count,matriculated_count
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering,84,80
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Electrical and Electronics Engineering,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering,79,69
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Electrical and Electronics Engineering,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,110,89
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Data Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,102,94
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Data Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,97,93
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Data Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,98,89
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Data Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,73,62
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Health Sciences,Medical Laboratory Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,72,71
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Health Sciences,Medical Laboratory Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,73,59
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Computing / ICT,Computer Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,68,62
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Computing / ICT,Computer Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,71,61
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Computing / ICT,Computer Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,69,61
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Computing / ICT,Computer Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Technology / ICT,Information Technology,94,78
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Technology / ICT,Information Technology,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Technology / ICT,Information Technology,94,87
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Technology / ICT,Information Technology,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Computing / ICT,Software Engineering,113,92
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Computing / ICT,Software Engineering,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Computing / ICT,Software Engineering,111,100
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Computing / ICT,Software Engineering,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,101,87
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Data Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,94,94
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Data Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Technology / ICT,Information Technology,87,74
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Technology / ICT,Information Technology,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Technology / ICT,Information Technology,87,77
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Technology / ICT,Information Technology,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,106,103
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Data Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,101,102
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Data Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Civil Engineering,91,80
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Civil Engineering,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Civil Engineering,95,86
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Civil Engineering,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering,95,77
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Electrical and Electronics Engineering,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering,87,75
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Electrical and Electronics Engineering,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Mechanical Engineering,90,75
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Mechanical Engineering,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Mechanical Engineering,89,86
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Mechanical Engineering,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Mechanical Engineering,73,62
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Mechanical Engineering,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Mechanical Engineering,76,66
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Mechanical Engineering,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering,81,68
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Electrical and Electronics Engineering,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering,75,65
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Electrical and Electronics Engineering,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Civil Engineering,66,64
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Civil Engineering,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Civil Engineering,67,66
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Civil Engineering,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,68,59
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Computing / ICT,Computer Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,67,66
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Computing / ICT,Computer Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,110,109
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Data Science,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,111,108
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Data Science,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,84,81
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Computing / ICT,Computer Science,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,83,72
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Computing / ICT,Computer Science,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,95,96
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Data Science,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science,90,75
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Data Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Technology / ICT,Information Technology,67,68
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Technology / ICT,Information Technology,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Technology / ICT,Information Technology,67,68
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Technology / ICT,Information Technology,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,74,72
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Health Sciences,Medical Laboratory Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,75,72
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Health Sciences,Medical Laboratory Science,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,59,55
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Health Sciences,Medical Laboratory Science,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science,57,56
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Health Sciences,Medical Laboratory Science,9,8
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,67,59
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,60,53
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery,9,7
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Medicine / Health Sciences,Nursing Science,73,74
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Medicine / Health Sciences,Nursing Science,9,7
