session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,pass_rate_pct,utme_candidate_count,utme_qualified_count,utme_qualifying_rate_pct,admitted_count,admission_rate_pct,matriculated_count,matriculation_completion_rate_pct
2023/2024,North East,Bauchi,Misau,Jarkasa,Mangari Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Jarkasa,Rigar Busa Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Jarkasa,Sabon Sara Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Jarkasa,Salihawa Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Jarkasa,Waliya Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Jarkasa,Waliyan Yamma Nur &Amp; Pri School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Kukadi/Gundari,A.D. Rufai Quarters Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Kukadi/Gundari,Agundi Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Kukadi/Gundari,Ajili Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Kukadi/Gundari,Arobana Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Kukadi/Gundari,Babajika Nur. &Amp; Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Kukadi/Gundari,Badakoshi Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
2023/2024,North East,Bauchi,Misau,Kukadi/Gundari,Dallari Primary School,Male,Disabled,WAEC,1,1,100.0,1,0,0.0,0,0.0,1,0.0
