session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Disabled,Private,Vocational,Vocational Year 1,0,1,0,0,77.8,,0,"BRAIN TRUST COLLEGE,UKEHE"
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Non-Disabled,Private,Vocational,Vocational Year 1,1,1,0,0,77.8,,0,"COMMUNITY HIGH SCHOOL, UKEHE"
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Disabled,Public,Vocational,Vocational Year 1,0,1,0,0,77.8,,0,"ORINANDU COMMUNITY SECONDARY SCHOOL, UKEHE"
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Non-Disabled,Public,Vocational,Vocational Year 1,1,1,0,0,77.8,,0,"PREMIER SECONDARY SCHOOL, UKEHE"
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Disabled,Private,Vocational,Vocational Year 2,0,0,0,0,77.8,,0,"SPECIAL SCIENCE SCHOOL, UKEHE"
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Non-Disabled,Private,Vocational,Vocational Year 2,1,0,0,0,77.8,,0,ST IGNATIUS OF LOYOLO COLLEGE SCH UKEHE
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Disabled,Public,Vocational,Vocational Year 2,0,1,0,0,77.8,,0,"BRAIN TRUST COLLEGE,UKEHE"
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Non-Disabled,Public,Vocational,Vocational Year 2,1,1,0,0,77.8,,0,"COMMUNITY HIGH SCHOOL, UKEHE"
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Disabled,Private,Vocational,Vocational Year 3,0,1,0,0,77.8,,0,"ORINANDU COMMUNITY SECONDARY SCHOOL, UKEHE"
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Non-Disabled,Private,Vocational,Vocational Year 3,1,1,0,0,77.8,,0,"PREMIER SECONDARY SCHOOL, UKEHE"
2021/2022,South East,Enugu,Igbo-Etiti,Ukehe I,Female,Disabled,Public,Vocational,Vocational Year 3,0,1,0,0,77.8,,0,"SPECIAL SCIENCE SCHOOL, UKEHE"
