session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,pupil_teacher_ratio
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Male,Disabled,Public,JSS,,NCE,Qualified,424,11,38.54545454545455
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Female,Non-Disabled,Public,JSS,,NCE,Qualified,223,6,37.16666666666666
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Female,Non-Disabled,Public,JSS,,PGDE,Qualified,242,6,40.333333333333336
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Male,Disabled,Public,JSS,,PGDE,Qualified,507,13,39.0
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Female,Non-Disabled,Public,JSS,,NCE,Qualified,242,6,40.333333333333336
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Female,Non-Disabled,Public,JSS,,PGDE,Qualified,186,5,37.2
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Male,Non-Disabled,Public,JSS,,NCE,Qualified,350,9,38.888888888888886
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Female,Disabled,Public,SSS,,MEd or Equivalent,Qualified,191,5,38.2
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Female,Non-Disabled,Public,SSS,,NCE,Qualified,175,5,35.0
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Male,Non-Disabled,Public,SSS,,PGDE,Qualified,342,10,34.2
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Female,Non-Disabled,Public,SSS,,NCE,Qualified,159,4,39.75
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Female,Non-Disabled,Public,SSS,,PGDE,Qualified,175,5,35.0
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Male,Non-Disabled,Public,SSS,,MEd or Equivalent,Qualified,324,9,36.0
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Female,Disabled,Public,SSS,,PGDE,Qualified,303,8,37.875
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Community Secondary School, Dutsen Abba",Male,Non-Disabled,Public,SSS,,Grade II or Equivalent,Unqualified,252,7,36.0
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Non-Disabled,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,717,22,32.59090909090909
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Male,Non-Disabled,Private,Pre-Primary/Primary,,,Unqualified,712,22,32.36363636363637
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Disabled,Private,Pre-Primary/Primary,,BEd or Equivalent,Qualified,850,26,32.69230769230769
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Male,Non-Disabled,Private,Pre-Primary/Primary,,NCE,Qualified,769,23,33.43478260869565
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Non-Disabled,Private,Pre-Primary/Primary,,NCE,Qualified,744,23,32.34782608695652
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Male,Non-Disabled,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,712,22,32.36363636363637
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Non-Disabled,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,452,14,32.285714285714285
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Non-Disabled,Private,Pre-Primary/Primary,,,Unqualified,398,12,33.166666666666664
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Male,Non-Disabled,Private,Pre-Primary/Primary,,,Unqualified,911,28,32.535714285714285
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,,Unqualified,1355,41,33.04878048780488
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,PGDE,Qualified,1253,38,32.973684210526315
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Disabled,Private,Pre-Primary/Primary,Primary 2,,Unqualified,1514,46,32.91304347826087
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Male,Disabled,Private,Pre-Primary/Primary,Primary 2,NCE,Qualified,1623,49,33.12244897959184
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,NCE,Qualified,1222,37,33.027027027027025
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 3,,Unqualified,1367,41,33.34146341463415
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,1275,39,32.69230769230769
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Male,Disabled,Private,Pre-Primary/Primary,Primary 4,Grade II or Equivalent,Unqualified,1225,37,33.108108108108105
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 5,NCE,Qualified,1009,31,32.54838709677419
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Male,Disabled,Private,Pre-Primary/Primary,Primary 5,NCE,Qualified,1139,35,32.542857142857144
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,,Unqualified,1063,32,33.21875
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Comprehensive High School, Dutsen Abba",Male,Disabled,Private,Pre-Primary/Primary,Primary 6,BEd or Equivalent,Qualified,1282,39,32.87179487179487
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Female,Non-Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,586,15,39.06666666666667
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Male,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,332,9,36.888888888888886
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Male,Disabled,Public,JSS,,NCE,Qualified,286,8,35.75
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Female,Non-Disabled,Public,JSS,,,Unqualified,605,16,37.8125
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Male,Non-Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,221,6,36.833333333333336
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Male,Non-Disabled,Public,JSS,,,Unqualified,295,8,36.875
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Female,Disabled,Public,JSS,,MEd or Equivalent,Qualified,596,16,37.25
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Male,Disabled,Public,JSS,,BEd or Equivalent,Qualified,184,5,36.8
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Male,Non-Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,277,7,39.57142857142857
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Female,Disabled,Public,SSS,,PGDE,Qualified,406,11,36.90909090909091
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,406,11,36.90909090909091
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Female,Non-Disabled,Public,SSS,,PGDE,Qualified,358,10,35.8
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,424,12,35.333333333333336
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Female,Non-Disabled,Public,SSS,,NCE,Qualified,318,9,35.333333333333336
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Government Secondary School, Dutsen Abba",Male,Non-Disabled,Public,SSS,,PGDE,Qualified,324,9,36.0
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Female,Non-Disabled,Public,JSS,,,Unqualified,586,15,39.06666666666667
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Male,Disabled,Public,JSS,,BEd or Equivalent,Qualified,203,5,40.6
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Male,Disabled,Public,JSS,,MEd or Equivalent,Qualified,350,9,38.888888888888886
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Female,Non-Disabled,Public,JSS,,MEd or Equivalent,Qualified,475,13,36.53846153846154
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Male,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,415,11,37.72727272727273
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Female,Disabled,Public,JSS,,MEd or Equivalent,Qualified,223,6,37.16666666666666
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Female,Disabled,Public,JSS,,PGDE,Qualified,270,7,38.57142857142857
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Male,Non-Disabled,Public,JSS,,NCE,Qualified,433,11,39.36363636363637
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Female,Disabled,Public,Pre-Primary/Primary,Primary 1,NCE,Qualified,2284,69,33.10144927536232
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,BEd or Equivalent,Qualified,2022,61,33.14754098360656
2021/2022,North West,Kaduna,Zaria,Dutsen Abba,"Unity College, Zaria",Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,BEd or Equivalent,Qualified,1780,54,32.96296296296296
