session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Disabled,Private,SSS,SSS1,0,0,0,0,63.0,SSS1,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Non-Disabled,Private,SSS,SSS1,8,0,0,0,63.0,SSS1,0,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Disabled,Public,SSS,SSS1,0,0,0,0,63.0,SSS1,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Non-Disabled,Public,SSS,SSS1,26,0,1,0,63.0,SSS1,1,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Disabled,Private,SSS,SSS2,0,0,0,0,63.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Non-Disabled,Private,SSS,SSS2,7,0,0,0,63.0,,0,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Disabled,Public,SSS,SSS2,0,0,0,0,63.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Non-Disabled,Public,SSS,SSS2,21,0,1,0,63.0,,1,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Disabled,Private,SSS,SSS3,0,0,0,0,63.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Non-Disabled,Private,SSS,SSS3,5,0,0,0,63.0,,0,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Disabled,Public,SSS,SSS3,0,0,0,0,63.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Non-Disabled,Public,SSS,SSS3,16,0,1,0,63.0,,1,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Disabled,Private,SSS,SSS1,0,0,0,0,63.0,SSS1,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Non-Disabled,Private,SSS,SSS1,8,0,0,0,63.0,SSS1,0,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Disabled,Public,SSS,SSS1,0,0,0,0,63.0,SSS1,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Non-Disabled,Public,SSS,SSS1,28,0,1,1,63.0,SSS1,1,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Disabled,Private,SSS,SSS2,0,0,0,0,63.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Non-Disabled,Private,SSS,SSS2,6,0,0,0,63.0,,0,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Disabled,Public,SSS,SSS2,0,0,0,0,63.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Non-Disabled,Public,SSS,SSS2,22,0,1,0,63.0,,1,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Disabled,Private,SSS,SSS3,0,0,0,0,63.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Non-Disabled,Private,SSS,SSS3,5,0,0,0,63.0,,0,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Disabled,Public,SSS,SSS3,0,0,0,0,63.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Male,Non-Disabled,Public,SSS,SSS3,17,0,1,0,63.0,,1,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Disabled,Private,Vocational,Vocational Year 1,0,0,0,0,60.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Non-Disabled,Private,Vocational,Vocational Year 1,0,0,0,0,60.0,,0,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Disabled,Public,Vocational,Vocational Year 1,0,0,0,0,60.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Non-Disabled,Public,Vocational,Vocational Year 1,0,0,0,0,60.0,,0,"Junior Secondary School, Garko"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Disabled,Private,Vocational,Vocational Year 2,0,0,0,0,60.0,,0,"Junior Secondary School, Duhuwa"
2023/2024,North West,Jigawa,Kiyawa,Garko,Female,Non-Disabled,Private,Vocational,Vocational Year 2,0,0,0,0,60.0,,0,"Junior Secondary School, Garko"
