session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2019/2020,North East,Bauchi,Damban,Dambam,Male,Disabled,Private,Pre-Primary/Primary,Primary 6,1,0,0,0,47.0,,0,Madarassatul Ahmed Tafisul Quran Damban
2019/2020,North East,Bauchi,Damban,Dambam,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,33,0,1,0,47.0,,0,Madawai Babba Primary School .
2019/2020,North East,Bauchi,Damban,Dambam,Male,Disabled,Public,Pre-Primary/Primary,Primary 6,3,1,0,0,47.0,,0,Nahuta Primary School
2019/2020,North East,Bauchi,Damban,Dambam,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,86,1,2,1,47.0,,0,Watakabu Primary School
2020/2021,North East,Bauchi,Damban,Dambam,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,0,0,0,0,46.0,,0,Al-Mubarak Model School
2020/2021,North East,Bauchi,Damban,Dambam,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,6,0,0,0,46.0,,0,Albarka  Nusery &Amp; Primary School
2020/2021,North East,Bauchi,Damban,Dambam,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,0,0,0,0,46.0,,0,Arku Primary School
2020/2021,North East,Bauchi,Damban,Dambam,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 1,6,0,0,0,46.0,,0,Garin Babaji Primary School
2020/2021,North East,Bauchi,Damban,Dambam,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,0,0,0,0,46.0,,0,Garin Busa Primary School
2020/2021,North East,Bauchi,Damban,Dambam,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 2,5,0,0,0,46.0,,0,Garin Doka Primary School
2020/2021,North East,Bauchi,Damban,Dambam,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,0,0,0,0,46.0,,0,Garin Kachalla Primary School
2020/2021,North East,Bauchi,Damban,Dambam,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 2,5,0,0,0,46.0,,0,Jale Primary School
2020/2021,North East,Bauchi,Damban,Dambam,Female,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,0,0,0,0,46.0,,0,Madarassatul Ahmed Tafisul Quran Damban
2020/2021,North East,Bauchi,Damban,Dambam,Female,Non-Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 3,3,0,0,0,46.0,,0,Madawai Babba Primary School .
2020/2021,North East,Bauchi,Damban,Dambam,Female,Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,0,0,0,0,46.0,,0,Nahuta Primary School
2020/2021,North East,Bauchi,Damban,Dambam,Female,Non-Disabled,Public,Adult & Non-Formal,IQS/IQTS Stage 3,3,0,0,0,46.0,,0,Watakabu Primary School
2020/2021,North East,Bauchi,Damban,Dambam,Male,Disabled,Private,Adult & Non-Formal,IQS/IQTS Stage 1,0,0,0,0,46.0,,0,Al-Mubarak Model School
