session,zone,state,lga,institution_type,tertiary_institution,gender,disability,programme_cluster,discipline_group,programme,loan_applications,loan_approved,loan_disbursed
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Physical Sciences,Microbiology,15,12,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Physical Sciences,Microbiology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Physical Sciences,Microbiology,16,12,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Physical Sciences,Microbiology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Science,Plant Science,21,15,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Science,Plant Science,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Science,Plant Science,24,17,15
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Science,Plant Science,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Science,Geology,16,13,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Science,Geology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Science,Geology,16,13,12
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Science,Geology,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Biological Sciences,Biochemistry,17,13,11
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Biological Sciences,Biochemistry,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Biological Sciences,Biochemistry,18,14,13
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Biological Sciences,Biochemistry,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Science,Physics,13,10,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Science,Physics,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Science,Physics,11,8,7
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Science,Physics,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Computing / ICT,Computer Science,14,11,10
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Computing / ICT,Computer Science,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Computing / ICT,Computer Science,14,11,9
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Computing / ICT,Computer Science,1,1,1
2022/2023,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Technology / ICT,Cybersecurity,17,14,12
