session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Private,SSS,SSS2,5,3,1,1,62.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Non-Disabled,Private,SSS,SSS2,270,3,5,3,62.9,,1,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Disabled,Private,SSS,SSS2,5,3,1,1,62.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Non-Disabled,Private,SSS,SSS2,290,3,5,3,62.9,,1,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Public,SSS,SSS2,9,6,1,1,62.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Non-Disabled,Public,SSS,SSS2,604,6,11,8,62.9,,1,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Disabled,Public,SSS,SSS2,9,6,1,1,62.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Non-Disabled,Public,SSS,SSS2,581,6,11,8,62.9,,1,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Private,SSS,SSS3,4,3,1,1,62.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Non-Disabled,Private,SSS,SSS3,209,3,4,3,62.9,,1,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Disabled,Private,SSS,SSS3,4,3,1,1,62.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Non-Disabled,Private,SSS,SSS3,226,3,4,3,62.9,,1,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Public,SSS,SSS3,7,6,1,1,62.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Non-Disabled,Public,SSS,SSS3,470,6,9,6,62.9,,1,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Disabled,Public,SSS,SSS3,5,6,1,1,62.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Non-Disabled,Public,SSS,SSS3,451,6,8,6,62.9,,1,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Private,Vocational,Vocational Year 1,0,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Non-Disabled,Private,Vocational,Vocational Year 1,14,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Disabled,Private,Vocational,Vocational Year 1,1,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Non-Disabled,Private,Vocational,Vocational Year 1,39,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Public,Vocational,Vocational Year 1,0,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Non-Disabled,Public,Vocational,Vocational Year 1,16,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Disabled,Public,Vocational,Vocational Year 1,1,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Non-Disabled,Public,Vocational,Vocational Year 1,42,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Private,Vocational,Vocational Year 2,0,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Non-Disabled,Private,Vocational,Vocational Year 2,12,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Disabled,Private,Vocational,Vocational Year 2,1,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Non-Disabled,Private,Vocational,Vocational Year 2,33,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Public,Vocational,Vocational Year 2,0,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Non-Disabled,Public,Vocational,Vocational Year 2,14,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Disabled,Public,Vocational,Vocational Year 2,1,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Male,Non-Disabled,Public,Vocational,Vocational Year 2,36,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Disabled,Private,Vocational,Vocational Year 3,0,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
2021/2022,South South,Bayelsa,Nembe,Bassambiri II,Female,Non-Disabled,Private,Vocational,Vocational Year 3,9,2,1,1,59.9,,0,"Government Secondary School, Bassambiri II | Community Secondary School, Bassambiri II | Unity College, Nembe | Comprehensive High School, Bassambiri II"
