session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NABTEB,1-year,College of Education,57,37,19,13,6,1.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NABTEB,2-year,College of Education,32,23,12,7,5,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NABTEB,3-5-year,College of Education,24,17,6,7,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NABTEB,5+-year,College of Education,11,7,0,0,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NECO,1-year,College of Education,91,59,21,22,0,1.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NECO,2-year,College of Education,62,39,16,11,5,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NECO,3-5-year,College of Education,32,21,5,5,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,NECO,5+-year,College of Education,21,15,5,5,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,WAEC,1-year,College of Education,135,95,37,36,1,1.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,WAEC,2-year,College of Education,89,63,23,21,2,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,WAEC,3-5-year,College of Education,63,46,19,15,4,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,ALL,WAEC,5+-year,College of Education,29,19,5,5,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NABTEB,1-year,College of Education,5,4,6,7,0,1.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NABTEB,2-year,College of Education,3,4,0,0,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NABTEB,3-5-year,College of Education,3,0,0,0,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NECO,1-year,College of Education,9,6,5,5,0,1.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NECO,2-year,College of Education,6,3,0,0,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NECO,3-5-year,College of Education,3,3,0,0,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,NECO,5+-year,College of Education,0,0,0,0,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,WAEC,1-year,College of Education,11,5,5,5,0,1.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,WAEC,2-year,College of Education,6,5,0,0,0,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,WAEC,3-5-year,College of Education,6,3,0,0,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Disabled,WAEC,5+-year,College of Education,3,3,0,0,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,NABTEB,1-year,College of Education,57,40,12,13,0,1.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,NABTEB,2-year,College of Education,38,27,12,7,5,2.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,NABTEB,3-5-year,College of Education,22,17,6,7,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,NABTEB,5+-year,College of Education,14,10,6,7,0,1.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,NECO,1-year,College of Education,100,68,26,22,4,1.0
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,ALL,NECO,2-year,College of Education,65,45,16,16,0,2.0
