session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years
2021/2022,South East,Abia,Aba South,Asa,"Community Secondary School, Asa",Male,Disabled,NECO,3-5-year,University,7,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Community Secondary School, Asa",Male,Disabled,NECO,5+-year,University,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Community Secondary School, Asa",Male,Disabled,WAEC,1-year,University,21,14,5,5,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Community Secondary School, Asa",Male,Disabled,WAEC,2-year,University,14,7,5,5,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Community Secondary School, Asa",Male,Disabled,WAEC,3-5-year,University,10,7,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Community Secondary School, Asa",Male,Disabled,WAEC,5+-year,University,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,NABTEB,1-year,University,35,29,5,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,NABTEB,2-year,University,26,16,5,6,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,NABTEB,3-5-year,University,16,12,5,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,NABTEB,5+-year,University,6,4,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,NECO,1-year,University,71,50,17,17,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,NECO,2-year,University,47,35,11,12,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,NECO,3-5-year,University,34,25,11,6,5,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,NECO,5+-year,University,17,11,6,6,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,WAEC,1-year,University,89,67,20,21,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,WAEC,2-year,University,62,44,15,10,5,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,WAEC,3-5-year,University,38,27,10,10,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,ALL,WAEC,5+-year,University,17,14,5,5,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,NABTEB,1-year,University,6,4,5,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,NABTEB,2-year,University,3,4,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,NABTEB,3-5-year,University,3,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,NABTEB,5+-year,University,0,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,NECO,1-year,University,7,3,6,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,NECO,2-year,University,7,3,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,NECO,3-5-year,University,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,NECO,5+-year,University,0,0,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,WAEC,1-year,University,10,7,5,5,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,WAEC,2-year,University,7,3,0,0,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,WAEC,3-5-year,University,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Female,Disabled,WAEC,5+-year,University,3,3,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,NABTEB,1-year,University,35,25,5,6,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,NABTEB,2-year,University,22,16,5,6,0,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,NABTEB,3-5-year,University,16,12,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,NABTEB,5+-year,University,10,4,0,0,0,1.5
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,NECO,1-year,University,61,42,11,12,0,1.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,NECO,2-year,University,40,28,11,6,5,2.0
2021/2022,South East,Abia,Aba South,Asa,"Comprehensive High School, Asa",Male,ALL,NECO,3-5-year,University,30,21,6,6,0,1.5
