session,zone,state,lga,ward,school,gender,disability,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,NABTEB,5+-year,Polytechnic,0,0,0,0,0,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,NECO,1-year,Polytechnic,11,6,4,4,0,1.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,NECO,2-year,Polytechnic,7,3,0,0,0,2.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,NECO,3-5-year,Polytechnic,4,3,0,0,0,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,NECO,5+-year,Polytechnic,4,3,0,0,0,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,WAEC,1-year,Polytechnic,14,8,3,4,0,1.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,WAEC,2-year,Polytechnic,7,5,3,4,0,2.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,WAEC,3-5-year,Polytechnic,7,3,0,0,0,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Female,Disabled,WAEC,5+-year,Polytechnic,4,3,0,0,0,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,NABTEB,1-year,Polytechnic,46,26,7,4,3,1.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,NABTEB,2-year,Polytechnic,23,13,4,4,0,2.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,NABTEB,3-5-year,Polytechnic,17,10,4,4,0,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,NABTEB,5+-year,Polytechnic,10,6,0,0,0,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,NECO,1-year,Polytechnic,79,46,16,17,0,1.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,NECO,2-year,Polytechnic,50,28,8,9,0,2.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,NECO,3-5-year,Polytechnic,36,20,8,4,4,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,NECO,5+-year,Polytechnic,14,6,4,4,0,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,WAEC,1-year,Polytechnic,116,65,23,21,2,1.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,WAEC,2-year,Polytechnic,76,43,17,14,3,2.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,WAEC,3-5-year,Polytechnic,47,27,10,10,0,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,ALL,WAEC,5+-year,Polytechnic,25,13,3,4,0,1.5
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,Disabled,NABTEB,1-year,Polytechnic,7,3,4,4,0,1.0
2022/2023,South South,Rivers,Obio-Akpor,Elelenwo (3B),"Unity College, Obio-Akpor",Male,Disabled,NABTEB,2-year,Polytechnic,3,3,0,0,0,2.0
