session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,JSS,JSS3,13,7,1,1,56.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,JSS,JSS3,667,7,20,16,56.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,JSS,JSS3,13,7,1,1,56.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,JSS,JSS3,637,7,19,15,56.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,Pre-Primary/Primary,Primary 1,26,4,1,1,54.2,Primary 1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,812,4,28,23,54.2,Primary 1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,Pre-Primary/Primary,Primary 1,26,4,1,1,54.2,Primary 1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 1,825,4,28,23,54.2,Primary 1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,Pre-Primary/Primary,Primary 1,89,15,3,2,54.2,Primary 1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,3465,15,118,95,54.2,Primary 1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,Pre-Primary/Primary,Primary 1,81,15,3,2,54.2,Primary 1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 1,3109,15,106,86,54.2,Primary 1,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,Pre-Primary/Primary,Primary 2,22,4,1,1,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,720,4,25,20,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Private,Pre-Primary/Primary,Primary 2,23,4,1,1,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 2,734,4,25,20,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Public,Pre-Primary/Primary,Primary 2,79,15,3,2,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,3078,15,105,85,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Disabled,Public,Pre-Primary/Primary,Primary 2,71,15,2,2,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 2,2761,15,94,76,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
2024/2025,South West,Ekiti,Efon,Efon II,Female,Disabled,Private,Pre-Primary/Primary,Primary 3,20,4,1,1,54.2,,0,"Government Secondary School, Efon II | Community Secondary School, Efon II | Unity College, Efon | Comprehensive High School, Efon II"
