session,zone,state,lga,ward,school,gender,disability,olevel_exam_body,candidate_count,passed_count,pass_rate_pct,utme_candidate_count,utme_qualified_count,utme_qualifying_rate_pct,admitted_count,admission_rate_pct,matriculated_count,matriculation_completion_rate_pct
2019/2020,North West,Jigawa,Sule-Tankarkar,Takatsaba,"Kyara Primary School, Kyara",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Takatsaba,"Maimazari Primary School, Maimazari",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Takatsaba,"Mosege Nomadic Primary School, Mosege",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Takatsaba,"Takatsaba Primary School, Takatsaba",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Takatsaba,"Takure Primary School, Takure",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Takatsaba,Umarni Junior Secondary School,Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Takatsaba,"Umarni Primary School, Umarni",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Takatsaba,Unguwar Kiwo,Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Yandamo,"Asayaya Primary School, Asayaya",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Yandamo,"Bango Primary School, Bango",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Yandamo,"Danbanki Primary School, Danbanki",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Yandamo,Dangoriba Primary School,Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Yandamo,"Danyarda Primary School, Danyarda",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Yandamo,"Garin Haro Nomadic Primary School, Garin Haro",Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
2019/2020,North West,Jigawa,Sule-Tankarkar,Yandamo,Hardo Bai Nomadic Primary School,Male,Non-Disabled,WAEC,3,2,66.67,2,1,50.0,1,50.0,1,100.0
