session,gender,disability,exam_body,gap_band
2019/2020,Female,ALL,NABTEB,
2019/2020,Female,ALL,NECO,
2019/2020,Female,ALL,WAEC,
2019/2020,Female,Disabled,NABTEB,
2019/2020,Female,Disabled,NECO,
2019/2020,Female,Disabled,WAEC,
2019/2020,Male,ALL,NABTEB,
2019/2020,Male,ALL,NECO,
2019/2020,Male,ALL,WAEC,
2019/2020,Male,Disabled,NABTEB,
2019/2020,Male,Disabled,NECO,
2019/2020,Male,Disabled,WAEC,
2020/2021,Female,ALL,NABTEB,
2020/2021,Female,ALL,NECO,
2020/2021,Female,ALL,WAEC,
2020/2021,Female,Disabled,NABTEB,
2020/2021,Female,Disabled,NECO,
2020/2021,Female,Disabled,WAEC,
2020/2021,Male,ALL,NABTEB,
2020/2021,Male,ALL,NECO,
2020/2021,Male,ALL,WAEC,
2020/2021,Male,Disabled,NABTEB,
2020/2021,Male,Disabled,NECO,
2020/2021,Male,Disabled,WAEC,
2021/2022,Female,ALL,NABTEB,
2021/2022,Female,ALL,NECO,
2021/2022,Female,ALL,WAEC,
2021/2022,Female,Disabled,NABTEB,
2021/2022,Female,Disabled,NECO,
2021/2022,Female,Disabled,WAEC,
2021/2022,Male,ALL,NABTEB,
2021/2022,Male,ALL,NECO,
2021/2022,Male,ALL,WAEC,
2021/2022,Male,Disabled,NABTEB,
2021/2022,Male,Disabled,NECO,
2021/2022,Male,Disabled,WAEC,
2022/2023,Female,ALL,NABTEB,
2022/2023,Female,ALL,NECO,
2022/2023,Female,ALL,WAEC,
2022/2023,Female,Disabled,NABTEB,
2022/2023,Female,Disabled,NECO,
2022/2023,Female,Disabled,WAEC,
2022/2023,Male,ALL,NABTEB,
2022/2023,Male,ALL,NECO,
2022/2023,Male,ALL,WAEC,
2022/2023,Male,Disabled,NABTEB,
2022/2023,Male,Disabled,NECO,
2022/2023,Male,Disabled,WAEC,
2023/2024,Female,ALL,NABTEB,
2023/2024,Female,ALL,NECO,
2023/2024,Female,ALL,WAEC,
2023/2024,Female,Disabled,NABTEB,
2023/2024,Female,Disabled,NECO,
2023/2024,Female,Disabled,WAEC,
2023/2024,Male,ALL,NABTEB,
2023/2024,Male,ALL,NECO,
2023/2024,Male,ALL,WAEC,
2023/2024,Male,Disabled,NABTEB,
2023/2024,Male,Disabled,NECO,
2023/2024,Male,Disabled,WAEC,
2024/2025,Female,ALL,NABTEB,
2024/2025,Female,ALL,NECO,
2024/2025,Female,ALL,WAEC,
2024/2025,Female,Disabled,NABTEB,
2024/2025,Female,Disabled,NECO,
2024/2025,Female,Disabled,WAEC,
2024/2025,Male,ALL,NABTEB,
2024/2025,Male,ALL,NECO,
2024/2025,Male,ALL,WAEC,
2024/2025,Male,Disabled,NABTEB,
2024/2025,Male,Disabled,NECO,
2024/2025,Male,Disabled,WAEC,
