session,zone,state,lga,ward,gender,disability,school_type,school_level,class_grade,student_count,school_count,classroom_count,computer_count,infrastructure_score,key_entry_level,is_o_level_student,school
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Disabled,Public,Pre-Primary/Primary,Primary 5,38,11,1,1,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,1537,11,52,39,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Disabled,Public,Pre-Primary/Primary,Primary 5,35,11,1,1,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 5,1418,11,48,36,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Disabled,Private,Pre-Primary/Primary,Primary 6,15,3,1,1,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,444,3,15,11,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Disabled,Private,Pre-Primary/Primary,Primary 6,14,3,1,1,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Non-Disabled,Private,Pre-Primary/Primary,Primary 6,392,3,13,10,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Disabled,Public,Pre-Primary/Primary,Primary 6,35,10,1,1,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,1389,10,47,35,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Disabled,Public,Pre-Primary/Primary,Primary 6,32,10,1,1,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Non-Disabled,Public,Pre-Primary/Primary,Primary 6,1282,10,43,32,58.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Disabled,Private,SSS,SSS1,4,2,1,1,62.7,SSS1,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Non-Disabled,Private,SSS,SSS1,194,2,6,4,62.7,SSS1,1,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Disabled,Private,SSS,SSS1,4,2,1,1,62.7,SSS1,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Non-Disabled,Private,SSS,SSS1,202,2,6,4,62.7,SSS1,1,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Disabled,Public,SSS,SSS1,10,4,1,1,62.7,SSS1,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Non-Disabled,Public,SSS,SSS1,444,4,14,10,62.7,SSS1,1,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Disabled,Public,SSS,SSS1,10,4,1,1,62.7,SSS1,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Non-Disabled,Public,SSS,SSS1,491,4,15,11,62.7,SSS1,1,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Disabled,Private,SSS,SSS2,4,2,1,1,62.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Female,Non-Disabled,Private,SSS,SSS2,156,2,5,4,62.7,,1,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Disabled,Private,SSS,SSS2,4,2,1,1,62.7,,0,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
2022/2023,North East,Borno,Jere,Dala lawanti,Male,Non-Disabled,Private,SSS,SSS2,164,2,5,4,62.7,,1,"Government Secondary School, Dala lawanti | Community Secondary School, Dala lawanti | Unity College, Jere | Comprehensive High School, Dala lawanti"
