session,zone,state,lga,ward,school,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,student_count,teacher_count,pupil_teacher_ratio
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,JSS,,PGDE,Qualified,471,12,39.25
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Disabled,Public,JSS,,BEd or Equivalent,Qualified,243,6,40.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,JSS,,,Unqualified,162,4,40.5
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,JSS,,BEd or Equivalent,Qualified,488,12,40.66666666666666
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,JSS,,NCE,Qualified,422,11,38.36363636363637
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,JSS,,NCE,Qualified,439,11,39.90909090909091
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,JSS,,Grade II or Equivalent,Unqualified,406,10,40.6
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,SSS,,MEd or Equivalent,Qualified,326,9,36.22222222222222
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,321,9,35.666666666666664
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,SSS,,MEd or Equivalent,Qualified,274,7,39.142857142857146
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,SSS,,BEd or Equivalent,Qualified,277,7,39.57142857142857
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Female,Non-Disabled,Public,SSS,,PGDE,Qualified,287,8,35.875
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Community Secondary School, Gbk/Central Market",Male,Non-Disabled,Public,SSS,,NCE,Qualified,306,8,38.25
2019/2020,North Central,Benue,Gboko,Gbk/Central Market,"Comprehensive High School, Gbk/Central Market",Female,Non-Disabled,Private,Pre-Primary/Primary,,Grade II or Equivalent,Unqualified,888,26,34.15384615384615
