session,zone,state,lga,institution_type,tertiary_institution,gender,disability,programme_cluster,discipline_group,programme
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Electrical and Electronics Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Electrical and Electronics Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Electrical and Electronics Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Mathematics / Statistics,Data Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Mathematics / Statistics,Data Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Mathematics / Statistics,Data Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Mathematics / Statistics,Data Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Health Sciences,Medical Laboratory Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Health Sciences,Medical Laboratory Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Health Sciences,Medical Laboratory Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Computing / ICT,Computer Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Computing / ICT,Computer Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Computing / ICT,Computer Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Computing / ICT,Computer Science
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Technology / ICT,Information Technology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Technology / ICT,Information Technology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Technology / ICT,Information Technology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Technology / ICT,Information Technology
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Computing / ICT,Software Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Computing / ICT,Software Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Computing / ICT,Software Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Computing / ICT,Software Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Civil Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Civil Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Civil Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Civil Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Engineering,Mechanical Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Engineering,Mechanical Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Engineering,Mechanical Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Engineering,Mechanical Engineering
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Male,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Non-Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery
2019/2020,North Central,Benue,Gboko,University,"Benue State University, Makurdi",Female,Disabled,STEMM,Medicine / Health Sciences,Medicine and Surgery
