session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,506,435,621,550,433,400,77.139,39.0071,57.2104,91.9421
2022/2023,Female,ALL,NABTEB,lga,Okigwe,South East,Imo,Okigwe,,,605,519,747,656,488,448,76.9575,38.7033,53.6346,91.2088
2022/2023,Female,ALL,NABTEB,lga,Orlu,South East,Imo,Orlu,,,621,531,787,690,546,473,76.7974,38.6194,56.903,86.2295
2022/2023,Female,ALL,NABTEB,lga,Owerri North,South East,Imo,Owerri North,,,557,478,692,608,476,407,77.0352,38.7473,56.4756,85.1504
2022/2023,Female,ALL,NABTEB,lga,Owerri West,South East,Imo,Owerri West,,,617,530,780,688,517,461,77.0833,38.8523,54.3744,88.5813
2022/2023,Female,ALL,NECO,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,912,699,1127,981,778,721,68.7176,38.3713,56.6775,92.069
2022/2023,Female,ALL,NECO,lga,Okigwe,South East,Imo,Okigwe,,,1098,840,1380,1201,907,850,68.6999,38.3511,53.9362,93.1953
2022/2023,Female,ALL,NECO,lga,Orlu,South East,Imo,Orlu,,,1202,920,1505,1321,993,909,68.655,38.6829,54.1463,90.991
2022/2023,Female,ALL,NECO,lga,Owerri North,South East,Imo,Owerri North,,,996,764,1241,1083,861,801,68.7712,38.4615,56.9231,92.5156
2022/2023,Female,ALL,NECO,lga,Owerri West,South East,Imo,Owerri West,,,1144,877,1428,1244,993,935,68.7759,38.4062,57.0694,93.6937
2022/2023,Female,ALL,WAEC,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,1209,1000,1489,1294,1031,960,74.2585,38.3136,56.8047,92.6215
2022/2023,Female,ALL,WAEC,lga,Okigwe,South East,Imo,Okigwe,,,1432,1184,1784,1553,1185,1114,74.2088,38.3539,54.4856,93.5045
2022/2023,Female,ALL,WAEC,lga,Orlu,South East,Imo,Orlu,,,1610,1330,2006,1739,1424,1342,74.1176,38.2138,58.2723,93.7186
2022/2023,Female,ALL,WAEC,lga,Owerri North,South East,Imo,Owerri North,,,1296,1073,1624,1409,1152,1066,74.2306,38.2459,58.2278,92.0031
2022/2023,Female,ALL,WAEC,lga,Owerri West,South East,Imo,Owerri West,,,1487,1229,1878,1631,1313,1231,74.1701,38.2721,57.3886,93.188
2022/2023,Female,Disabled,NABTEB,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,49,43,59,57,70,61,78.0822,42.5,97.5,87.1795
2022/2023,Female,Disabled,NABTEB,lga,Okigwe,South East,Imo,Okigwe,,,53,46,68,63,64,56,78.2051,41.3043,77.1739,87.3239
2022/2023,Female,Disabled,NABTEB,lga,Orlu,South East,Imo,Orlu,,,55,48,68,63,70,61,78.0488,41.3043,84.7826,87.1795
