session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,lga,Ardo Kola,North East,Taraba,Ardo Kola,,,90,75,110,93,230,206,75.9036,37.234,172.3404,88.8889
2022/2023,Female,ALL,NABTEB,lga,Donga,North East,Taraba,Donga,,,98,83,121,103,237,218,75.8242,37.5,160.5769,91.6168
2022/2023,Female,ALL,NABTEB,lga,Jalingo,North East,Taraba,Jalingo,,,105,89,128,108,236,221,76.2887,37.2727,150.9091,93.3735
2022/2023,Female,ALL,NABTEB,lga,Sardauna,North East,Taraba,Sardauna,,,95,80,122,106,241,231,76.1364,38.0952,161.9048,95.2941
2022/2023,Female,ALL,NABTEB,lga,Wukari,North East,Taraba,Wukari,,,87,74,108,93,224,217,76.5432,37.6344,169.8925,96.2025
2022/2023,Female,ALL,NECO,lga,Ardo Kola,North East,Taraba,Ardo Kola,,,168,127,212,180,456,420,67.9487,37.3626,176.3736,91.5888
2022/2023,Female,ALL,NECO,lga,Donga,North East,Taraba,Donga,,,180,136,224,190,466,417,68.2635,37.5,170.8333,89.0244
2022/2023,Female,ALL,NECO,lga,Jalingo,North East,Taraba,Jalingo,,,193,146,235,201,469,424,68.1564,37.6238,163.3663,90.0
2022/2023,Female,ALL,NECO,lga,Sardauna,North East,Taraba,Sardauna,,,175,132,218,185,463,420,67.9012,37.4332,174.3316,90.184
2022/2023,Female,ALL,NECO,lga,Wukari,North East,Taraba,Wukari,,,159,120,197,167,429,383,68.0272,37.2781,178.6982,88.7417
2022/2023,Female,ALL,WAEC,lga,Ardo Kola,North East,Taraba,Ardo Kola,,,220,179,270,227,596,562,73.5294,37.069,181.0345,93.8095
2022/2023,Female,ALL,WAEC,lga,Donga,North East,Taraba,Donga,,,237,193,292,249,615,571,73.1818,37.4502,172.51,92.3788
