session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,lga,Biu,North East,Borno,Biu,,,575,441,717,597,294,267,69.7068,36.6947,33.6134,90.4167
2022/2023,Female,ALL,NABTEB,lga,Chibok,North East,Borno,Chibok,,,508,390,614,510,247,242,69.6133,36.6013,33.0065,97.5248
2022/2023,Female,ALL,NABTEB,lga,Gwoza,North East,Borno,Gwoza,,,579,443,698,579,261,246,69.5793,36.5468,30.6475,93.8967
2022/2023,Female,ALL,NABTEB,lga,Jere,North East,Borno,Jere,,,466,357,582,483,240,230,69.4779,36.5517,33.7931,95.4082
2022/2023,Female,ALL,NABTEB,lga,Maiduguri,North East,Borno,Maiduguri,,,512,393,644,533,273,255,69.6527,36.5055,34.7894,92.8251
2022/2023,Female,ALL,NECO,lga,Biu,North East,Borno,Biu,,,1075,739,1334,1126,492,475,62.4564,37.1708,30.2483,96.0199
2022/2023,Female,ALL,NECO,lga,Chibok,North East,Borno,Chibok,,,923,635,1131,950,400,373,62.4746,37.0337,29.0409,92.6606
2022/2023,Female,ALL,NECO,lga,Gwoza,North East,Borno,Gwoza,,,1084,747,1326,1116,461,426,62.6079,37.0931,28.539,91.7772
2022/2023,Female,ALL,NECO,lga,Jere,North East,Borno,Jere,,,848,582,1043,877,395,376,62.362,37.0549,31.0876,94.7368
2022/2023,Female,ALL,NECO,lga,Maiduguri,North East,Borno,Maiduguri,,,933,641,1164,980,441,417,62.3872,37.1009,31.0613,94.1667
2022/2023,Female,ALL,WAEC,lga,Biu,North East,Borno,Biu,,,1415,1052,1725,1447,707,636,67.505,36.9616,33.6438,89.4464
2022/2023,Female,ALL,WAEC,lga,Chibok,North East,Borno,Chibok,,,1241,922,1542,1294,597,536,67.4208,36.9792,31.7708,89.3443
2022/2023,Female,ALL,WAEC,lga,Gwoza,North East,Borno,Gwoza,,,1356,1008,1652,1385,623,557,67.5414,36.9605,30.9422,88.998
2022/2023,Female,ALL,WAEC,lga,Jere,North East,Borno,Jere,,,1178,876,1468,1228,581,533,67.5676,36.8673,32.4897,91.1579
2022/2023,Female,ALL,WAEC,lga,Maiduguri,North East,Borno,Maiduguri,,,1200,893,1496,1251,591,536,67.5507,36.8456,32.4161,90.2692
2022/2023,Female,Disabled,NABTEB,lga,Biu,North East,Borno,Biu,,,49,36,58,43,35,33,67.3077,32.7586,50.0,93.1034
2022/2023,Female,Disabled,NABTEB,lga,Chibok,North East,Borno,Chibok,,,45,33,54,41,32,28,66.6667,33.3333,48.1481,88.4615
2022/2023,Female,Disabled,NABTEB,lga,Gwoza,North East,Borno,Gwoza,,,47,35,56,43,23,22,68.0,33.9286,33.9286,94.7368
2022/2023,Female,Disabled,NABTEB,lga,Jere,North East,Borno,Jere,,,44,32,54,41,27,25,65.9574,33.3333,40.7407,90.9091
2022/2023,Female,Disabled,NABTEB,lga,Maiduguri,North East,Borno,Maiduguri,,,51,38,62,48,37,36,68.5185,33.871,48.3871,96.6667
2022/2023,Female,Disabled,NECO,lga,Biu,North East,Borno,Biu,,,87,60,107,93,32,31,62.3656,38.3178,24.2991,96.1538
2022/2023,Female,Disabled,NECO,lga,Chibok,North East,Borno,Chibok,,,71,48,85,73,38,33,61.8421,37.6471,36.4706,87.0968
2022/2023,Female,Disabled,NECO,lga,Gwoza,North East,Borno,Gwoza,,,81,56,102,87,34,33,62.069,37.2549,27.451,96.4286
2022/2023,Female,Disabled,NECO,lga,Jere,North East,Borno,Jere,,,67,46,85,73,38,37,62.5,37.6471,36.4706,96.7742
2022/2023,Female,Disabled,NECO,lga,Maiduguri,North East,Borno,Maiduguri,,,79,54,95,82,32,31,61.9048,37.8947,27.3684,96.1538
2022/2023,Female,Disabled,WAEC,lga,Biu,North East,Borno,Biu,,,111,84,138,114,46,42,68.0672,36.4964,27.7372,89.4737
2022/2023,Female,Disabled,WAEC,lga,Chibok,North East,Borno,Chibok,,,90,67,110,91,38,33,67.7083,36.3636,28.1818,87.0968
2022/2023,Female,Disabled,WAEC,lga,Gwoza,North East,Borno,Gwoza,,,105,78,128,105,44,38,67.8571,36.2205,28.3465,86.1111
2022/2023,Female,Disabled,WAEC,lga,Jere,North East,Borno,Jere,,,90,67,113,93,44,38,67.7083,36.2832,31.8584,86.1111
2022/2023,Female,Disabled,WAEC,lga,Maiduguri,North East,Borno,Maiduguri,,,95,71,119,98,44,38,67.6471,36.1345,30.2521,86.1111
2022/2023,Male,ALL,NABTEB,lga,Biu,North East,Borno,Biu,,,558,428,690,572,345,300,69.6309,36.5357,41.048,86.5248
