session,gender,disability,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,ALL,NABTEB,lga,Abak,South South,Akwa Ibom,Abak,,,476,379,572,503,489,453,71.7349,38.7719,70.1754,92.0
2022/2023,Female,ALL,NABTEB,lga,Eket,South South,Akwa Ibom,Eket,,,457,366,578,506,545,509,72.0081,38.5417,77.4306,92.8251
2022/2023,Female,ALL,NABTEB,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,498,398,639,556,566,537,71.8808,38.3046,72.6845,94.3844
2022/2023,Female,ALL,NABTEB,lga,Oron,South South,Akwa Ibom,Oron,,,487,387,605,533,503,473,71.619,38.806,68.1592,93.674
2022/2023,Female,ALL,NABTEB,lga,Uyo,South South,Akwa Ibom,Uyo,,,452,362,555,487,488,444,71.9262,38.698,72.1519,90.4762
2022/2023,Female,ALL,NECO,lga,Abak,South South,Akwa Ibom,Abak,,,888,636,1098,947,857,791,64.405,38.0256,64.0768,91.7261
2022/2023,Female,ALL,NECO,lga,Eket,South South,Akwa Ibom,Eket,,,811,580,1016,875,841,787,64.3429,37.9447,67.9842,93.0233
2022/2023,Female,ALL,NECO,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,970,693,1219,1050,1019,958,64.3403,37.9424,68.5597,93.5174
2022/2023,Female,ALL,NECO,lga,Oron,South South,Akwa Ibom,Oron,,,901,644,1124,966,894,826,64.3004,37.8571,65.2679,91.9289
2022/2023,Female,ALL,NECO,lga,Uyo,South South,Akwa Ibom,Uyo,,,795,570,978,845,769,719,64.4522,38.0513,64.5128,93.0048
2022/2023,Female,ALL,WAEC,lga,Abak,South South,Akwa Ibom,Abak,,,1186,915,1475,1271,1085,997,69.4292,37.9592,60.3401,91.4318
2022/2023,Female,ALL,WAEC,lga,Eket,South South,Akwa Ibom,Eket,,,1104,853,1376,1189,1155,1055,69.5214,38.0744,68.8549,90.8898
2022/2023,Female,ALL,WAEC,lga,Ikot Ekpene,South South,Akwa Ibom,Ikot Ekpene,,,1190,918,1480,1278,1223,1124,69.3925,38.0339,67.7966,91.4
2022/2023,Female,ALL,WAEC,lga,Oron,South South,Akwa Ibom,Oron,,,1175,908,1467,1269,1178,1082,69.4795,38.0985,65.8687,91.3811
