school
"Community Secondary School, Gbk/Central Market"
"Comprehensive High School, Gbk/Central Market"
"Government Secondary School, Gbk/Central Market"
"Unity College, Gboko"
"Community Secondary School, Gboko East"
"Comprehensive High School, Gboko East"
"Government Secondary School, Gboko East"
"Community Secondary School, Gboko North West"
"Comprehensive High School, Gboko North West"
"Government Secondary School, Gboko North West"
"Community Secondary School, Ikurav Tiev I"
"Comprehensive High School, Ikurav Tiev I"
"Government Secondary School, Ikurav Tiev I"
"Unity College, Katsina-Ala"
"Community Secondary School, Ikurav Tiev II"
"Comprehensive High School, Ikurav Tiev II"
"Government Secondary School, Ikurav Tiev II"
"Community Secondary School, Iwar(Tongov I)"
"Comprehensive High School, Iwar(Tongov I)"
"Government Secondary School, Iwar(Tongov I)"
"Community Secondary School, Agan"
"Comprehensive High School, Agan"
"Government Secondary School, Agan"
"Unity College, Makurdi"
"Community Secondary School, Ankpa/Wadata"
"Comprehensive High School, Ankpa/Wadata"
"Government Secondary School, Ankpa/Wadata"
"Community Secondary School, Bar"
"Comprehensive High School, Bar"
"Government Secondary School, Bar"
"Community Secondary School, Adoka-Haje"
"Comprehensive High School, Adoka-Haje"
"Government Secondary School, Adoka-Haje"
"Unity College, Otukpo"
"Community Secondary School, Adoka-Icho"
"Comprehensive High School, Adoka-Icho"
"Government Secondary School, Adoka-Icho"
"Community Secondary School, Allan"
"Comprehensive High School, Allan"
"Government Secondary School, Allan"
"Community Secondary School, Mbadede"
"Comprehensive High School, Mbadede"
"Government Secondary School, Mbadede"
"Unity College, Vandeikya"
"Community Secondary School, Mbagbam"
"Comprehensive High School, Mbagbam"
"Government Secondary School, Mbagbam"
"Community Secondary School, Mbagbera"
"Comprehensive High School, Mbagbera"
"Government Secondary School, Mbagbera"
"Community Secondary School, City Centre"
"Comprehensive High School, City Centre"
"Government Secondary School, City Centre"
"Unity College, Abuja Municipal"
"Community Secondary School, Garki"
"Comprehensive High School, Garki"
"Government Secondary School, Garki"
"Community Secondary School, Gui"
"Comprehensive High School, Gui"
"Government Secondary School, Gui"
"Community Secondary School, Bwari Central"
"Comprehensive High School, Bwari Central"
"Government Secondary School, Bwari Central"
"Unity College, Bwari"
"Community Secondary School, Byazhin"
"Comprehensive High School, Byazhin"
"Government Secondary School, Byazhin"
"Community Secondary School, Dutse Alhaji"
"Comprehensive High School, Dutse Alhaji"
"Government Secondary School, Dutse Alhaji"
"Community Secondary School, Dobi"
"Comprehensive High School, Dobi"
"Government Secondary School, Dobi"
"Unity College, Gwagwalada"
"Community Secondary School, Gwagwalada Centre"
"Comprehensive High School, Gwagwalada Centre"
"Government Secondary School, Gwagwalada Centre"
"Community Secondary School, Gwako"
"Comprehensive High School, Gwako"
"Government Secondary School, Gwako"
"Community Secondary School, Chibiri"
"Comprehensive High School, Chibiri"
"Government Secondary School, Chibiri"
"Unity College, Kuje"
"Community Secondary School, Gaube"
"Comprehensive High School, Gaube"
"Government Secondary School, Gaube"
"Community Secondary School, Gudun Karya"
"Comprehensive High School, Gudun Karya"
"Government Secondary School, Gudun Karya"
"Community Secondary School, Ashara"
"Comprehensive High School, Ashara"
"Government Secondary School, Ashara"
"Unity College, Kwali"
"Community Secondary School, Dafa"
"Comprehensive High School, Dafa"
"Government Secondary School, Dafa"
"Community Secondary School, Gumbo"
"Comprehensive High School, Gumbo"
"Government Secondary School, Gumbo"
"Community Secondary School, Ankpa I"
"Comprehensive High School, Ankpa I"
"Government Secondary School, Ankpa I"
"Unity College, Ankpa"
"Community Secondary School, Ankpa II"
"Comprehensive High School, Ankpa II"
"Government Secondary School, Ankpa II"
"Community Secondary School, Ankpa Suburb I"
"Comprehensive High School, Ankpa Suburb I"
"Government Secondary School, Ankpa Suburb I"
"Community Secondary School, Ede"
"Comprehensive High School, Ede"
"Government Secondary School, Ede"
"Unity College, Idah"
"Community Secondary School, Ega"
"Comprehensive High School, Ega"
"Government Secondary School, Ega"
"Community Secondary School, Ichala"
"Comprehensive High School, Ichala"
"Government Secondary School, Ichala"
"Community Secondary School, Aiyeteju"
"Comprehensive High School, Aiyeteju"
"Government Secondary School, Aiyeteju"
"Unity College, Kabba/Bunu"
"Community Secondary School, Aiyetoro-Kiri"
"Comprehensive High School, Aiyetoro-Kiri"
"Government Secondary School, Aiyetoro-Kiri"
"Community Secondary School, Aiyewa"
"Comprehensive High School, Aiyewa"
"Government Secondary School, Aiyewa"
"Community Secondary School, Eggan"
"Comprehensive High School, Eggan"
"Government Secondary School, Eggan"
"Unity College, Lokoja"
"Community Secondary School, Kakanda"
"Comprehensive High School, Kakanda"
"Government Secondary School, Kakanda"
"Community Secondary School, Kupa North East"
"Comprehensive High School, Kupa North East"
"Government Secondary School, Kupa North East"
"Community Secondary School, Abuga/Ozuja"
"Comprehensive High School, Abuga/Ozuja"
"Government Secondary School, Abuga/Ozuja"
"Unity College, Okene"
"Community Secondary School, Bariki"
"Comprehensive High School, Bariki"
"Government Secondary School, Bariki"
"Community Secondary School, Idoji"
"Comprehensive High School, Idoji"
"Government Secondary School, Idoji"
"Community Secondary School, Lafiagi I"
"Comprehensive High School, Lafiagi I"
"Government Secondary School, Lafiagi I"
"Unity College, Edu"
"Community Secondary School, Lafiagi II"
"Comprehensive High School, Lafiagi II"
"Government Secondary School, Lafiagi II"
"Community Secondary School, Lafiagi III"
"Comprehensive High School, Lafiagi III"
"Government Secondary School, Lafiagi III"
"Community Secondary School, Eruku"
