session,gender,disability,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years,gap_band
2022/2023,Female,ALL,WAEC,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,314,227,95,87,7,0,87,132,8,2.1,1 year
2022/2023,Female,ALL,WAEC,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,135,98,41,38,3,0,37,57,3,2.1,2 years
2022/2023,Female,ALL,WAEC,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,70,51,21,20,2,0,19,30,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,22,16,7,6,1,0,6,9,1,2.1,5+ years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,143,103,43,40,3,0,40,60,3,2.1,1 year
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,61,44,19,17,1,0,17,25,2,2.1,2 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,32,23,10,9,1,0,9,13,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,10,7,3,3,0,0,3,4,0,2.1,5+ years
2022/2023,Female,ALL,WAEC,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,114,83,35,32,3,0,31,48,3,2.1,1 year
2022/2023,Female,ALL,WAEC,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,49,36,15,14,1,0,13,21,1,2.1,2 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,26,19,8,7,1,0,7,11,1,2.1,3-5 years
2022/2023,Female,ALL,WAEC,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,8,6,2,2,0,0,2,4,0,2.1,5+ years
2022/2023,Female,ALL,NECO,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,147,106,44,41,3,0,41,62,3,2.1,1 year
2022/2023,Female,ALL,NECO,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,63,46,19,18,2,0,17,27,1,2.1,2 years
2022/2023,Female,ALL,NECO,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,33,24,10,9,1,0,9,14,1,2.1,3-5 years
2022/2023,Female,ALL,NECO,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,10,7,3,3,0,0,3,4,0,2.1,5+ years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,67,48,20,19,2,0,19,28,1,2.1,1 year
2022/2023,Female,ALL,NECO,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,29,21,9,8,1,0,8,12,1,2.1,2 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,15,11,5,4,0,0,4,6,1,2.1,3-5 years
2022/2023,Female,ALL,NECO,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,5,3,1,1,0,0,2,2,0,2.1,5+ years
2022/2023,Female,ALL,NECO,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,53,39,16,15,1,0,14,23,1,2.1,1 year
2022/2023,Female,ALL,NECO,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,23,17,7,6,1,0,6,10,1,2.1,2 years
2022/2023,Female,ALL,NECO,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,12,9,4,3,0,0,3,5,1,2.1,3-5 years
2022/2023,Female,ALL,NECO,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,4,3,1,1,0,0,1,2,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,46,33,14,13,1,0,13,19,1,2.1,1 year
2022/2023,Female,ALL,NABTEB,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,20,14,6,5,0,0,6,8,1,2.1,2 years
2022/2023,Female,ALL,NABTEB,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,10,7,3,3,0,0,3,4,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,3,2,1,1,0,0,1,1,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,21,15,6,6,1,0,6,9,0,2.1,1 year
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,9,6,3,2,0,0,3,3,1,2.1,2 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,5,3,1,1,0,0,2,2,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,Polytechnic,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,17,12,5,5,0,0,5,7,0,2.1,1 year
2022/2023,Female,ALL,NABTEB,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,7,5,2,2,0,0,2,3,0,2.1,2 years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,4,3,1,1,0,0,1,2,0,2.1,3-5 years
2022/2023,Female,ALL,NABTEB,College of Education,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
2022/2023,Female,Disabled,WAEC,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,20,15,6,6,1,0,5,9,0,2.1,1 year
2022/2023,Female,Disabled,WAEC,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,9,6,3,2,0,0,3,3,1,2.1,2 years
2022/2023,Female,Disabled,WAEC,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,5,3,1,1,0,0,2,2,0,2.1,3-5 years
2022/2023,Female,Disabled,WAEC,University,lga,Lokoja,North Central,Kogi,Lokoja,,,0,1,1,0,0,0,0,0,1,0,2.1,5+ years
