session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Biu,North East,Borno,Biu,,,0,65,87,4,3,0,0,0,84,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Gwoza,North East,Borno,Gwoza,,,0,122,161,8,7,0,0,0,154,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Jere,North East,Borno,Jere,,,0,46,56,4,3,0,0,0,53,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,0,83,118,8,7,0,0,0,111,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Biu,North East,Borno,Biu,,,0,74,97,10,9,0,0,0,89,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Chibok,North East,Borno,Chibok,,,0,79,107,13,12,0,0,0,97,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Gwoza,North East,Borno,Gwoza,,,0,62,77,8,7,0,0,0,71,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Jere,North East,Borno,Jere,,,0,59,83,13,10,8,0,0,73,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,0,84,109,13,10,8,0,0,99,2
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Biu,North East,Borno,Biu,,,0,90,128,184,141,75,0,0,0,34
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Chibok,North East,Borno,Chibok,,,0,122,167,141,141,0,0,0,57,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Gwoza,North East,Borno,Gwoza,,,0,43,57,83,70,23,0,0,0,10
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Jere,North East,Borno,Jere,,,0,84,112,95,94,0,0,0,39,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Maiduguri,North East,Borno,Maiduguri,,,0,36,48,49,48,0,0,0,10,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Biu,North East,Borno,Biu,,,0,44,54,4,3,0,0,0,51,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Gwoza,North East,Borno,Gwoza,,,0,78,99,5,4,0,0,0,95,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Jere,North East,Borno,Jere,,,0,26,34,3,1,0,0,0,32,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,0,54,77,4,3,0,0,0,74,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Biu,North East,Borno,Biu,,,0,46,58,6,5,0,0,0,53,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Chibok,North East,Borno,Chibok,,,0,52,66,8,7,0,0,0,60,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Gwoza,North East,Borno,Gwoza,,,0,41,52,5,4,0,0,0,48,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Jere,North East,Borno,Jere,,,0,37,57,8,7,0,0,0,51,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,0,53,69,8,7,0,0,0,63,1
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Biu,North East,Borno,Biu,,,0,59,85,114,105,15,0,0,0,7
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Chibok,North East,Borno,Chibok,,,0,77,94,123,122,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Gwoza,North East,Borno,Gwoza,,,0,26,37,31,30,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Jere,North East,Borno,Jere,,,0,53,72,95,92,8,0,0,0,2
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Maiduguri,North East,Borno,Maiduguri,,,0,23,32,49,48,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Biu,North East,Borno,Biu,,,0,26,35,1,0,0,0,0,34,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Gwoza,North East,Borno,Gwoza,,,0,55,69,4,3,0,0,0,66,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Jere,North East,Borno,Jere,,,0,20,25,1,0,0,0,0,24,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,0,35,52,4,3,0,0,0,49,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Biu,North East,Borno,Biu,,,0,29,40,3,1,0,0,0,38,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Chibok,North East,Borno,Chibok,,,0,34,47,6,5,0,0,0,42,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Gwoza,North East,Borno,Gwoza,,,0,26,35,3,1,0,0,0,33,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Jere,North East,Borno,Jere,,,0,24,33,6,5,0,0,0,28,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,0,35,50,6,5,0,0,0,45,1
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Biu,North East,Borno,Biu,,,0,37,56,76,75,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Chibok,North East,Borno,Chibok,,,0,54,68,76,75,0,0,0,9,1
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Gwoza,North East,Borno,Gwoza,,,0,18,25,31,30,0,0,0,1,1
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Jere,North East,Borno,Jere,,,0,33,39,45,20,45,0,0,4,20
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Maiduguri,North East,Borno,Maiduguri,,,0,15,16,34,33,0,0,1,0,1
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Biu,North East,Borno,Biu,,,0,15,19,1,0,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Gwoza,North East,Borno,Gwoza,,,0,29,33,1,0,0,0,1,32,1
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Jere,North East,Borno,Jere,,,0,12,15,0,0,0,0,0,15,0
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,0,22,28,3,0,8,0,0,26,2
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Biu,North East,Borno,Biu,,,0,15,19,1,0,0,0,0,18,1
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Chibok,North East,Borno,Chibok,,,0,17,21,5,1,8,0,0,17,3
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Gwoza,North East,Borno,Gwoza,,,0,16,22,3,0,8,0,0,20,2
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Jere,North East,Borno,Jere,,,0,15,17,0,0,0,0,0,17,0
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,0,21,25,1,0,0,0,0,24,1
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Biu,North East,Borno,Biu,,,0,22,29,45,39,8,0,0,0,5
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Chibok,North East,Borno,Chibok,,,0,28,35,16,0,23,0,0,23,12
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Gwoza,North East,Borno,Gwoza,,,0,9,14,31,16,23,0,0,0,12
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Jere,North East,Borno,Jere,,,0,18,25,16,14,0,0,0,13,1
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Maiduguri,North East,Borno,Maiduguri,,,0,7,10,0,0,0,0,0,10,0
2022/2023,Female,ALL,NECO,1-year,College of Education,lga,Biu,North East,Borno,Biu,,,0,130,168,8,7,0,0,0,161,1
2022/2023,Female,ALL,NECO,1-year,College of Education,lga,Gwoza,North East,Borno,Gwoza,,,0,239,316,14,13,0,0,0,304,1
2022/2023,Female,ALL,NECO,1-year,College of Education,lga,Jere,North East,Borno,Jere,,,0,81,104,5,4,0,0,0,100,1
2022/2023,Female,ALL,NECO,1-year,College of Education,lga,Maiduguri,North East,Borno,Maiduguri,,,0,151,205,12,10,0,0,0,195,1
2022/2023,Female,ALL,NECO,1-year,Polytechnic,lga,Biu,North East,Borno,Biu,,,0,134,183,18,17,0,0,0,168,1
2022/2023,Female,ALL,NECO,1-year,Polytechnic,lga,Chibok,North East,Borno,Chibok,,,0,158,213,21,20,0,0,0,196,1
2022/2023,Female,ALL,NECO,1-year,Polytechnic,lga,Gwoza,North East,Borno,Gwoza,,,0,120,160,14,13,0,0,0,148,1
2022/2023,Female,ALL,NECO,1-year,Polytechnic,lga,Jere,North East,Borno,Jere,,,0,109,152,17,16,0,0,0,138,1
2022/2023,Female,ALL,NECO,1-year,Polytechnic,lga,Maiduguri,North East,Borno,Maiduguri,,,0,163,224,21,20,0,0,0,207,1
