session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Mubi North,North East,Adamawa,Mubi North,,,0,55,73,6,5,0,0,0,169,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Numan,North East,Adamawa,Numan,,,0,74,100,9,6,12,0,0,228,6
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Yola North,North East,Adamawa,Yola North,,,0,65,86,6,6,0,0,0,201,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Yola South,North East,Adamawa,Yola South,,,0,48,64,5,4,0,0,0,149,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Mubi North,North East,Adamawa,Mubi North,,,0,21,30,1,1,0,0,0,72,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Numan,North East,Adamawa,Numan,,,0,31,40,1,1,0,0,0,98,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Yola North,North East,Adamawa,Yola North,,,0,143,198,6,6,0,0,0,478,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Yola South,North East,Adamawa,Yola South,,,0,33,45,2,1,0,0,0,107,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Mubi North,North East,Adamawa,Mubi North,,,0,67,93,41,40,0,0,0,153,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Numan,North East,Adamawa,Numan,,,0,68,89,35,31,12,0,0,152,8
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Yola North,North East,Adamawa,Yola North,,,0,95,130,54,53,0,0,0,218,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Yola South,North East,Adamawa,Yola South,,,0,57,74,39,39,0,0,0,109,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Mubi North,North East,Adamawa,Mubi North,,,0,35,47,4,3,0,0,0,109,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Numan,North East,Adamawa,Numan,,,0,46,59,6,5,0,0,0,135,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Yola North,North East,Adamawa,Yola North,,,0,42,53,4,4,0,0,0,123,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Yola South,North East,Adamawa,Yola South,,,0,31,42,4,3,0,0,0,98,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Mubi North,North East,Adamawa,Mubi North,,,0,15,19,1,0,0,0,0,46,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Numan,North East,Adamawa,Numan,,,0,19,25,1,0,0,0,0,61,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Yola North,North East,Adamawa,Yola North,,,0,89,120,5,4,6,0,0,288,2
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Yola South,North East,Adamawa,Yola South,,,0,23,32,1,1,0,0,0,77,1
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Mubi North,North East,Adamawa,Mubi North,,,0,46,59,35,31,12,0,0,80,8
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Numan,North East,Adamawa,Numan,,,0,42,57,29,28,0,0,0,86,1
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Yola North,North East,Adamawa,Yola North,,,0,62,81,49,48,0,0,0,106,1
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Yola South,North East,Adamawa,Yola South,,,0,35,47,27,26,6,0,0,63,3
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Mubi North,North East,Adamawa,Mubi North,,,0,23,30,3,2,0,0,0,69,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Numan,North East,Adamawa,Numan,,,0,30,42,4,3,0,0,0,98,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Yola North,North East,Adamawa,Yola North,,,0,30,38,2,1,0,0,0,91,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Yola South,North East,Adamawa,Yola South,,,0,19,28,3,2,0,0,0,63,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Mubi North,North East,Adamawa,Mubi North,,,0,8,13,1,0,0,0,0,30,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Numan,North East,Adamawa,Numan,,,0,14,19,1,0,0,0,0,46,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Yola North,North East,Adamawa,Yola North,,,0,60,83,3,2,0,0,0,200,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Yola South,North East,Adamawa,Yola South,,,0,13,17,1,0,0,0,0,42,1
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Mubi North,North East,Adamawa,Mubi North,,,0,27,36,18,13,18,0,0,56,10
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Numan,North East,Adamawa,Numan,,,0,31,38,22,13,30,0,0,52,18
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Yola North,North East,Adamawa,Yola North,,,0,37,51,21,19,6,0,0,86,5
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Yola South,North East,Adamawa,Yola South,,,0,23,30,21,21,0,0,0,33,1
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Mubi North,North East,Adamawa,Mubi North,,,0,13,17,1,0,6,0,0,41,2
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Numan,North East,Adamawa,Numan,,,0,18,21,0,0,0,0,0,53,0
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Yola North,North East,Adamawa,Yola North,,,0,15,22,0,0,0,0,0,54,0
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Yola South,North East,Adamawa,Yola South,,,0,12,14,0,0,0,0,0,35,0
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Mubi North,North East,Adamawa,Mubi North,,,0,5,6,0,0,0,0,0,16,0
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Numan,North East,Adamawa,Numan,,,0,7,8,1,0,0,0,0,20,1
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Yola North,North East,Adamawa,Yola North,,,0,30,43,1,0,0,0,0,105,1
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Yola South,North East,Adamawa,Yola South,,,0,7,9,0,0,0,0,0,22,0
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Mubi North,North East,Adamawa,Mubi North,,,0,14,21,0,0,0,0,0,53,0
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Numan,North East,Adamawa,Numan,,,0,13,15,0,0,0,0,0,38,0
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Yola North,North East,Adamawa,Yola North,,,0,21,30,11,6,18,0,0,54,9
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Yola South,North East,Adamawa,Yola South,,,0,11,19,5,0,18,0,0,37,10
