session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Bodinga,North West,Sokoto,Bodinga,,,0,46,63,6,5,0,0,0,47,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Sokoto North,North West,Sokoto,Sokoto North,,,0,52,65,6,5,0,0,0,49,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Sokoto South,North West,Sokoto,Sokoto South,,,0,24,32,3,2,0,0,0,24,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Tambuwal,North West,Sokoto,Tambuwal,,,0,56,71,8,6,0,0,0,53,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Wamako,North West,Sokoto,Wamako,,,0,81,107,11,10,0,0,0,80,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Bodinga,North West,Sokoto,Bodinga,,,0,27,37,2,0,0,0,0,29,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Sokoto North,North West,Sokoto,Sokoto North,,,0,63,87,3,2,0,0,0,69,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Sokoto South,North West,Sokoto,Sokoto South,,,0,33,43,2,0,0,0,0,34,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Tambuwal,North West,Sokoto,Tambuwal,,,0,27,34,2,0,0,0,0,27,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Wamako,North West,Sokoto,Wamako,,,0,41,52,2,0,0,0,0,41,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Bodinga,North West,Sokoto,Bodinga,,,0,89,118,57,53,15,0,0,60,3
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Sokoto North,North West,Sokoto,Sokoto North,,,0,44,59,30,25,15,0,0,29,3
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Sokoto South,North West,Sokoto,Sokoto South,,,0,102,138,70,64,15,0,0,68,4
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Tambuwal,North West,Sokoto,Tambuwal,,,0,62,82,46,45,0,0,0,38,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Wamako,North West,Sokoto,Wamako,,,0,48,63,35,33,0,0,0,29,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Bodinga,North West,Sokoto,Bodinga,,,0,30,42,5,3,0,0,0,31,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Sokoto North,North West,Sokoto,Sokoto North,,,0,35,45,5,3,0,0,0,34,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Sokoto South,North West,Sokoto,Sokoto South,,,0,15,20,2,0,0,0,0,15,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Tambuwal,North West,Sokoto,Tambuwal,,,0,34,48,5,3,0,0,0,36,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Wamako,North West,Sokoto,Wamako,,,0,49,69,8,6,0,0,0,51,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Bodinga,North West,Sokoto,Bodinga,,,0,18,26,0,0,0,0,0,21,0
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Sokoto North,North West,Sokoto,Sokoto North,,,0,44,58,2,0,0,0,0,46,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Sokoto South,North West,Sokoto,Sokoto South,,,0,20,26,0,0,0,0,0,21,0
