session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Aba North,South East,Abia,Aba North,,,0,0,0,63,52,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Aba South,South East,Abia,Aba South,,,0,0,0,31,21,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,52,42,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,31,21,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,84,73,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Aba North,South East,Abia,Aba North,,,0,0,0,84,73,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Aba South,South East,Abia,Aba South,,,0,0,0,84,73,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,105,94,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,115,105,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,125,84,3,0,0,0,4
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Aba North,South East,Abia,Aba North,,,0,0,0,439,430,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Aba South,South East,Abia,Aba South,,,0,0,0,1568,1511,7,0,0,0,6
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,1161,1070,10,0,0,0,9
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,1286,1280,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,565,556,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Aba North,South East,Abia,Aba North,,,0,0,0,42,31,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Aba South,South East,Abia,Aba South,,,0,0,0,21,10,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,31,21,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,21,10,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,52,42,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Aba North,South East,Abia,Aba North,,,0,0,0,42,31,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Aba South,South East,Abia,Aba South,,,0,0,0,52,42,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,73,52,3,0,0,0,2
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,63,52,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,52,42,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Aba North,South East,Abia,Aba North,,,0,0,0,439,336,10,0,0,0,10
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Aba South,South East,Abia,Aba South,,,0,0,0,1161,976,17,0,0,0,18
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,1004,609,38,0,0,0,38
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,1129,808,31,0,0,0,31
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,282,273,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Aba North,South East,Abia,Aba North,,,0,0,0,42,31,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Aba South,South East,Abia,Aba South,,,0,0,0,21,10,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,21,10,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,21,10,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,42,31,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Aba North,South East,Abia,Aba North,,,0,0,0,42,31,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Aba South,South East,Abia,Aba South,,,0,0,0,42,31,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,63,52,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,63,52,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,42,31,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Aba North,South East,Abia,Aba North,,,0,0,0,314,304,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Aba South,South East,Abia,Aba South,,,0,0,0,784,777,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,627,609,3,0,0,0,2
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,721,714,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,3-5-year,University,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,282,273,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Aba North,South East,Abia,Aba North,,,0,0,0,10,0,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Aba South,South East,Abia,Aba South,,,0,0,0,0,0,0,0,0,0,0
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,10,0,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,10,0,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,5+-year,College of Education,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,21,0,3,0,0,0,2
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Aba North,South East,Abia,Aba North,,,0,0,0,10,0,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Aba South,South East,Abia,Aba South,,,0,0,0,10,0,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,31,0,3,0,0,0,3
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,63,21,3,0,0,0,4
2022/2023,Female,ALL,NABTEB,5+-year,Polytechnic,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,31,21,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Aba North,South East,Abia,Aba North,,,0,0,0,157,136,3,0,0,0,2
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Aba South,South East,Abia,Aba South,,,0,0,0,157,147,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,0,0,0,0,0,0,0
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,408,304,10,0,0,0,10
2022/2023,Female,ALL,NABTEB,5+-year,University,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,125,0,10,0,0,0,12
2022/2023,Female,ALL,NECO,1-year,College of Education,lga,Aba North,South East,Abia,Aba North,,,0,0,0,157,147,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,College of Education,lga,Aba South,South East,Abia,Aba South,,,0,0,0,84,73,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,College of Education,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,105,94,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,College of Education,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,63,52,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,College of Education,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,157,147,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,Polytechnic,lga,Aba North,South East,Abia,Aba North,,,0,0,0,178,168,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,Polytechnic,lga,Aba South,South East,Abia,Aba South,,,0,0,0,188,178,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,Polytechnic,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,230,220,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,Polytechnic,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,272,262,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,Polytechnic,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,251,241,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,University,lga,Aba North,South East,Abia,Aba North,,,0,0,0,1412,1406,0,0,0,0,1
2022/2023,Female,ALL,NECO,1-year,University,lga,Aba South,South East,Abia,Aba South,,,0,0,0,3952,3862,10,0,0,0,10
2022/2023,Female,ALL,NECO,1-year,University,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,2666,2655,3,0,0,0,2
2022/2023,Female,ALL,NECO,1-year,University,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,3639,3327,31,0,0,0,31
2022/2023,Female,ALL,NECO,1-year,University,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,1412,1238,17,0,0,0,17
2022/2023,Female,ALL,NECO,2-year,College of Education,lga,Aba North,South East,Abia,Aba North,,,0,0,0,105,84,3,0,0,0,2
2022/2023,Female,ALL,NECO,2-year,College of Education,lga,Aba South,South East,Abia,Aba South,,,0,0,0,52,42,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,College of Education,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,73,63,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,College of Education,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,42,31,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,College of Education,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,105,94,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,Polytechnic,lga,Aba North,South East,Abia,Aba North,,,0,0,0,115,105,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,Polytechnic,lga,Aba South,South East,Abia,Aba South,,,0,0,0,115,105,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,Polytechnic,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,157,147,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,Polytechnic,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,178,168,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,Polytechnic,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,178,168,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,University,lga,Aba North,South East,Abia,Aba North,,,0,0,0,784,777,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,University,lga,Aba South,South East,Abia,Aba South,,,0,0,0,2509,2487,3,0,0,0,3
2022/2023,Female,ALL,NECO,2-year,University,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,1725,1721,0,0,0,0,1
2022/2023,Female,ALL,NECO,2-year,University,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,2353,2120,21,0,0,0,23
2022/2023,Female,ALL,NECO,2-year,University,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,941,902,3,0,0,0,4
2022/2023,Female,ALL,NECO,3-5-year,College of Education,lga,Aba North,South East,Abia,Aba North,,,0,0,0,52,42,0,0,0,0,1
2022/2023,Female,ALL,NECO,3-5-year,College of Education,lga,Aba South,South East,Abia,Aba South,,,0,0,0,31,21,0,0,0,0,1
2022/2023,Female,ALL,NECO,3-5-year,College of Education,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,42,31,0,0,0,0,1
2022/2023,Female,ALL,NECO,3-5-year,College of Education,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,21,10,0,0,0,0,1
2022/2023,Female,ALL,NECO,3-5-year,College of Education,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,63,52,0,0,0,0,1
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,lga,Aba North,South East,Abia,Aba North,,,0,0,0,63,52,0,0,0,0,1
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,lga,Aba South,South East,Abia,Aba South,,,0,0,0,73,63,0,0,0,0,1
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,105,84,3,0,0,0,2
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,136,115,3,0,0,0,2
2022/2023,Female,ALL,NECO,3-5-year,Polytechnic,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,115,94,3,0,0,0,2
2022/2023,Female,ALL,NECO,3-5-year,University,lga,Aba North,South East,Abia,Aba North,,,0,0,0,627,535,10,0,0,0,9
2022/2023,Female,ALL,NECO,3-5-year,University,lga,Aba South,South East,Abia,Aba South,,,0,0,0,1725,1574,14,0,0,0,15
2022/2023,Female,ALL,NECO,3-5-year,University,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,1255,1070,17,0,0,0,18
2022/2023,Female,ALL,NECO,3-5-year,University,lga,Umuahia North,South East,Abia,Umuahia North,,,0,0,0,1568,1564,0,0,0,0,1
2022/2023,Female,ALL,NECO,3-5-year,University,lga,Umuahia South,South East,Abia,Umuahia South,,,0,0,0,471,462,0,0,0,0,1
2022/2023,Female,ALL,NECO,5+-year,College of Education,lga,Aba North,South East,Abia,Aba North,,,0,0,0,42,31,0,0,0,0,1
2022/2023,Female,ALL,NECO,5+-year,College of Education,lga,Aba South,South East,Abia,Aba South,,,0,0,0,21,10,0,0,0,0,1
2022/2023,Female,ALL,NECO,5+-year,College of Education,lga,Arochukwu,South East,Abia,Arochukwu,,,0,0,0,31,21,0,0,0,0,1
