session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Jema'a,North West,Kaduna,Jema'a,,,0,140,194,47,39,11,0,0,194,8
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Kaduna North,North West,Kaduna,Kaduna North,,,0,165,218,52,45,11,0,0,219,7
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Kaduna South,North West,Kaduna,Kaduna South,,,0,68,90,26,22,6,0,0,86,4
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Soba,North West,Kaduna,Soba,,,0,93,127,31,30,0,0,0,127,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Zaria,North West,Kaduna,Zaria,,,0,202,274,68,52,23,0,0,272,16
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Jema'a,North West,Kaduna,Jema'a,,,0,59,80,47,39,11,0,0,54,8
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Kaduna North,North West,Kaduna,Kaduna North,,,0,26,28,13,12,0,0,2,23,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Kaduna South,North West,Kaduna,Kaduna South,,,0,84,113,60,53,11,0,0,82,7
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Soba,North West,Kaduna,Soba,,,0,36,47,23,13,17,0,0,36,10
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Zaria,North West,Kaduna,Zaria,,,0,58,80,36,35,0,0,0,65,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Jema'a,North West,Kaduna,Jema'a,,,0,180,228,179,160,28,0,0,110,19
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Kaduna North,North West,Kaduna,Kaduna North,,,0,130,177,134,134,0,0,0,90,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Kaduna South,North West,Kaduna,Kaduna South,,,0,151,208,116,116,0,0,0,145,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Soba,North West,Kaduna,Soba,,,0,209,288,199,199,0,0,0,165,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Zaria,North West,Kaduna,Zaria,,,0,82,114,98,72,40,0,0,46,26
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Jema'a,North West,Kaduna,Jema'a,,,0,88,119,31,28,6,0,0,117,3
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Kaduna North,North West,Kaduna,Kaduna North,,,0,108,152,43,42,0,0,0,146,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Kaduna South,North West,Kaduna,Kaduna South,,,0,40,58,15,14,0,0,0,57,1
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Soba,North West,Kaduna,Soba,,,0,62,80,26,23,6,0,0,74,3
2022/2023,Female,ALL,NABTEB,2-year,College of Education,lga,Zaria,North West,Kaduna,Zaria,,,0,121,170,47,40,11,0,0,165,7
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Jema'a,North West,Kaduna,Jema'a,,,0,34,48,22,21,0,0,0,38,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Kaduna North,North West,Kaduna,Kaduna North,,,0,16,19,13,12,0,0,0,11,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Kaduna South,North West,Kaduna,Kaduna South,,,0,54,71,36,35,0,0,0,54,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Soba,North West,Kaduna,Soba,,,0,24,33,13,12,0,0,0,29,1
2022/2023,Female,ALL,NABTEB,2-year,Polytechnic,lga,Zaria,North West,Kaduna,Zaria,,,0,36,47,25,24,0,0,0,34,1
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Jema'a,North West,Kaduna,Jema'a,,,0,114,156,92,91,0,0,0,104,1
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Kaduna North,North West,Kaduna,Kaduna North,,,0,88,123,101,90,17,0,0,56,10
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Kaduna South,North West,Kaduna,Kaduna South,,,0,98,130,116,108,11,0,0,49,8
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Soba,North West,Kaduna,Soba,,,0,137,181,149,144,6,0,0,81,5
2022/2023,Female,ALL,NABTEB,2-year,University,lga,Zaria,North West,Kaduna,Zaria,,,0,52,76,50,49,0,0,0,46,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Jema'a,North West,Kaduna,Jema'a,,,0,56,86,21,17,6,0,0,86,4
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Kaduna North,North West,Kaduna,Kaduna North,,,0,66,91,20,19,0,0,0,93,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Kaduna South,North West,Kaduna,Kaduna South,,,0,24,33,15,14,0,0,0,27,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Soba,North West,Kaduna,Soba,,,0,36,52,16,15,0,0,0,49,1
2022/2023,Female,ALL,NABTEB,3-5-year,College of Education,lga,Zaria,North West,Kaduna,Zaria,,,0,78,109,37,34,6,0,0,99,3
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Jema'a,North West,Kaduna,Jema'a,,,0,26,29,22,21,0,0,1,15,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Kaduna North,North West,Kaduna,Kaduna North,,,0,10,15,13,12,0,0,0,6,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Kaduna South,North West,Kaduna,Kaduna South,,,0,32,48,36,35,0,0,0,25,1
2022/2023,Female,ALL,NABTEB,3-5-year,Polytechnic,lga,Soba,North West,Kaduna,Soba,,,0,14,19,13,12,0,0,0,11,1
