session,gender,disability,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Akwanga,North Central,Nasarawa,Akwanga,,,0,27,39,91,88,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Doma,North Central,Nasarawa,Doma,,,0,31,41,91,72,9,0,0,0,6
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Keffi,North Central,Nasarawa,Keffi,,,0,15,19,37,34,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Lafia,North Central,Nasarawa,Lafia,,,0,27,39,75,72,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,College of Education,lga,Nasarawa,North Central,Nasarawa,Nasarawa,,,0,27,36,78,72,4,0,0,0,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Akwanga,North Central,Nasarawa,Akwanga,,,0,17,24,22,19,0,0,0,3,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Doma,North Central,Nasarawa,Doma,,,0,35,46,37,31,4,0,0,7,2
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Keffi,North Central,Nasarawa,Keffi,,,0,6,10,9,6,0,0,0,1,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Lafia,North Central,Nasarawa,Lafia,,,0,17,22,16,13,0,0,0,4,1
2022/2023,Female,ALL,NABTEB,1-year,Polytechnic,lga,Nasarawa,North Central,Nasarawa,Nasarawa,,,0,33,44,37,31,4,0,0,6,2
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Akwanga,North Central,Nasarawa,Akwanga,,,0,12,17,128,125,0,0,0,0,1
2022/2023,Female,ALL,NABTEB,1-year,University,lga,Doma,North Central,Nasarawa,Doma,,,0,12,17,103,69,13,0,0,0,11
